recv_buf,delay_ms,read_size,send_rate_mbps,receiver_capacity_kbps,oversubscription_ratio,net_delay_ms,net_jitter_ms,net_loss_pct,congestion_algo,duration_actual,bytes_transferred,actual_throughput_kbps,zero_window_count,zero_window_duration_ms,zero_window_pct,window_min,window_max,window_mean,window_oscillations,rtt_min_us,rtt_max_us,rtt_mean_us,rtt_stddev_us,rtt_p50_us,rtt_p95_us,rtt_p99_us,rtt_samples,total_packets,retransmit_count,dup_ack_count,timestamp,success,error
16384,50,4096,0.5,80.0,6.4,0,0,0,cubic,10.028607551008463,819200,79.77179243787968,34,0.0,0.0,0,64512,50345.49115646259,308,15.0,41999.0,31246.524475524475,15219.090999031892,40734.0,41963.0,41994.0,143,735,4,0,2025-12-21T22:42:10.003134,True,
16384,50,4096,0.5,80.0,6.4,1,0,0,cubic,10.023259865003638,819200,79.81435289263645,34,0.0,0.0,0,64512,46906.28041714948,308,1003.9999999999999,43026.0,14801.384937238494,17809.48846941427,1046.0,42573.0,42981.0,239,863,36,0,2025-12-21T22:42:21.950510,True,
16384,50,4096,0.5,80.0,6.4,2,0,0,cubic,10.023463517078198,819200,79.81273126169835,34,0.0,0.0,0,64512,48286.582914572864,308,2004.9999999999998,43996.0,21055.40625,19608.595206449074,8941.0,43941.0,43988.0,192,796,15,0,2025-12-21T22:42:33.910167,True,
16384,50,4096,0.5,80.0,6.4,3,0,0,cubic,10.02238594298251,819200,79.82131246503685,33,0.0,0.0,0,64512,49362.43386243386,305,3010.0,45009.0,27186.072289156626,19273.069599884788,43150.0,44935.0,44982.0,166,756,2,0,2025-12-21T22:42:45.853454,True,
16384,50,4096,0.5,80.0,6.4,5,0,0,cubic,10.024367169011384,819200,79.80553650040504,33,0.0,0.0,0,64512,50479.0989010989,301,5013.0,47012.0,42424.55714285714,10175.83562540719,45089.0,46311.0,47003.0,140,728,2,0,2025-12-21T22:42:57.834761,True,
16384,50,4096,0.5,80.0,6.4,7,0,0,cubic,10.024132121936418,819200,79.80740779037731,33,0.0,0.0,0,64512,50405.88203017833,303,7015.0,49023.0,41891.114285714284,9227.99721893397,43091.0,48368.0,49009.0,140,729,1,0,2025-12-21T22:43:09.834362,True,
16384,50,4096,0.5,80.0,6.4,10,0,0,cubic,10.026481461012736,819200,79.7887078443962,33,0.0,0.0,0,64512,50436.45179063361,303,10013.0,51963.0,40661.75714285715,9188.586402139985,40085.0,51333.0,51957.0,140,726,0,0,2025-12-21T22:43:21.808839,True,
16384,50,4096,0.5,80.0,6.4,15,0,0,cubic,10.026415140950121,819200,79.78923560950724,33,0.0,0.0,0,64512,50440.440771349866,302,15019.0,57029.0,38510.485714285714,10488.061595033874,35088.0,55978.0,56579.0,140,726,0,0,2025-12-21T22:43:33.833336,True,
16384,50,4096,0.5,80.0,6.4,20,0,0,cubic,10.029066249961033,819200,79.7681439189923,33,0.0,0.0,0,64512,50508.01655172414,299,20015.0,61935.0,36545.87050359712,13539.61439088035,30086.0,61476.0,61788.0,139,725,0,0,2025-12-21T22:43:45.886859,True,
16384,50,4096,0.5,80.0,6.4,30,0,0,cubic,10.01415091205854,782872,76.34430958888377,8,0.0,0.0,0,64512,50060.193181818184,288,30019.0,93043.0,59592.12101910828,17998.407053488412,70130.0,71567.0,92293.0,157,704,0,0,2025-12-21T22:43:57.962866,True,
16384,50,4096,0.5,80.0,6.4,40,0,0,cubic,10.023854191065766,772944,75.30318284884633,0,0.0,0.0,1448,64512,53089.170731707316,206,40016.0,81680.0,57467.752,10474.472149492594,60158.0,80219.0,80984.0,125,656,0,0,2025-12-21T22:44:10.059760,True,
