recv_buf,delay_ms,read_size,send_rate_mbps,receiver_capacity_kbps,oversubscription_ratio,net_delay_ms,net_jitter_ms,net_loss_pct,congestion_algo,duration_actual,bytes_transferred,actual_throughput_kbps,zero_window_count,zero_window_duration_ms,zero_window_pct,window_min,window_max,window_mean,window_oscillations,rtt_min_us,rtt_max_us,rtt_mean_us,rtt_stddev_us,rtt_p50_us,rtt_p95_us,rtt_p99_us,rtt_samples,total_packets,retransmit_count,dup_ack_count,fast_retransmit_count,out_of_order_count,zero_window_probe_count,window_full_count,timestamp,success,error
16384,1,16384,10.0,16000.0,0.64,10,0,0,cubic,10.010131669929251,8670128,845.8352151785274,0,0.0,0.0,14480,64512,49905.7832386693,994,10001.0,11114.0,10048.919596110696,128.75707489498882,10019.0,10129.0,11021.0,2674,8627,0,0,0,0,0,495,2025-12-24T11:20:13.278019,True,
16384,1,16384,10.0,16000.0,0.64,25,0,0,cubic,10.022199022118002,3474704,338.5749591992135,0,0.0,0.0,14480,64512,49755.71480362538,380,25001.0,26086.0,25090.79363548698,182.55071510497228,25034.0,25312.0,26044.0,1037,3310,0,0,0,0,0,188,2025-12-24T11:20:26.528816,True,
16384,1,16384,10.0,16000.0,0.64,50,0,0,cubic,10.011029341025278,1737104,169.45216792524798,0,0.0,0.0,14480,64512,50014.629404617255,191,50002.0,51114.0,50099.05719921104,192.10786202886013,50045.0,50319.0,51062.0,507,1646,0,0,0,0,0,94,2025-12-24T11:20:39.525987,True,
16384,1,16384,10.0,16000.0,0.64,75,0,0,cubic,10.060070229927078,1163696,112.96361248247842,0,0.0,0.0,14480,64512,51630.23846153846,127,75002.0,76108.0,75144.54736842106,185.18908886169743,75095.0,75349.0,76047.0,285,1040,0,0,0,0,0,62,2025-12-24T11:20:52.558081,True,
16384,1,16384,10.0,16000.0,0.64,100,0,0,cubic,10.007305829087272,871200,85.01601375338366,0,0.0,0.0,14480,64512,56147.32571428571,96,100006.0,101055.0,100101.96,109.2440497235433,100083.0,100224.0,100400.0,125,700,0,0,0,0,0,47,2025-12-24T11:21:05.655083,True,
16384,1,16384,10.0,16000.0,0.64,150,0,0,cubic,10.206521594896913,593184,56.75599121738309,0,0.0,0.0,14480,64512,52709.41428571429,70,150002.0,151086.0,150155.98581560285,248.16160902920902,150077.0,150998.0,151065.0,141,560,0,0,0,0,0,34,2025-12-24T11:21:18.614986,True,
16384,1,16384,10.0,16000.0,0.64,200,0,0,cubic,10.005791066912934,435848,42.538646834979296,0,0.0,0.0,0,64512,55785.01319261214,54,200005.0,201018.0,200145.0338983051,153.47245831442984,200114.0,200284.0,201018.0,59,379,0,0,0,0,0,24,2025-12-24T11:21:31.915605,True,
16384,1,16384,10.0,16000.0,0.64,300,0,0,cubic,10.201934712007642,358608,34.327128616870304,0,0.0,0.0,10136,64512,54756.25,35,300001.0,301052.0,300128.4931506849,201.11082770845542,300088.0,300531.0,301052.0,73,320,0,0,0,0,0,16,2025-12-24T11:21:45.371337,True,
32768,1,16384,10.0,16000.0,0.64,10,0,0,cubic,10.001227160915732,18662776,1822.3130916097748,0,0.0,0.0,23168,64512,55967.57193766289,8327,9999.0,11159.0,10113.30784674586,276.03230175987534,10015.0,11024.0,11065.0,5977,18801,0,0,0,0,0,36,2025-12-24T11:21:59.107690,True,
32768,1,16384,10.0,16000.0,0.64,25,0,0,cubic,10.022491309791803,7475528,728.3937782383219,0,0.0,0.0,24616,64512,56639.86012839776,403,24994.0,66262.0,25127.860410831,916.2684934214458,25031.0,25763.0,26055.0,2142,7321,0,0,0,0,0,199,2025-12-24T11:22:13.059086,True,
32768,1,16384,10.0,16000.0,0.64,50,0,0,cubic,10.010532001033425,3702040,361.1469837094354,0,0.0,0.0,20272,64512,57226.63950198076,204,50001.0,51116.0,50120.552410901466,244.8865477262691,50028.0,50969.0,51063.0,954,3534,0,0,0,0,0,99,2025-12-24T11:22:26.316833,True,
32768,1,16384,10.0,16000.0,0.64,75,0,0,cubic,10.057815230917186,2475584,240.36656515309033,0,0.0,0.0,20272,64512,58461.056459330146,129,75001.0,76088.0,75155.3262260128,266.0911842020777,75058.0,75999.0,76064.0,469,2090,0,0,0,0,0,62,2025-12-24T11:22:39.406139,True,
32768,1,16384,10.0,16000.0,0.64,100,0,0,cubic,10.007000047015026,1738552,169.66170475900375,0,0.0,0.0,20272,64512,60452.58618071374,99,100000.0,101091.0,100122.06282722513,199.7999424302924,100063.0,100373.0,101061.0,191,1317,0,0,0,0,0,46,2025-12-24T11:22:52.552761,True,
32768,1,16384,10.0,16000.0,0.64,150,0,0,cubic,10.20544721884653,1169488,111.9086797970901,0,0.0,0.0,20272,64512,60290.97846153846,72,150002.0,151091.0,150190.65277777778,277.6329090985184,150080.0,151000.0,151073.0,144,975,0,0,0,0,0,34,2025-12-24T11:23:05.670840,True,
32768,1,16384,10.0,16000.0,0.64,200,0,0,cubic,10.0041779440362,875544,85.46663626767113,0,0.0,0.0,0,64512,58723.80449141347,56,200006.0,201079.0,200157.68181818182,243.9413093280722,200084.0,200999.0,201068.0,110,757,0,0,0,0,0,25,2025-12-24T11:23:19.034582,True,
32768,1,16384,10.0,16000.0,0.64,300,0,0,cubic,10.202560937032104,525128,50.26388135929899,0,0.0,0.0,20272,64512,59942.85167464115,40,300006.0,301094.0,300160.5625,266.4765981165138,300065.0,301008.0,301094.0,64,418,0,0,0,0,0,16,2025-12-24T11:23:32.521337,True,
65536,1,16384,10.0,16000.0,0.64,10,0,0,cubic,10.00163636985235,37801494,3690.9481728058436,0,0.0,0.0,43730,77450,67374.58002166126,4,9999.0,11135.0,10310.937461146339,341.2128030885419,10183.0,11048.0,11074.0,8043,36009,0,0,0,0,0,29,2025-12-24T11:23:46.597696,True,
65536,1,16384,10.0,16000.0,0.64,25,0,0,cubic,10.000870122108608,15133488,1477.7511051092424,0,0.0,0.0,52384,77478,67741.1805922613,4,25002.0,26153.0,25197.453025477706,343.31789138491837,25037.0,26057.0,26085.0,3768,14757,0,0,0,0,0,74,2025-12-24T11:24:01.803215,True,
65536,1,16384,10.0,16000.0,0.64,50,0,0,cubic,10.013620730955154,7401446,721.8142971034571,0,0.0,0.0,56418,77006,66631.04737433756,7,50003.0,51321.0,50203.707774798924,318.06366998005126,50063.0,51040.0,51076.0,1119,6227,0,0,0,0,0,83,2025-12-24T11:24:15.565843,True,
65536,1,16384,10.0,16000.0,0.64,75,0,0,cubic,10.0604859739542,4843250,470.1300056846073,0,0.0,0.0,45460,76896,66656.36751124792,5,75001.0,76203.0,75224.03684879288,302.9077212411869,75104.0,76029.0,76069.0,787,4223,0,0,0,0,0,56,2025-12-24T11:24:28.872651,True,
65536,1,16384,10.0,16000.0,0.64,100,0,0,cubic,10.007660967996344,3628094,354.034829737479,0,0.0,0.0,54688,76896,66437.91316055201,2,100003.0,101118.0,100265.78486055777,328.4237641439222,100109.0,101040.0,101074.0,502,2971,0,0,0,1,0,41,2025-12-24T11:24:42.168029,True,
65536,1,16384,10.0,16000.0,0.64,150,0,0,cubic,10.205131471855566,2339140,223.83997820604756,0,0.0,0.0,43156,76896,65785.17103064067,6,150003.0,151092.0,150238.09583333333,287.40119168618435,150134.0,151034.0,151067.0,240,1795,0,0,0,0,0,19,2025-12-24T11:24:55.424952,True,
65536,1,16384,10.0,16000.0,0.64,200,0,0,cubic,10.004235114902258,1605702,156.74045455401316,0,0.0,0.0,0,76896,63782.257731958765,6,200003.0,201087.0,200153.14383561644,238.57002618415254,200080.0,200998.0,201050.0,146,1358,0,0,0,0,0,13,2025-12-24T11:25:09.006438,True,
65536,1,16384,10.0,16000.0,0.64,300,0,0,cubic,10.202427451964468,1081780,103.54651245734526,0,0.0,0.0,57576,76896,65545.81797235023,1,300003.0,301067.0,300196.5045045045,270.04623807864857,300081.0,300912.0,301062.0,111,868,0,0,0,0,0,7,2025-12-24T11:25:22.529402,True,
