recv_buf,delay_ms,read_size,send_rate_mbps,receiver_capacity_kbps,oversubscription_ratio,net_delay_ms,net_jitter_ms,net_loss_pct,congestion_algo,duration_actual,bytes_transferred,actual_throughput_kbps,zero_window_count,zero_window_duration_ms,zero_window_pct,window_min,window_max,window_mean,window_oscillations,rtt_min_us,rtt_max_us,rtt_mean_us,rtt_stddev_us,rtt_p50_us,rtt_p95_us,rtt_p99_us,rtt_samples,total_packets,retransmit_count,dup_ack_count,fast_retransmit_count,out_of_order_count,zero_window_probe_count,window_full_count,timestamp,success,error
65536,1,16384,10.0,16000.0,0.64,50,10,0,cubic,10.02195882005617,6603796,643.4889273685775,0,0.0,0.0,36304,78336,67669.54973570399,75,29023.0,78543.0,57206.634467618,8361.893487956377,57784.0,69701.0,74992.0,911,8324,6,2713,0,0,0,10,2025-12-24T12:14:02.125275,True,
65536,1,16384,10.0,16000.0,0.64,50,20,0,cubic,10.00521945208311,5655978,552.0534599043714,0,0.0,0.0,33282,78336,66350.20172201723,81,2102.0,101143.0,67315.12453531599,16659.93111933083,68985.0,92013.0,97863.0,538,7317,94,2763,29,0,0,49,2025-12-24T12:14:15.466818,True,
65536,1,16384,10.0,16000.0,0.64,50,30,0,cubic,10.059220309136435,561328,54.49446956660397,0,0.0,0.0,64240,78336,70429.20166320166,0,8.0,228431.0,60855.142857142855,32738.543171307912,56396.0,106634.0,185521.0,203,962,105,287,25,0,0,0,2025-12-24T12:14:28.716635,True,
65536,1,16384,10.0,16000.0,0.64,50,50,0,cubic,10.012843545060605,480240,46.838280543328054,0,0.0,0.0,64240,78336,70271.57894736843,0,4.0,211850.0,60712.063829787236,40925.37435571604,58259.0,130109.0,207660.0,188,893,120,265,56,0,0,0,2025-12-24T12:14:41.532691,True,
65536,1,16384,10.0,16000.0,0.64,50,75,0,cubic,10.05973216285929,394808,38.32653606061946,0,0.0,0.0,64240,78336,70337.74462365592,0,5.0,354508.0,66338.61744966442,54977.906322986004,55533.0,157390.0,247533.0,149,744,100,232,32,0,0,0,2025-12-24T12:14:54.668446,True,
65536,1,16384,10.0,16000.0,0.64,50,100,0,cubic,10.062758069951087,389016,37.75291374980325,0,0.0,0.0,64208,78336,70311.28306878307,0,5.0,308955.0,67071.92857142857,58420.95026848395,59538.0,167851.0,235452.0,126,756,112,255,51,0,0,0,2025-12-24T12:15:07.604603,True,
131072,1,16384,10.0,16000.0,0.64,50,10,0,cubic,10.0064233019948,13172180,1285.5199748231362,0,0.0,0.0,64240,156672,97102.90778635778,1103,28160.0,85234.0,58792.87523105361,8608.222020977177,59623.0,71611.0,74961.0,1082,15540,18,5197,0,0,0,30,2025-12-24T12:15:20.629069,True,
131072,1,16384,10.0,16000.0,0.64,50,20,0,cubic,10.018604900920764,3836364,373.9491931062858,0,0.0,0.0,64240,156672,104457.45643669985,1262,250.99999999999997,204664.0,62702.096385542165,21687.14680777456,62594.0,89104.0,153171.0,581,5624,353,2134,207,0,0,1,2025-12-24T12:15:34.437475,True,
131072,1,16384,10.0,16000.0,0.64,50,30,0,cubic,10.063814696855843,710472,68.94207945986572,0,0.0,0.0,64240,156672,108543.72102318145,500,2.0,324113.0,59526.351464435145,33174.5403465823,58803.0,101228.0,206833.0,239,1251,140,397,52,0,0,0,2025-12-24T12:15:47.593800,True,
131072,1,16384,10.0,16000.0,0.64,50,50,0,cubic,10.030494224047288,519336,50.56222068142123,0,0.0,0.0,64240,156672,108612.87399193548,483,12.0,163001.0,59679.605405405404,35992.79959269591,55683.0,119673.0,150110.0,185,992,134,319,56,0,0,0,2025-12-24T12:16:00.519999,True,
