recv_buf,delay_ms,read_size,send_rate_mbps,receiver_capacity_kbps,oversubscription_ratio,net_delay_ms,net_jitter_ms,net_loss_pct,congestion_algo,duration_actual,bytes_transferred,actual_throughput_kbps,zero_window_count,zero_window_duration_ms,zero_window_pct,window_min,window_max,window_mean,window_oscillations,rtt_min_us,rtt_max_us,rtt_mean_us,rtt_stddev_us,rtt_p50_us,rtt_p95_us,rtt_p99_us,rtt_samples,total_packets,retransmit_count,dup_ack_count,fast_retransmit_count,out_of_order_count,zero_window_probe_count,window_full_count,timestamp,success,error
16384,5,8192,10.0,1600.0,6.4,0,0,0,cubic,10.001161501044407,15893208,1551.890841466683,0,0.0,0.0,1448,64512,55971.66907032643,3900,19.0,5501.0,5069.5278772378515,306.35045310558996,5081.0,5141.0,5202.0,1955,12897,2,0,0,0,0,1950,2025-12-24T10:25:15.087634,True,
16384,10,8192,10.0,800.0,12.8,0,0,0,cubic,10.005405440926552,8014184,782.2123359925772,0,0.0,0.0,1448,64512,55952.00743955363,1951,17.0,10267.0,10032.669724770642,850.7087534949978,10102.0,10156.0,10195.0,981,6452,3,0,0,0,0,977,2025-12-24T10:25:28.848420,True,
16384,15,8192,10.0,533.3333333333334,19.2,0,0,0,cubic,10.013841477921233,5366248,523.3232994604851,0,0.0,0.0,1448,64512,55952.30479687858,1316,17.0,15263.0,14951.677224736048,1543.908119656027,15108.0,15167.0,15218.0,663,4357,4,0,0,0,0,661,2025-12-24T10:25:41.979478,True,
16384,20,8192,10.0,400.0,25.6,0,0,0,cubic,10.002022088039666,4029704,393.4462229598301,0,0.0,0.0,1448,64512,55934.94544307789,958,11.0,20263.0,19832.489669421488,2402.3913581047914,20122.0,20195.0,20244.0,484,3171,4,0,0,0,0,481,2025-12-24T10:25:54.932380,True,
16384,25,8192,10.0,320.0,32.0,0,0,0,cubic,10.016730814008042,3231400,315.0393198234813,0,0.0,0.0,1448,64512,55943.24884080371,780,10.0,25367.0,24680.01518987342,3314.563654161855,25117.0,25226.0,25264.0,395,2588,4,0,0,0,0,392,2025-12-24T10:26:07.803512,True,
16384,30,8192,10.0,266.6666666666667,38.4,0,0,0,cubic,10.020930454134941,2693736,262.5107094136686,0,0.0,0.0,1448,64512,55899.19634703196,661,7.0,30549.0,29510.166666666668,4304.4647587274985,30132.0,30231.0,30295.0,336,2190,4,0,0,0,0,333,2025-12-24T10:26:20.662621,True,
16384,40,8192,10.0,200.0,51.2,0,0,0,cubic,10.010880291927606,2026544,197.6895954490464,4,0.0,0.0,0,64512,55451.703795892965,502,17.0,41052.0,37448.02380952381,9933.420455805444,40133.0,40267.0,40546.0,252,1607,4,0,0,0,0,252,2025-12-24T10:26:33.520708,True,
16384,50,8192,10.0,160.0,64.0,0,0,0,cubic,10.034434080123901,1624992,158.1460635775491,63,0.0,0.0,0,64512,50874.63636363636,575,19.0,42988.0,32083.835249042146,14586.856602694419,40668.0,41959.0,42010.0,261,1408,2,0,0,0,0,257,2025-12-24T10:26:46.270573,True,
16384,75,8192,10.0,106.66666666666667,96.0,0,0,0,cubic,10.073553987080231,1089152,105.58587380026404,42,0.0,0.0,0,64512,50858.9029535865,386,27.0,42045.0,37696.0395480226,8154.675965713204,40656.0,41948.0,41990.0,177,948,3,0,0,0,0,174,2025-12-24T10:26:59.022666,True,
16384,100,8192,10.0,80.0,128.0,0,0,0,cubic,10.017028542933986,813120,79.27126259015523,32,0.0,0.0,0,64512,50832.787623066106,288,23.0,42026.0,33510.0,12304.73231558529,40677.0,41969.0,42003.0,134,711,4,0,0,0,0,131,2025-12-24T10:27:11.761389,True,
32768,5,8192,10.0,1600.0,6.4,0,0,0,cubic,10.00119373598136,15949824,1557.4140858767812,3,0.0,0.0,0,64512,56049.59218180408,3865,7.0,5554.0,5068.6589386913965,444.9899906934062,5084.0,5232.0,5312.0,1941,12893,2,0,0,0,0,1928,2025-12-24T10:27:24.481701,True,
32768,10,8192,10.0,800.0,12.8,0,0,0,cubic,10.006393767893314,8093696,789.8949594968879,2,0.0,0.0,0,64512,56049.91598201829,1930,2.0,10396.0,9946.23819301848,1226.169805085205,10082.0,10212.0,10302.0,974,6451,3,0,0,0,0,962,2025-12-24T10:27:38.061219,True,
32768,15,8192,10.0,533.3333333333334,19.2,0,0,0,cubic,10.008791102096438,5414912,528.335534837207,0,0.0,0.0,1448,64512,56046.62422715823,1306,3.0,15404.0,14779.58371040724,2189.8483060420467,15092.0,15200.0,15290.0,663,4367,3,0,0,0,0,651,2025-12-24T10:27:51.137920,True,
32768,20,8192,10.0,400.0,25.6,0,0,0,cubic,10.007253899937496,4063232,396.51237389158115,0,0.0,0.0,1448,64512,56054.00561622465,956,4.0,20530.0,19544.485655737706,3380.8392406480552,20102.0,20305.0,20348.0,488,3205,3,0,0,0,0,476,2025-12-24T10:28:04.097040,True,
32768,25,8192,10.0,320.0,32.0,0,0,0,cubic,10.012839236063883,3260416,317.99172292030653,0,0.0,0.0,1448,64512,56044.185939300805,776,4.0,25362.0,24217.63567839196,4640.037069405881,25101.0,25242.0,25315.0,398,2603,4,0,0,0,0,387,2025-12-24T10:28:16.933005,True,
32768,30,8192,10.0,266.6666666666667,38.4,0,0,0,cubic,10.011544475099072,2719744,265.29373231133917,0,0.0,0.0,1448,64512,56041.661870503594,664,9.0,30278.0,28945.38823529412,5781.475257170384,30109.0,30184.0,30205.0,340,2224,4,0,0,0,0,330,2025-12-24T10:28:29.754447,True,
32768,40,8192,10.0,200.0,51.2,0,0,0,cubic,10.039206606103107,2048000,199.2189301875853,9,0.0,0.0,0,64512,55508.635151515155,505,1.0,40891.0,36197.934362934364,11703.732248638265,40108.0,40222.0,40825.0,259,1650,5,0,0,0,0,250,2025-12-24T10:28:42.533042,True,
32768,50,8192,10.0,160.0,64.0,0,0,0,cubic,10.027578517794609,1638400,159.55995728786297,77,0.0,0.0,0,64512,52263.90941259731,479,4.0,42030.0,27006.508928571428,16509.14782779294,40337.0,41808.0,41980.0,224,1413,3,0,0,0,0,212,2025-12-24T10:28:55.265938,True,
32768,75,8192,10.0,106.66666666666667,96.0,0,0,0,cubic,10.00272033479996,1089536,106.37106350942265,50,0.0,0.0,0,64512,52517.46402502607,319,4.0,42037.0,34693.32894736842,11482.00650490304,40247.0,41753.0,41923.0,152,959,5,0,0,0,0,143,2025-12-24T10:29:07.998909,True,
