recv_buf,delay_ms,read_size,send_rate_mbps,receiver_capacity_kbps,oversubscription_ratio,net_delay_ms,net_jitter_ms,net_loss_pct,congestion_algo,duration_actual,bytes_transferred,actual_throughput_kbps,zero_window_count,zero_window_duration_ms,zero_window_pct,window_min,window_max,window_mean,window_oscillations,rtt_min_us,rtt_max_us,rtt_mean_us,rtt_stddev_us,rtt_p50_us,rtt_p95_us,rtt_p99_us,rtt_samples,total_packets,retransmit_count,dup_ack_count,fast_retransmit_count,out_of_order_count,zero_window_probe_count,window_full_count,timestamp,success,error
262144,1,16384,10.0,16000.0,0.64,25,0,0,bbr,10.000889694085345,60349168,5892.949145300019,0,0.0,0.0,0,312424,106940.62547156768,15692,24995.0,26159.0,25400.87927264357,367.8062658924071,25296.0,26036.0,26070.0,8689,50629,0,0,0,0,0,0,2025-12-24T13:05:36.222190,True,
262144,1,16384,10.0,16000.0,0.64,25,2,0,bbr,10.000398410949856,55945816,5463.240932249089,0,0.0,0.0,64240,313344,160555.6368885252,16934,20873.0,30695.0,26505.234917245063,1078.3746828258488,26498.0,28247.0,29121.0,7492,65988,2,19348,0,0,0,0,2025-12-24T13:05:52.739739,True,
262144,1,16384,10.0,16000.0,0.64,25,4,0,bbr,10.001079227076843,50675856,4948.280030720704,0,0.0,0.0,0,313344,151759.9933376019,18051,20139.0,36172.0,28937.276958525345,1884.4377527610995,28898.0,31974.000000000004,33423.0,4340,57787,17,18145,0,0,0,0,2025-12-24T13:06:09.882464,True,
262144,1,16384,10.0,16000.0,0.64,25,6,0,bbr,10.002116278046742,22048648,2152.732703153981,0,0.0,0.0,64240,313344,161121.02644477374,10016,17865.0,40620.0,29746.017439556083,3412.512453462801,29708.0,35348.0,37629.0,2523,26319,97,8531,0,0,0,1,2025-12-24T13:06:26.545771,True,
262144,1,16384,10.0,16000.0,0.64,25,8,0,bbr,10.000363975996152,18006832,1758.4156853899262,0,0.0,0.0,64240,313344,163665.10639180962,9217,275.0,48358.0,31378.609623015873,4105.352069309379,31448.999999999996,37910.0,41082.0,2016,21684,97,7156,5,0,0,0,2025-12-24T13:06:41.003778,True,
262144,1,16384,10.0,16000.0,0.64,25,10,0,bbr,10.00717806094326,8234280,803.552111647151,0,0.0,0.0,64240,313344,178860.92492758288,4432,12.0,85908.0,31361.405363984675,8721.577263437894,31512.0,42368.0,62463.0,1305,12428,852,4619,315,0,0,0,2025-12-24T13:06:55.170812,True,
262144,1,16384,10.0,16000.0,0.64,25,12,0,bbr,10.004117542877793,5057368,493.6803187619575,0,0.0,0.0,64240,313344,185208.11584401896,3452,8.0,336141.0,33616.416569428235,22633.510193529688,32522.000000000004,62081.0,90015.0,857,11386,2266,4879,1432,0,0,0,2025-12-24T13:07:08.684285,True,
262144,1,16384,10.0,16000.0,0.64,25,14,0,bbr,10.009318924043328,4640344,452.73669186568765,0,0.0,0.0,0,313344,185781.04281236004,3346,4.0,245944.0,35664.941831683165,17903.334793151687,34773.0,64109.0,81548.0,808,11165,2364,4824,1558,0,0,0,2025-12-24T13:07:22.014364,True,
262144,1,16384,10.0,16000.0,0.64,25,16,0,bbr,10.011811261996627,4210288,410.6758774615607,0,0.0,0.0,64240,313344,185553.48078930884,2791,3.0,101618.0,38359.795486600844,18128.3156404445,36926.0,70762.0,85832.0,709,9578,1901,4109,1266,0,0,0,2025-12-24T13:07:35.312395,True,
262144,1,16384,10.0,16000.0,0.64,25,18,0,bbr,10.006386511959136,4137888,403.832716752497,0,0.0,0.0,64240,313344,185449.25645522753,3154,1.0,120863.0,37552.067588325655,18176.804908637714,37060.0,68954.0,87709.0,651,10263,2319,4518,1647,0,0,0,2025-12-24T13:07:48.613505,True,
