recv_buf,delay_ms,read_size,send_rate_mbps,receiver_capacity_kbps,oversubscription_ratio,net_delay_ms,net_jitter_ms,net_loss_pct,congestion_algo,duration_actual,bytes_transferred,actual_throughput_kbps,zero_window_count,zero_window_duration_ms,zero_window_pct,window_min,window_max,window_mean,window_oscillations,rtt_min_us,rtt_max_us,rtt_mean_us,rtt_stddev_us,rtt_p50_us,rtt_p95_us,rtt_p99_us,rtt_samples,total_packets,retransmit_count,dup_ack_count,fast_retransmit_count,out_of_order_count,zero_window_probe_count,window_full_count,timestamp,success,error
262144,1,16384,10.0,16000.0,0.64,12,0,0,cubic,10.000567177077755,97492992,9520.26003267352,0,0.0,0.0,64240,312208,91562.92257507076,16924,12002.0,13080.0,12414.198795180722,252.81207609220894,12409.0,12804.0,12909.0,8798,79858,0,0,0,0,0,30,2025-12-24T17:49:18.110683,True,
262144,1,16384,10.0,16000.0,0.64,12,0,0,bbr,10.00051307096146,97476608,9518.711622547595,0,0.0,0.0,64240,312504,93033.57951479129,18408,12001.0,13128.0,12424.081767120328,245.54130974599568,12423.0,12803.0,12841.0,9258,80419,0,0,0,0,0,0,2025-12-24T17:49:36.672753,True,
262144,1,16384,10.0,16000.0,0.64,12,4,0,cubic,10.005439631873742,90356080,8819.0387050964,0,0.0,0.0,64240,313344,136556.5036241479,4896,64.0,28464.0,16845.685789473686,3088.7972007866647,17160.0,21232.0,22913.0,3800,101955,511,34266,56,1,0,341,2025-12-24T17:49:55.433823,True,
262144,1,16384,10.0,16000.0,0.64,12,4,0,bbr,10.00244785984978,29499368,2880.092649933858,0,0.0,0.0,64240,313344,163943.33545688193,10719,4521.0,24021.0,14739.165348101265,2312.967310481996,14707.0,18604.0,20089.0,3792,36574,236,12167,0,0,0,4,2025-12-24T17:50:14.996181,True,
262144,1,16384,10.0,16000.0,0.64,12,8,0,cubic,10.00547927711159,2513232,245.29840670546292,0,0.0,0.0,64240,313344,186645.65984593163,1809,3.0,49176.0,13807.089940828402,7013.693665405364,13808.0,24799.0,33883.0,845,4154,437,1245,188,0,0,0,2025-12-24T17:50:30.011682,True,
262144,1,16384,10.0,16000.0,0.64,12,8,0,bbr,10.00453740498051,8874296,866.2374217508243,0,0.0,0.0,64240,313344,185235.15037051294,6275,3.0,59972.0,18369.520833333332,8568.845170308943,17717.0,33418.0,41086.0,1392,20782,4337,9023,3078,0,0,0,2025-12-24T17:50:42.959989,True,
262144,1,16384,10.0,16000.0,0.64,12,12,0,cubic,10.00390796083957,1768960,172.68251634884305,0,0.0,0.0,64240,313344,186859.36836935167,1648,3.0,87528.0,15116.556589147287,10373.488799714656,14076.0,31577.0,50590.0,645,3054,344,889,134,0,0,0,2025-12-24T17:50:56.791726,True,
262144,1,16384,10.0,16000.0,0.64,12,12,0,bbr,10.002879533916712,7765128,758.0949852277947,0,0.0,0.0,64240,313344,185117.78053198097,6191,2.0,69912.0,20409.24269264836,9866.225947172374,19751.0,37051.0,45842.0,1129,19324,4382,8540,3337,0,0,0,2025-12-24T17:51:09.613794,True,
262144,1,16384,10.0,16000.0,0.64,12,16,0,cubic,10.02927149599418,1637192,159.4153985300517,0,0.0,0.0,64240,313344,187012.56318082788,1529,2.0,96921.0,15747.227826086957,11642.718494829049,15338.0,33965.0,49285.0,575,2754,326,807,160,0,0,0,2025-12-24T17:51:23.269722,True,
262144,1,16384,10.0,16000.0,0.64,12,16,0,bbr,10.014490636996925,6734152,656.6804594339369,0,0.0,0.0,64240,313344,185066.2273385462,5780,1.0,67926.0,21663.383838383837,10208.455008409877,20984.0,39217.0,49520.0,990,17265,4060,7625,3052,0,0,0,2025-12-24T17:51:36.190744,True,
262144,1,16384,10.0,16000.0,0.64,12,20,0,cubic,10.03436528914608,1510720,147.02599093096683,0,0.0,0.0,64240,313344,186883.77574626866,1494,3.0,78290.0,16001.379928315413,13547.433768117584,14088.0,41979.0,57834.0,558,2680,339,783,167,0,0,0,2025-12-24T17:51:49.833450,True,
262144,1,16384,10.0,16000.0,0.64,12,20,0,bbr,10.008923122892156,6789632,662.458879800454,0,0.0,0.0,64240,313344,185283.69717821517,6660,6.0,70340.0,21220.055208333335,11231.194781169857,19701.0,40743.0,54935.0,960,18747,4736,8395,3595,0,0,0,2025-12-24T17:52:02.703704,True,
262144,1,16384,10.0,16000.0,0.64,12,24,0,cubic,10.016208600951359,1386688,135.1996103467111,0,0.0,0.0,64240,313344,186662.7516,1518,3.0,85200.0,15724.729831144465,15191.274341982893,11502.0,44802.0,54598.0,533,2500,320,723,158,0,0,0,2025-12-24T17:52:16.415683,True,
262144,1,16384,10.0,16000.0,0.64,12,24,0,bbr,10.010133105097339,7631416,744.5010580034171,0,0.0,0.0,64240,313344,186114.12821760282,8736,4.0,58775.0,15963.544608223428,10472.01936395765,14475.0,35866.0,47966.0,1289,22610,6047,10021,4451,0,0,0,2025-12-24T17:52:29.340577,True,
262144,1,16384,10.0,16000.0,0.64,25,0,0,cubic,10.00271152309142,58506720,5711.998053537968,0,0.0,0.0,64240,312552,93245.26102381102,6658,24996.0,26281.0,25336.107104984094,381.6188654699473,25125.0,26049.0,26090.0,5658,47919,0,0,0,0,0,49,2025-12-24T17:52:43.309861,True,
262144,1,16384,10.0,16000.0,0.64,25,0,0,bbr,10.000488243997097,60385072,5896.691785063321,0,0.0,0.0,0,311904,107232.72317799788,16095,24998.0,26158.0,25416.00479616307,361.50554455141327,25310.0,26036.0,26075.0,8757,50686,0,0,0,0,0,0,2025-12-24T17:52:59.709953,True,
262144,1,16384,10.0,16000.0,0.64,25,4,0,cubic,10.002066351938993,38841288,3792.31090635054,0,0.0,0.0,0,313344,155210.89155256233,8140,14816.0,39087.0,28378.184042553192,2440.8305338248583,28464.0,32197.000000000004,33931.0,3760,44842,26,13951,1,0,0,1,2025-12-24T17:53:16.240567,True,
262144,1,16384,10.0,16000.0,0.64,25,4,0,bbr,10.000739774201065,50930624,4973.3258361852895,0,0.0,0.0,64240,313344,152284.97616671256,18922,19906.0,36287.0,28879.176246070947,1871.32746146666,28871.0,31946.000000000004,33453.0,4454,58112,46,18245,0,0,0,0,2025-12-24T17:53:31.910970,True,
262144,1,16384,10.0,16000.0,0.64,25,8,0,cubic,10.00118067394942,33715344,3292.125369833761,0,0.0,0.0,64240,313344,162399.03610427727,6559,10.0,51535.0,33042.91184573003,5708.764277516709,33275.0,40853.0,44940.0,2178,46338,2251,18634,319,0,0,0,2025-12-24T17:53:48.483326,True,
262144,1,16384,10.0,16000.0,0.64,25,8,0,bbr,10.000098166055977,16897520,1650.1322388026276,0,0.0,0.0,64240,313344,160399.60430600986,7364,15260.0,49045.0,31235.91423859263,4682.590797932303,31314.0,38616.0,41521.0,1819,20483,150,6890,11,0,0,3,2025-12-24T17:54:04.129905,True,
262144,1,16384,10.0,16000.0,0.64,25,12,0,cubic,10.00916155287996,1816744,177.25401404771168,0,0.0,0.0,64240,313344,185879.9306503773,1015,3.0,83262.0,28672.24156305506,10733.391532782123,28515.0,46008.0,66535.0,563,2783,242,829,57,0,0,0,2025-12-24T17:54:18.159614,True,
262144,1,16384,10.0,16000.0,0.64,25,12,0,bbr,10.01049188291654,5050128,492.6596697427358,0,0.0,0.0,64240,313344,185154.52717440287,3393,2.0,117600.0,35641.47078280044,17852.683571541736,34074.0,71342.0,89573.0,907,11095,2095,4683,1193,0,0,0,2025-12-24T17:54:31.057458,True,
262144,1,16384,10.0,16000.0,0.64,25,16,0,cubic,10.005589143140242,1218720,118.94914262154792,0,0.0,0.0,64240,313344,186602.0559883155,924,4.0,99422.0,28293.274553571428,14483.033908652355,27241.0,49826.0,70746.0,448,2054,214,589,69,0,0,0,2025-12-24T17:54:44.442671,True,
262144,1,16384,10.0,16000.0,0.64,25,16,0,bbr,10.012036245083436,4385496,427.756235860921,0,0.0,0.0,64240,313344,185735.3324781452,3118,7.0,95269.0,36337.432664756445,16878.42133116381,35559.0,66729.0,76831.0,698,10524,2272,4609,1553,0,0,0,2025-12-24T17:54:57.280599,True,
262144,1,16384,10.0,16000.0,0.64,25,20,0,cubic,10.038233029888943,947944,92.2200709769976,0,0.0,0.0,64240,313344,186116.67221195318,823,10.0,105466.0,32256.260188087774,19197.59554443702,32577.0,64157.00000000001,91025.0,319,1623,185,496,71,0,0,0,2025-12-24T17:55:10.599380,True,
262144,1,16384,10.0,16000.0,0.64,25,20,0,bbr,10.015727539081126,3880144,378.3252999060349,0,0.0,0.0,64240,313344,185478.1909344924,3032,4.0,116547.0,40419.164495114004,19942.784346700435,39189.0,77550.0,99244.0,614,9663,2186,4250,1582,0,0,0,2025-12-24T17:55:23.464143,True,
262144,1,16384,10.0,16000.0,0.64,25,24,0,cubic,10.018916853005067,890024,86.75229820270478,0,0.0,0.0,64240,313344,186095.67628205128,781,7.0,137830.0,32585.063291139242,21429.98846883673,30733.0,70392.0,109210.0,316,1560,187,469,76,0,0,0,2025-12-24T17:55:36.759121,True,
262144,1,16384,10.0,16000.0,0.64,25,24,0,bbr,10.032361808931455,3689008,359.0925988925938,0,0.0,0.0,64240,313344,185585.95441802513,3077,3.0,111719.0,40396.53439153439,18937.859485127847,39489.0,73244.0,94244.0,567,9631,2254,4272,1661,0,0,0,2025-12-24T17:55:49.562908,True,
262144,1,16384,10.0,16000.0,0.64,50,0,0,cubic,10.015101515920833,28687616,2797.3006519668966,0,0.0,0.0,64240,311952,93153.66113905703,208,49994.0,57493.0,50366.07502718376,360.2586448894811,50243.0,51024.0,51091.0,2759,23458,0,0,0,0,0,88,2025-12-24T17:56:02.834800,True,
262144,1,16384,10.0,16000.0,0.64,50,0,0,bbr,10.000877329148352,29789032,2908.82995611919,0,0.0,0.0,0,312424,137825.1524447737,17273,50001.0,51212.0,50447.09405491264,321.7489135993604,50412.0,51003.0,51059.0,8814,29696,0,0,0,0,0,0,2025-12-24T17:56:17.478015,True,
262144,1,16384,10.0,16000.0,0.64,50,4,0,cubic,10.000674400944263,28150792,2748.9153941362497,0,0.0,0.0,64240,313344,152905.07107698976,2153,41077.0,62459.0,53543.352572145544,3219.812287377636,53725.0,58477.0,60181.0,2391,32303,2,10081,2,0,0,0,2025-12-24T17:56:32.384856,True,
