delay_ms,jitter_ms,congestion_algo,iteration,throughput_kbps,retransmits
50,0,cubic,1,10917.563714619459,1552
50,0,cubic,2,11146.860446282348,3415
50,0,cubic,3,10481.659196098175,2347
50,0,bbr,1,18929.39792131789,6679
50,0,bbr,2,18929.233252665046,5749
50,0,bbr,3,18352.604941661248,4665
50,8,cubic,1,4159.247176261096,1740
50,8,cubic,2,11582.29392810439,1781
50,8,cubic,3,15563.732327962301,1255
50,8,bbr,1,16023.063549040187,3275
50,8,bbr,2,16164.67038026931,5345
50,8,bbr,3,15523.82149324997,5216
50,12,cubic,1,9765.051446395251,3015
50,12,cubic,2,3622.1823068433587,2684
50,12,cubic,3,13271.686222846665,3005
50,12,bbr,1,15256.004221958383,6373
50,12,bbr,2,15217.678232176782,7276
50,12,bbr,3,16790.992358886666,4038
50,16,cubic,1,2649.2354651999885,9
50,16,cubic,2,12709.455687442423,6
50,16,cubic,3,2367.7007226286596,2070
50,16,bbr,1,14015.243176868447,9478
50,16,bbr,2,13246.334935698582,10205
50,16,bbr,3,13233.040367811973,7587
50,20,cubic,1,14743.183592209236,1415
50,20,cubic,2,11671.922744701587,4979
50,20,cubic,3,14436.091668942136,3599
50,20,bbr,1,11391.381447987374,12991
50,20,bbr,2,12733.756312137803,14916
50,20,bbr,3,15153.110386077758,9756
