delay_ms,jitter_ms,congestion_algo,initcwnd,timestamps,iteration,throughput_kbps,retransmits,first_cwnd,cwnd_samples
50,8,cubic,10,0,1,13387.043619877071,2292,10,168
50,8,cubic,10,0,2,16534.78081987021,950,10,164
50,8,cubic,10,0,3,14743.11283686442,1393,10,166
50,8,cubic,10,0,4,17035.91924297514,1446,10,166
50,8,cubic,10,0,5,16279.146732587398,1073,10,166
50,8,cubic,10,1,1,12683.584912565375,1444,10,164
50,8,cubic,10,1,2,16164.200052372873,1391,10,166
50,8,cubic,10,1,3,7346.430828692236,1822,10,163
50,8,cubic,10,1,4,14718.332412937614,1491,10,164
50,8,cubic,10,1,5,13719.727257229388,2856,10,166
50,12,cubic,10,0,1,422.3749531652773,9,10,170
50,12,cubic,10,0,2,15755.219751458928,844,10,166
50,12,cubic,10,0,3,16676.97411871285,837,10,167
50,12,cubic,10,0,4,16970.307061892607,1684,10,166
50,12,cubic,10,0,5,12581.952082505863,800,10,167
50,12,cubic,10,1,1,9420.329925536718,2999,10,164
50,12,cubic,10,1,2,1804.4806069325728,2490,10,166
50,12,cubic,10,1,3,6668.608610932866,2032,10,167
50,12,cubic,10,1,4,12145.59070923103,3374,10,168
50,12,cubic,10,1,5,12568.786799494072,3057,10,169
50,16,cubic,10,0,1,1075.048848131953,13,10,166
50,16,cubic,10,0,2,15844.471727790728,631,10,166
50,16,cubic,10,0,3,371.1804759069673,16,10,168
50,16,cubic,10,0,4,17791.04462090386,967,10,167
50,16,cubic,10,0,5,15806.229702273346,884,10,166
50,16,cubic,10,1,1,14359.260876403234,1824,10,166
50,16,cubic,10,1,2,16189.408075767069,2,10,166
50,16,cubic,10,1,3,2879.604054442514,2416,10,166
50,16,cubic,10,1,4,11928.679105973019,4531,10,168
50,16,cubic,10,1,5,13476.591441428562,3128,10,169
