delay_ms,jitter_ms,congestion_algo,initcwnd,timestamps,iteration,throughput_kbps,retransmits,first_cwnd,cwnd_samples
50,8,cubic,3,1,1,7282.204522641755,3379,10,169
50,8,cubic,3,1,2,11940.770084883414,2597,10,164
50,8,cubic,3,1,3,13630.063168023824,4171,10,168
50,8,cubic,3,1,4,12286.873293718967,3166,10,164
50,8,cubic,3,1,5,7845.294597991143,2729,10,166
50,8,cubic,10,1,1,4876.047138321843,2499,10,168
50,8,cubic,10,1,2,12837.506509546936,2603,10,168
50,8,cubic,10,1,3,15794.258662183734,1997,10,166
50,8,cubic,10,1,4,15320.933539391037,1617,10,164
50,8,cubic,10,1,5,6322.194771031406,2412,10,166
50,8,cubic,20,1,1,12682.770756678932,2881,10,166
50,8,cubic,20,1,2,9918.712551110864,1975,10,172
50,8,cubic,20,1,3,7870.832755502359,2252,10,168
50,8,cubic,20,1,4,10034.288886569098,2007,10,167
50,8,cubic,20,1,5,7243.887270203955,2328,10,166
50,8,cubic,40,1,1,6936.716955931511,3137,10,168
50,8,cubic,40,1,2,5477.879601437864,3572,10,170
50,8,cubic,40,1,3,5938.4796624169485,1852,10,166
50,8,cubic,40,1,4,16062.89969137114,2594,10,166
50,8,cubic,40,1,5,14922.66755080699,1881,10,166
50,12,cubic,3,1,1,14718.9534824074,2964,10,165
50,12,cubic,3,1,2,12196.638805356506,1589,10,164
50,12,cubic,3,1,3,6731.812443114595,20,10,168
50,12,cubic,3,1,4,4274.8208233929645,2111,10,170
50,12,cubic,3,1,5,11326.466396449921,3664,10,165
50,12,cubic,10,1,1,6450.481416370217,2323,10,164
50,12,cubic,10,1,2,3954.9255281683454,2943,10,164
50,12,cubic,10,1,3,10763.276996305023,3566,10,166
50,12,cubic,10,1,4,6604.237318980423,15,10,165
50,12,cubic,10,1,5,15895.541527372205,1576,10,165
50,12,cubic,20,1,1,16100.104125151753,1488,10,166
50,12,cubic,20,1,2,8792.680285642122,3835,10,165
50,12,cubic,20,1,3,3161.3135849891996,2,10,164
50,12,cubic,20,1,4,4645.82716951,4444,10,167
50,12,cubic,20,1,5,4018.7113247029165,2830,10,166
50,12,cubic,40,1,1,11660.440858421558,2560,10,167
50,12,cubic,40,1,2,13579.185434851795,2039,10,165
50,12,cubic,40,1,3,11543.638735778792,3330,10,166
50,12,cubic,40,1,4,11991.422357699841,32,10,166
50,12,cubic,40,1,5,14679.34965569778,1319,10,166
50,16,cubic,3,1,1,13490.435092330265,2720,10,168
50,16,cubic,3,1,2,15101.621494614597,2335,10,167
50,16,cubic,3,1,3,2009.3924297620056,4,10,168
50,16,cubic,3,1,4,15972.352344429444,2363,10,166
50,16,cubic,3,1,5,4108.255245354466,7066,10,167
50,16,cubic,10,1,1,3788.190101393676,4761,10,166
50,16,cubic,10,1,2,15422.083035078738,1193,10,166
50,16,cubic,10,1,3,3148.4023567823383,2169,10,168
50,16,cubic,10,1,4,19235.98973048677,1049,10,169
50,16,cubic,10,1,5,14435.83042218485,3543,10,166
50,16,cubic,20,1,1,13003.510051802861,1427,10,168
50,16,cubic,20,1,2,13399.774950651721,3184,10,168
50,16,cubic,20,1,3,3992.874893919264,3979,10,169
50,16,cubic,20,1,4,1650.9616011447947,3536,10,169
50,16,cubic,20,1,5,10789.318910245194,2117,10,168
50,16,cubic,40,1,1,4556.450064635034,8,10,168
50,16,cubic,40,1,2,3621.840063526179,1885,10,167
50,16,cubic,40,1,3,3941.9013494792907,4380,10,167
50,16,cubic,40,1,4,11019.490884482922,3421,10,170
50,16,cubic,40,1,5,4428.43332572063,4870,10,168
