recv_buf,delay_ms,read_size,send_rate_mbps,receiver_capacity_kbps,oversubscription_ratio,net_delay_ms,net_jitter_ms,net_loss_pct,congestion_algo,duration_actual,bytes_transferred,actual_throughput_kbps,zero_window_count,zero_window_duration_ms,zero_window_pct,window_min,window_max,window_mean,window_oscillations,rtt_min_us,rtt_max_us,rtt_mean_us,rtt_stddev_us,rtt_p50_us,rtt_p95_us,rtt_p99_us,rtt_samples,total_packets,retransmit_count,dup_ack_count,timestamp,success,error
65536,2,4096,4.0,2000.0,2.048,0,0,0,cubic,10.00038561807014,19591168,1913.1262263956642,992,0.0,0.0,0,74300,54818.66177490178,4222,5.0,2455.0,2047.772085729221,252.86757765530533,2074.0,2139.0,2258.0,1913,17308,0,0,2025-12-22T20:49:42.725176,True,
65536,2,4096,4.0,2000.0,2.048,2,0,0,cubic,10.002001449931413,19685376,1922.01531825731,879,0.0,0.0,0,74300,55681.60165058701,4445,2007.0,4337.0,2123.650276243094,111.16007974382246,2106.0,2203.0,2473.0,1810,17206,0,0,2025-12-22T20:49:55.541799,True,
65536,2,4096,8.0,2000.0,4.096,0,0,0,cubic,10.001109695993364,19722240,1925.7862962662957,1036,0.0,0.0,0,74300,54753.003710681056,4156,5.0,2236.0,2042.8714652956298,235.74168672906197,2071.0,2085.0,2128.0,1945,17517,0,0,2025-12-22T20:50:08.407742,True,
65536,2,4096,8.0,2000.0,4.096,2,0,0,cubic,10.00177628500387,19820544,1935.2562433356316,895,0.0,0.0,0,74300,55679.65971346705,4493,2007.9999999999998,4087.0000000000005,2103.068493150685,60.84257899101049,2100.0,2128.0,2255.0,1825,17450,0,0,2025-12-22T20:50:21.199002,True,
65536,2,4096,16.0,2000.0,8.192,0,0,0,cubic,10.001159138046205,19709952,1924.5769149675014,1014,0.0,0.0,0,74300,54524.039819423546,4072,5.0,2491.0,2047.5211267605634,223.9590879935607,2071.0,2087.0,2190.0,1988,17278,0,0,2025-12-22T20:50:34.006775,True,
65536,2,4096,16.0,2000.0,8.192,2,0,0,cubic,10.000306309084408,19755008,1929.1409086614574,899,0.0,0.0,0,74300,55638.60464849354,4509,2011.0000000000002,4105.0,2108.285401858939,69.6947300483833,2104.0,2138.0,2253.0,1829,17425,0,0,2025-12-22T20:50:46.783617,True,
65536,2,4096,32.0,2000.0,16.384,0,0,0,cubic,10.000324371038005,19722240,1925.9375281644857,1044,0.0,0.0,0,74300,54751.16642861224,4153,2.0,2217.0,2046.8934850051705,224.1355980593684,2071.0,2082.0,2148.0,1934,17503,0,0,2025-12-22T20:50:59.597803,True,
65536,2,4096,32.0,2000.0,16.384,2,0,0,cubic,10.000377989024855,19775488,1931.1270055186312,898,0.0,0.0,0,74300,55657.59416293232,4494,2011.0000000000002,4061.0000000000005,2106.071389346513,58.61253518043129,2103.0,2145.0,2270.0,1821,17406,0,0,2025-12-22T20:51:12.360410,True,
65536,2,8192,4.0,4000.0,1.024,0,0,0,cubic,10.000716494047083,39116800,3819.7263188831034,820,0.0,0.0,0,74300,56896.22335844995,7994,4.0,2384.0,1956.6448407643313,395.63083510208526,2072.0,2097.0,2198.0,3925,33444,0,0,2025-12-22T20:51:25.180147,True,
65536,2,8192,4.0,4000.0,1.024,2,0,0,cubic,10.001724864006974,39469056,3853.7352830717823,0,0.0,0.0,7174,74300,58090.666705359996,8148,2003.0,4060.0000000000005,2183.1889521100047,279.94484165317976,2115.0,2627.0,3721.0,4218,34459,0,0,2025-12-22T20:51:38.501368,True,
