recv_buf,delay_ms,read_size,send_rate_mbps,receiver_capacity_kbps,oversubscription_ratio,net_delay_ms,net_jitter_ms,net_loss_pct,congestion_algo,duration_actual,bytes_transferred,actual_throughput_kbps,zero_window_count,zero_window_duration_ms,zero_window_pct,window_min,window_max,window_mean,window_oscillations,rtt_min_us,rtt_max_us,rtt_mean_us,rtt_stddev_us,rtt_p50_us,rtt_p95_us,rtt_p99_us,rtt_samples,total_packets,retransmit_count,dup_ack_count,timestamp,success,error
32768,1,4096,10.0,4000.0,2.56,0,0,0,cubic,10.001023213961162,38006784,3711.2202627614197,641,0.0,0.0,0,64512,54086.837008808645,10878,5.0,4619.0,1465.7656463248197,906.6499801196393,1071.0,4241.0,4254.0,5129,32014,0,0,2025-12-22T19:08:20.588047,True,
32768,1,4096,10.0,4000.0,2.56,1,0,0,cubic,10.000535696046427,38277120,3737.7997675442193,1629,0.0,0.0,0,64512,58691.541914857815,4909,1010.0,3308.0,1093.3027190332327,85.57327327119748,1078.0,1153.0,1275.0,1655,29715,0,0,2025-12-22T19:08:33.804010,True,
32768,1,4096,10.0,4000.0,2.56,2,0,0,cubic,10.001022120937705,38264832,3736.4180928835244,0,0.0,0.0,5792,64512,55912.45385140587,9316,2010.0,2922.0,2253.8951662247605,58.14602875424741,2237.0,2340.0,2502.0,4903,32222,0,0,2025-12-22T19:08:47.023597,True,
32768,1,4096,10.0,4000.0,2.56,5,0,0,cubic,10.000934671028517,27918392,2726.1506633455597,0,0.0,0.0,14480,64512,57693.71134104945,5838,5001.0,10352.0,5282.376041868579,434.0022993353969,5028.0,6072.0,6121.0,5159,24451,0,0,2025-12-22T19:09:00.284444,True,
32768,1,8192,10.0,8000.0,1.28,0,0,0,cubic,10.000296065001749,74326016,7258.185110541256,4,0.0,0.0,0,64512,56054.53091295258,18091,1.0,1492.0,1076.64229707344,58.20450475091104,1072.0,1122.0,1197.0,9055,60266,0,0,2025-12-22T19:09:13.306234,True,
32768,1,8192,10.0,8000.0,1.28,1,0,0,cubic,10.000394777045585,76079104,7429.306708024706,0,0.0,0.0,5792,64512,57285.06106326491,17593,1008.0,2037.0000000000002,1123.048871754167,38.94016031427584,1116.0,1182.0,1286.0,8819,61772,0,0,2025-12-22T19:09:27.472213,True,
32768,1,8192,10.0,8000.0,1.28,2,0,0,cubic,10.000574055011384,61838744,6038.5931952814535,0,0.0,0.0,0,64512,59285.752810774306,8522,2001.9999999999998,4341.0,2249.2205746061168,242.78878601454997,2235.0,2828.0,3002.0,7553,50342,0,0,2025-12-22T19:09:41.687721,True,
32768,1,8192,10.0,8000.0,1.28,5,0,0,cubic,10.000902479048818,36635352,3577.348245565805,0,0.0,0.0,18824,64512,57994.66881604872,15303,4992.0,6303.0,5368.134673245878,368.0980979146274,5151.0,6031.0,6091.0,8309,33498,0,0,2025-12-22T19:09:55.598124,True,
32768,2,4096,10.0,2000.0,5.12,0,0,0,cubic,10.000615154975094,19542016,1908.282611045793,0,0.0,0.0,1448,64512,54088.98670893793,5898,4.0,8553.0,3331.928692125718,2012.8663086748181,2093.0,8258.0,8346.0,2959,16402,0,0,2025-12-22T19:10:08.925434,True,
32768,2,4096,10.0,2000.0,5.12,1,0,0,cubic,10.000752808060497,19873792,1940.653906009692,159,0.0,0.0,0,64512,55078.89546446762,5265,1002.0000000000001,7703.0,2503.5196574542624,2477.452237883014,1024.0,7221.0,7358.0,2569,16492,0,0,2025-12-22T19:10:21.689003,True,
32768,2,4096,10.0,2000.0,5.12,2,0,0,cubic,10.001991695025936,19734528,1926.8162369684937,1,0.0,0.0,0,64512,55625.579617834395,5068,2003.0,4492.0,2117.7973148549154,79.3184129280789,2109.0,2177.0,2274.0,2309,16171,0,0,2025-12-22T19:10:34.475692,True,
32768,2,4096,10.0,2000.0,5.12,5,0,0,cubic,10.001696050981991,19670688,1920.6398746854488,0,0.0,0.0,8688,64512,56879.54644741686,2294,5013.0,7005.0,5358.076552720269,106.41143167715958,5338.0,5549.0,5772.0,2077,16298,0,0,2025-12-22T19:10:47.264751,True,
32768,2,8192,10.0,4000.0,2.56,0,0,0,cubic,10.00076716800686,38830080,3791.7091122077795,0,0.0,0.0,1448,64512,56053.68170115381,9444,4.0,2528.0,2077.9765426880813,120.87962197369522,2075.0,2148.0,2214.0,4732,31461,0,0,2025-12-22T19:11:00.100821,True,
32768,2,8192,10.0,4000.0,2.56,1,0,0,cubic,10.000495420070365,39698432,3876.607945061908,0,0.0,0.0,1448,64512,56109.97353215284,9564,1002.0000000000001,3304.0,1056.2133361030328,220.7347212829351,1021.9999999999999,1101.0,3057.0,4814,32190,0,0,2025-12-22T19:11:13.360398,True,
32768,2,8192,10.0,4000.0,2.56,2,0,0,cubic,10.000908919959329,39354368,3842.8507156283845,0,0.0,0.0,0,64512,57282.01948538596,9124,2013.0,4097.0,2130.8686625874125,61.0238762781301,2119.0,2212.0,2310.0,4576,32024,0,0,2025-12-22T19:11:26.648204,True,
32768,2,8192,10.0,4000.0,2.56,5,0,0,cubic,10.00207055406645,30461080,2974.0990404637746,0,0.0,0.0,15928,64512,59110.72058184118,6479,4989.0,7248.0,5438.10355987055,500.57235978411524,5331.0,6764.0,7071.0,4326,25299,0,0,2025-12-22T19:11:39.945090,True,
32768,3,4096,10.0,1333.3333333333333,7.680000000000001,0,0,0,cubic,10.0016861660406,13221888,1290.982318945478,223,0.0,0.0,0,64512,54081.70576612179,3781,2.0,12636.0,4256.85410844047,2722.982750853085,3085.0,12259.0,12352.0,1789,11134,0,0,2025-12-22T19:11:53.025337,True,
32768,3,4096,10.0,1333.3333333333333,7.680000000000001,1,0,0,cubic,10.000681911944412,13279232,1296.7115756888081,99,0.0,0.0,0,64512,55131.14081670024,3479,1006.0,11728.0,4276.865373309818,3749.8748321787925,2051.0,11333.0,11439.0,1701,10922,0,0,2025-12-22T19:12:05.688823,True,
32768,3,4096,10.0,1333.3333333333333,7.680000000000001,2,0,0,cubic,10.000693973968737,13262848,1295.110122728818,0,0.0,0.0,1448,64512,55639.04584447929,3393,2007.9999999999998,4503.0,4110.965161290323,204.3762029558515,4120.0,4225.0,4294.0,1550,10841,0,0,2025-12-22T19:12:18.357024,True,
