recv_buf,delay_ms,read_size,send_rate_mbps,receiver_capacity_kbps,oversubscription_ratio,net_delay_ms,net_jitter_ms,net_loss_pct,congestion_algo,duration_actual,bytes_transferred,actual_throughput_kbps,zero_window_count,zero_window_duration_ms,zero_window_pct,window_min,window_max,window_mean,window_oscillations,rtt_min_us,rtt_max_us,rtt_mean_us,rtt_stddev_us,rtt_p50_us,rtt_p95_us,rtt_p99_us,rtt_samples,total_packets,retransmit_count,dup_ack_count,timestamp,success,error
131072,2,8192,5.0,4000.0,1.28,100,40,1.0,cubic,10.01229644403793,2073712,202.26222688461263,0,0.0,0.0,64240,156672,101820.01998097051,610,36.0,496124.0,133785.2624434389,65237.24371342485,127709.99999999999,182623.0,454854.0,221,3153,250,0,2025-12-23T17:08:03.547331,True,
131072,2,8192,5.0,4000.0,1.28,100,40,1.5,cubic,10.017391494940966,690200,67.28532451191498,0,0.0,0.0,64240,156672,107513.1918328585,355,2899.0,344595.0,120427.50920245399,44012.76008094888,115743.0,177026.0,312976.0,163,1053,57,0,2025-12-23T17:08:16.257720,True,
131072,2,8192,5.0,4000.0,1.28,100,40,2.0,cubic,10.019926558015868,723504,70.5141770160748,0,0.0,0.0,64240,156672,105933.13219424461,375,8991.0,1076292.0,133760.45070422534,95253.4128702519,118488.0,269855.0,373725.0,142,1112,80,0,2025-12-23T17:08:28.886855,True,
131072,2,8192,10.0,4000.0,2.56,100,40,1.0,cubic,10.02356919797603,1087904,105.99081315411303,0,0.0,0.0,64240,156672,106379.37119801366,420,4048.9999999999995,420735.0,125840.13402061856,47993.00541726928,123873.0,187575.0,392640.0,194,1611,79,0,2025-12-23T17:08:42.562681,True,
131072,2,8192,10.0,4000.0,2.56,100,40,1.5,cubic,10.057903175009415,984144,95.55452148196886,0,0.0,0.0,64240,156672,106072.51111111112,410,38965.0,442925.0,132522.67015706806,50425.178367807835,127626.99999999999,199851.0,413577.0,191,1485,71,0,2025-12-23T17:08:55.171100,True,
131072,2,8192,10.0,4000.0,2.56,100,40,2.0,cubic,10.01041675801389,483136,47.132153576152376,0,0.0,0.0,64240,156672,106959.0975975976,247,924.0,302189.0,122383.5241935484,46629.91284805449,121153.0,215640.0,263809.0,124,666,37,0,2025-12-23T17:09:07.970714,True,
131072,2,8192,20.0,4000.0,5.12,100,40,1.0,cubic,10.00831486505922,1197976,116.8926490896405,0,0.0,0.0,64240,156672,103635.61912393162,481,35.0,381424.0,115370.35795454546,43069.73834880319,116019.0,172916.0,242848.0,176,1872,139,0,2025-12-23T17:09:20.587502,True,
131072,2,8192,20.0,4000.0,5.12,100,40,1.5,cubic,10.125402842997573,411688,39.70598194797141,0,0.0,0.0,64240,156672,106499.80347826087,210,7333.0,382504.0,120799.4495412844,48542.479149234605,114058.0,218296.0,279501.0,109,575,34,0,2025-12-23T17:09:33.303224,True,
131072,2,8192,20.0,4000.0,5.12,100,40,2.0,cubic,10.114190877997316,462864,44.6912294272918,0,0.0,0.0,64240,156672,106081.14884393064,252,8596.0,469477.0,129012.16363636364,57676.83211378998,118079.0,235175.0,252728.0,110,692,51,0,2025-12-23T17:09:46.118565,True,
131072,2,16384,5.0,8000.0,0.64,100,40,1.0,cubic,10.080757438088767,668480,64.75827873146089,0,0.0,0.0,64240,156672,107690.86050895382,377,2140.0,361332.0,116233.00578034682,44637.96914684717,113138.0,174256.0,303328.0,173,1061,84,0,2025-12-23T17:09:58.983035,True,
