recv_buf,delay_ms,read_size,send_rate_mbps,receiver_capacity_kbps,oversubscription_ratio,net_delay_ms,net_jitter_ms,net_loss_pct,congestion_algo,duration_actual,bytes_transferred,actual_throughput_kbps,zero_window_count,zero_window_duration_ms,zero_window_pct,window_min,window_max,window_mean,window_oscillations,rtt_min_us,rtt_max_us,rtt_mean_us,rtt_stddev_us,rtt_p50_us,rtt_p95_us,rtt_p99_us,rtt_samples,total_packets,retransmit_count,dup_ack_count,timestamp,success,error
65536,2,8192,5.0,4000.0,1.28,25,5,0,cubic,10.01016178005375,13040736,1272.2165764968904,0,0.0,0.0,37244,78336,66751.93821018365,75,13797.0,42630.0,28454.222559433485,4014.684604106164,28636.0,34689.0,37275.0,1977,16281,6,0,2025-12-23T15:08:59.550572,True,
65536,2,8192,5.0,4000.0,1.28,25,5,0.05,cubic,10.001671704929322,13047920,1273.9979626325921,0,0.0,0.0,39150,78336,66816.99175181583,68,14032.0,39652.0,28249.561890087312,3982.0341938708634,28320.0,34786.0,37331.0,1947,16246,13,0,2025-12-23T15:09:12.368573,True,
65536,2,8192,5.0,4000.0,1.28,25,5,0.1,cubic,10.004371373914182,10824178,1056.586759232762,0,0.0,0.0,29508,78336,67826.88217611262,26,14596.0,117585.0,27888.95901639344,5002.551114996868,27660.0,33824.0,37765.0,1952,13639,25,0,2025-12-23T15:09:25.192003,True,
65536,2,8192,10.0,4000.0,2.56,25,5,0,cubic,10.004654139978811,12621318,1231.9772065005243,0,0.0,0.0,40462,78336,66905.91837255277,43,15190.0,39650.0,28388.20140280561,3820.425867247302,28566.0,34493.0,36994.0,1996,15681,10,0,2025-12-23T15:09:37.926823,True,
65536,2,8192,10.0,4000.0,2.56,25,5,0.05,cubic,10.00435672106687,12170104,1187.969153726117,0,0.0,0.0,31686,78336,67309.78885669126,41,14934.0,64366.99999999999,28127.993493493494,3964.3399041117855,28096.0,34376.0,36992.0,1998,15184,15,0,2025-12-23T15:09:50.760293,True,
65536,2,8192,10.0,4000.0,2.56,25,5,0.1,cubic,10.004608602961525,9193558,897.3948247927802,0,0.0,0.0,28308,78336,68124.35145715528,26,13366.0,109944.0,27855.71306818182,4561.612202172719,27746.0,33837.0,37234.0,1760,11495,41,0,2025-12-23T15:10:03.535430,True,
65536,2,8192,20.0,4000.0,5.12,25,5,0,cubic,10.00074910291005,13244524,1293.3136643720413,0,0.0,0.0,43680,78336,67029.98248686515,41,15427.0,41578.0,28454.679802955667,3917.92466199642,28682.0,34699.0,36993.0,2030,16559,7,0,2025-12-23T15:10:16.202415,True,
65536,2,8192,20.0,4000.0,5.12,25,5,0.05,cubic,10.000464966986328,12139790,1185.471246688205,0,0.0,0.0,30220,78336,67248.16041516127,42,15848.000000000002,59076.0,28302.186840783525,4161.586510759693,28222.0,34860.0,38241.0,1991,15223,27,0,2025-12-23T15:10:29.033019,True,
65536,2,8192,20.0,4000.0,5.12,25,5,0.1,cubic,10.00103611999657,9634078,940.7304587235334,0,0.0,0.0,30886,78336,68049.8455014136,22,14313.0,108055.0,27977.99067982456,5549.508748254444,27749.0,33999.0,36950.0,1824,12026,26,0,2025-12-23T15:10:41.825750,True,
65536,2,16384,5.0,8000.0,0.64,25,5,0,cubic,10.001627667923458,13199952,1288.848030840199,0,0.0,0.0,29112,78336,67283.16898263028,82,13002.0,42633.0,28457.470747562296,4000.967945989104,28673.0,34739.0,37363.0,1846,16120,8,0,2025-12-23T15:10:54.529062,True,
65536,2,16384,5.0,8000.0,0.64,25,5,0.05,cubic,10.006112701958045,9747460,951.3188777483263,0,0.0,0.0,30466,78336,68495.15834218916,35,13192.0,69536.0,27430.004909983632,3942.371689257016,27399.0,33428.0,36261.0,1833,12233,24,0,2025-12-23T15:11:07.316479,True,
65536,2,16384,5.0,8000.0,0.64,25,5,0.1,cubic,10.002249142969958,11775412,1149.683997756877,0,0.0,0.0,30368,78336,67918.83009808628,61,14336.0,80097.0,27983.890080428955,4149.279413293336,28083.0,34021.0,36555.0,1865,14579,27,0,2025-12-23T15:11:19.993098,True,
65536,2,16384,10.0,8000.0,1.28,25,5,0,cubic,10.002327802940272,13319792,1300.4582164540038,0,0.0,0.0,35046,78336,67378.55079529526,93,12127.0,42615.0,28482.36793422405,4140.273582804922,28584.0,35056.0,37614.0,1946,16409,10,0,2025-12-23T15:11:32.720181,True,
65536,2,16384,10.0,8000.0,1.28,25,5,0.05,cubic,10.003267689957283,11846310,1156.4883064150413,0,0.0,0.0,31228,78336,67884.41697416974,46,14667.0,48016.0,27985.7053481332,3920.6414535928084,28043.0,34310.0,36962.0,1982,14634,17,0,2025-12-23T15:11:45.512381,True,
65536,2,16384,10.0,8000.0,1.28,25,5,0.1,cubic,10.004583445028402,12683930,1238.0975638501295,0,0.0,0.0,34316,78336,67534.68031737907,59,14478.0,77976.0,28337.112307692307,4088.6616652047874,28544.0,34265.0,36990.0,1950,15628,17,0,2025-12-23T15:11:58.296577,True,
65536,2,16384,20.0,8000.0,2.56,25,5,0,cubic,10.003776440978982,13342228,1302.460086760487,0,0.0,0.0,33946,78336,67324.63370813982,102,12121.0,40975.0,28567.010438413363,4200.968043809694,28816.0,35056.0,37763.0,1916,16364,5,0,2025-12-23T15:12:11.109296,True,
65536,2,16384,20.0,8000.0,2.56,25,5,0.05,cubic,10.001436584047042,12189954,1190.2542052921754,0,0.0,0.0,31562,78336,67926.4692500992,48,14710.0,73778.0,28097.976777939042,3984.3273092032446,28020.0,34083.0,36985.0,2067,15122,18,0,2025-12-23T15:12:23.944887,True,
