recv_buf,delay_ms,read_size,send_rate_mbps,receiver_capacity_kbps,oversubscription_ratio,net_delay_ms,net_jitter_ms,net_loss_pct,congestion_algo,duration_actual,bytes_transferred,actual_throughput_kbps,zero_window_count,zero_window_duration_ms,zero_window_pct,window_min,window_max,window_mean,window_oscillations,rtt_min_us,rtt_max_us,rtt_mean_us,rtt_stddev_us,rtt_p50_us,rtt_p95_us,rtt_p99_us,rtt_samples,total_packets,retransmit_count,dup_ack_count,timestamp,success,error
262144,2,8192,2.0,4000.0,0.512,250,75,2.0,cubic,10.805789187084883,572416,51.73152930543183,0,0.0,0.0,64240,313344,181214.7938844847,250,151915.0,459091.0,288696.2083333333,55369.069065927324,289067.0,402580.0,459091.0,96,883,16,0,2025-12-23T17:42:25.871598,True,
262144,2,8192,2.0,4000.0,0.512,250,75,3.0,cubic,10.028961793053895,614904,59.87580767491842,0,0.0,0.0,0,313344,178418.60339342523,250,130353.0,848093.0,314140.9358974359,104905.22466448536,304867.0,489565.0,848093.0,78,943,39,0,2025-12-23T17:42:39.904155,True,
262144,2,8192,2.0,4000.0,0.512,250,75,5.0,cubic,10.32186087500304,219600,20.77659518927946,0,0.0,0.0,64240,313344,174846.81710914455,109,169381.0,886617.0,341700.8510638298,161521.0445282238,297031.0,735513.0,886617.0,47,339,19,0,2025-12-23T17:42:52.902321,True,
262144,2,8192,5.0,4000.0,1.28,250,75,2.0,cubic,10.011391306994483,640968,62.52330902925368,0,0.0,0.0,64240,313344,181963.18762677486,284,9451.0,886626.0,285029.56,88539.67672454196,280022.0,387199.0,886626.0,100,986,43,0,2025-12-23T17:43:06.115092,True,
262144,2,8192,5.0,4000.0,1.28,250,75,3.0,cubic,10.553768062964082,446440,41.310038263011975,0,0.0,0.0,64240,313344,175972.05124450952,181,155172.0,1269548.0,377026.1617647059,222772.44736684128,299469.0,817864.0,1269548.0,68,683,33,0,2025-12-23T17:43:19.062977,True,
262144,2,8192,5.0,4000.0,1.28,250,75,5.0,cubic,10.08415035402868,139960,13.55391209983255,0,0.0,0.0,64240,313344,176256.58695652173,97,87664.0,920592.0,337604.2631578947,164821.8199802895,322204.0,833053.0,920592.0,38,230,17,0,2025-12-23T17:43:33.873160,True,
262144,2,8192,10.0,4000.0,2.56,250,75,2.0,cubic,10.049894796102308,428112,41.60024890630148,0,0.0,0.0,64240,313344,179585.3299856528,208,161672.0,974124.0,420600.06382978725,212740.84396903077,326629.0,812985.0,974124.0,47,697,53,0,2025-12-23T17:43:46.964721,True,
262144,2,8192,10.0,4000.0,2.56,250,75,3.0,cubic,10.263251578086056,272680,25.945876944941748,0,0.0,0.0,64240,313344,177937.76749435667,127,167817.0,898819.0,333545.7534246575,157958.81321874209,287030.0,740359.0,898819.0,73,443,23,0,2025-12-23T17:44:00.250853,True,
262144,2,8192,10.0,4000.0,2.56,250,75,5.0,cubic,10.225157917942852,208968,19.957668540444008,0,0.0,0.0,64240,313344,176185.4516129032,103,147260.0,721451.0,316871.20930232556,108962.50673438048,309477.0,518560.0,721451.0,43,341,22,0,2025-12-23T17:44:13.682069,True,
262144,2,16384,2.0,8000.0,0.256,250,75,2.0,cubic,10.08107741898857,600424,58.16358094776226,0,0.0,0.0,64240,313344,178382.18546637744,244,14173.0,1337641.0,361129.390625,207374.18814598597,311436.0,838464.0,1337641.0,64,922,53,0,2025-12-23T17:44:26.974186,True,
262144,2,16384,2.0,8000.0,0.256,250,75,3.0,cubic,10.005254862015136,629384,61.43100010709854,0,0.0,0.0,0,313344,177709.29494079656,277,183767.0,1107805.0,376225.29824561405,210910.1611596386,302214.0,928268.0,1107805.0,57,929,29,0,2025-12-23T17:44:40.229461,True,
262144,2,16384,2.0,8000.0,0.256,250,75,5.0,cubic,10.13270536903292,496168,47.81931822283362,0,0.0,0.0,64240,308168,174898.79487179487,221,250388.0,4270335.0,665049.4210526316,876061.7470940058,350412.0,4270335.0,4270335.0,19,741,41,0,2025-12-23T17:44:53.273490,True,
262144,2,16384,5.0,8000.0,0.64,250,75,2.0,cubic,10.255311619024724,400600,38.14715262033198,0,0.0,0.0,64240,313344,179205.67892503535,193,75166.0,1131184.0,332814.98214285716,198939.08049221744,279612.0,783150.0,1131184.0,56,707,70,0,2025-12-23T17:45:06.801702,True,
262144,2,16384,5.0,8000.0,0.64,250,75,3.0,cubic,10.023411483038217,273176,26.61503400827537,0,0.0,0.0,64240,313344,179872.36946902654,161,113120.0,1077735.0,352622.93617021275,232162.4457087408,276048.0,931522.0,1077735.0,47,452,32,0,2025-12-23T17:45:20.032737,True,
262144,2,16384,5.0,8000.0,0.64,250,75,5.0,cubic,10.13633844605647,462864,44.59358055233999,0,0.0,0.0,64240,311904,177863.3057742782,199,2960.0,989988.0,441752.0576923077,249874.380736941,333645.0,924327.0,989988.0,52,762,63,0,2025-12-23T17:45:33.094413,True,
262144,2,16384,10.0,8000.0,1.28,250,75,2.0,cubic,10.161274694954045,293448,28.202201111865133,0,0.0,0.0,64240,313344,177603.50752688173,148,98264.0,728215.0,290998.875,95180.86256397278,284974.0,426216.0,728215.0,64,465,31,0,2025-12-23T17:45:46.271183,True,
262144,2,16384,10.0,8000.0,1.28,250,75,3.0,cubic,10.01800912199542,399152,38.90961470020692,0,0.0,0.0,64240,313344,178284.72096774195,164,201389.0,1171932.0,352097.7419354839,171567.2376789115,298928.0,615704.0,1171932.0,31,620,46,0,2025-12-23T17:45:59.651173,True,
