recv_buf,delay_ms,read_size,send_rate_mbps,receiver_capacity_kbps,oversubscription_ratio,net_delay_ms,net_jitter_ms,net_loss_pct,congestion_algo,duration_actual,bytes_transferred,actual_throughput_kbps,zero_window_count,zero_window_duration_ms,zero_window_pct,window_min,window_max,window_mean,window_oscillations,rtt_min_us,rtt_max_us,rtt_mean_us,rtt_stddev_us,rtt_p50_us,rtt_p95_us,rtt_p99_us,rtt_samples,total_packets,retransmit_count,dup_ack_count,timestamp,success,error
131072,1,16384,5.0,16000.0,0.32,5,0,0,cubic,10.001067562028766,50561024,4937.072936839938,0,0.0,0.0,64240,155532,78141.07273817486,12240,4999.0,6190.0,5162.9202831640505,313.3053328058523,5030.0,6071.0,6100.0,6498,43361,0,0,2025-12-22T23:16:23.006630,True,
131072,1,16384,5.0,16000.0,0.32,5,0,0.05,cubic,10.00112245802302,50472960,4928.446802534547,0,0.0,0.0,64240,156672,80603.75333761527,13481,5001.0,17263.0,5327.828705566733,407.2923740616156,5041.0,6066.0,6087.0,7455,43594,21,0,2025-12-22T23:16:36.655486,True,
131072,1,16384,5.0,16000.0,0.32,5,0,0.1,cubic,10.002092999056913,46371448,4527.514110473662,0,0.0,0.0,64240,156672,81953.82494284863,13193,5001.0,12649.0,5259.869264186805,354.72241886812424,5023.0,6029.0,6074.0,7366,40244,33,0,2025-12-22T23:16:50.267533,True,
131072,1,16384,5.0,16000.0,0.32,5,0,0.5,cubic,10.000015605939552,20795680,2030.82495570685,0,0.0,0.0,64240,156672,86071.7986239746,4734,4999.0,15012.0,5136.106102810838,457.8245719751281,5017.0,6031.0,6098.0,3949,18895,74,0,2025-12-22T23:17:03.830298,True,
131072,1,16384,5.0,16000.0,0.32,5,0,1.0,cubic,10.000442777993158,15808768,1543.7566458530425,0,0.0,0.0,64240,156672,85610.04205869962,2944,5000.0,46039.0,5229.919112383679,1229.777829059914,5017.0,6056.0,10832.0,2794,14242,105,0,2025-12-22T23:17:16.669551,True,
131072,1,16384,5.0,16000.0,0.32,5,0,2.0,cubic,10.00634824798908,8661440,845.3071280724058,0,0.0,0.0,64240,156672,87238.12362774451,2028,5002.0,47032.0,5692.184696569921,3058.679968212631,5025.0,10318.0,15281.0,1516,8016,139,0,2025-12-22T23:17:29.379681,True,
131072,1,16384,5.0,16000.0,0.32,5,10,0,cubic,10.012965202098712,3342936,326.03588164031015,0,0.0,0.0,64240,156672,109515.81936026936,3602,1.0,57353.0,7465.411525974026,6578.4616351909235,6567.0,19255.0,26747.0,1232,5940,689,0,2025-12-22T23:17:41.903953,True,
131072,1,16384,5.0,16000.0,0.32,5,10,0.05,cubic,10.010865460964851,3190400,311.22434040779876,0,0.0,0.0,64240,156672,109481.09150442478,3439,2.0,42542.0,7024.668674698795,6328.9604754678485,5821.0,18894.0,26178.0,1162,5650,634,0,2025-12-22T23:17:54.336592,True,
131072,1,16384,5.0,16000.0,0.32,5,10,0.1,cubic,10.00186333199963,2988176,291.7596979818548,0,0.0,0.0,64240,156672,109144.98855105105,3226,2.0,46485.0,7715.735643564356,6492.972892031071,6802.0,19449.0,27292.0,1010,5328,609,0,2025-12-22T23:18:06.771423,True,
131072,1,16384,5.0,16000.0,0.32,5,10,0.5,cubic,10.000702863908373,3225152,314.93411441774606,0,0.0,0.0,64240,156672,109343.36985085228,3462,2.0,33915.0,6976.090386195563,6251.633361594715,5869.0,18720.0,24231.0,1217,5632,628,0,2025-12-22T23:18:19.180678,True,
131072,1,16384,5.0,16000.0,0.32,5,10,1.0,cubic,10.150906710070558,2997320,288.35555247454874,0,0.0,0.0,64240,156672,109247.67351168048,3202,2.0,33303.0,7076.299741602067,6332.400950386818,6096.0,18253.0,25138.0,1161,5308,641,0,2025-12-22T23:18:31.656172,True,
131072,1,16384,5.0,16000.0,0.32,5,10,2.0,cubic,10.008073384989984,2691336,262.6137630487239,0,0.0,0.0,64240,156672,108980.44357233772,2885,2.0,235318.0,7266.028362305581,9536.62873803999,5811.0,19373.0,26428.0,1093,4714,547,0,2025-12-22T23:18:44.262506,True,
131072,1,16384,5.0,16000.0,0.32,5,25,0,cubic,10.026869266992435,2091864,203.73616959631008,0,0.0,0.0,64240,156672,109368.86559705419,2349,1.0,82169.0,10738.40203562341,12216.413073729362,6966.0,34108.0,49048.0,786,3802,469,0,2025-12-22T23:18:56.707374,True,
131072,1,16384,5.0,16000.0,0.32,5,25,0.05,cubic,10.014339109999128,1989056,193.9656205630697,0,0.0,0.0,64240,156672,109153.24044353662,2151,2.0,58083.0,9752.051244509517,11003.551569684905,6067.0,31278.0,42689.0,683,3427,419,0,2025-12-22T23:19:09.144561,True,
131072,1,16384,5.0,16000.0,0.32,5,25,0.1,cubic,10.017826844006777,1837016,179.07685623187305,0,0.0,0.0,64240,156672,109200.42866344606,1915,1.0,63186.99999999999,10405.131221719457,11602.0604938841,7063.0,32866.0,45046.0,663,3105,381,0,2025-12-22T23:19:21.568552,True,
131072,1,16384,5.0,16000.0,0.32,5,25,0.5,cubic,10.000465339049697,1832176,178.91511188118608,0,0.0,0.0,64240,156672,109272.38867477023,2093,1.0,92636.0,11312.730820995963,12883.981053315238,7541.0,35471.0,51176.0,743,3373,418,0,2025-12-22T23:19:33.987457,True,
131072,1,16384,5.0,16000.0,0.32,5,25,1.0,cubic,10.00175078806933,1915208,186.99929163712287,0,0.0,0.0,64240,156672,109001.98034188033,2150,3.0,84834.0,10494.575716234653,12573.322716357417,5916.0,36545.0,47955.0,733,3510,454,0,2025-12-22T23:19:46.423711,True,
131072,1,16384,5.0,16000.0,0.32,5,25,2.0,cubic,10.030200617969967,1967336,191.54418098656544,0,0.0,0.0,64240,156672,108869.8342655284,2104,2.0,56503.0,10080.57477243173,11581.843205031897,5818.0,32471.0,47041.0,769,3397,433,0,2025-12-22T23:19:58.793159,True,
131072,1,16384,5.0,16000.0,0.32,10,0,0,cubic,10.00078936596401,50511872,4932.410652291056,0,0.0,0.0,64240,155532,78324.59556895045,12102,9998.0,11241.0,10191.510049871544,338.08862004514816,10032.0,11069.0,11096.0,6617,43466,0,0,2025-12-22T23:20:11.215198,True,
131072,1,16384,5.0,16000.0,0.32,10,0,0.05,cubic,10.000667451997288,46558420,4546.4172515974915,0,0.0,0.0,64240,156672,80557.80854574997,10231,10002.0,12096.0,10274.953584018802,376.6932643585816,10054.0,11053.0,11082.0,6808,39388,13,0,2025-12-22T23:20:24.900018,True,
131072,1,16384,5.0,16000.0,0.32,10,0,0.1,cubic,10.001763013075106,32130788,3137.21916978342,0,0.0,0.0,64240,156672,85049.66645930534,9633,9996.0,28941.0,10237.48076923077,500.67310203109326,10032.0,11056.0,11080.0,6292,28935,24,0,2025-12-22T23:20:38.450008,True,
131072,1,16384,5.0,16000.0,0.32,10,0,0.5,cubic,10.003136357991025,11200372,1093.4433851351298,0,0.0,0.0,64240,156672,83007.04164070613,1356,10002.0,51986.0,10265.512391930835,1651.5548959517262,10022.0,11054.0,14560.0,1735,9630,49,0,2025-12-22T23:20:51.656080,True,
131072,1,16384,5.0,16000.0,0.32,10,0,1.0,cubic,10.014652398996986,9300008,906.8751166450478,0,0.0,0.0,64240,156672,81430.82716205934,1001,10001.0,30063.0,10227.335943617854,1229.1526838387847,10022.0,11056.0,12926.0,1277,7886,54,0,2025-12-22T23:21:04.309100,True,
131072,1,16384,5.0,16000.0,0.32,10,0,2.0,cubic,10.003317432943732,4538984,443.11315643170525,0,0.0,0.0,64240,156672,85540.44775036284,944,10000.0,51977.0,11260.764868603042,5163.58409493178,10032.0,18614.0,36540.0,723,4134,76,0,2025-12-22T23:21:16.943882,True,
131072,1,16384,5.0,16000.0,0.32,10,10,0,cubic,10.023194917012006,2239560,218.20091603606,0,0.0,0.0,64240,156672,109310.13719832108,2040,5.0,74576.0,11981.22119205298,8285.828377541226,11158.0,24866.0,41242.0,755,3812,410,0,2025-12-22T23:21:29.405846,True,
131072,1,16384,5.0,16000.0,0.32,10,10,0.05,cubic,10.01507844007574,2048424,199.74022914241615,0,0.0,0.0,64240,156672,109349.20960322024,1842,2.0,58832.0,12108.257617728532,8360.387248489955,11162.0,25804.0,35469.0,722,3478,381,0,2025-12-22T23:21:41.848745,True,
131072,1,16384,5.0,16000.0,0.32,10,10,0.1,cubic,10.018780358019285,2269968,221.261026370904,0,0.0,0.0,64240,156672,109378.91983449702,2067,2.0,43467.0,11707.372121212122,8044.202966168851,11035.0,26394.0,32155.999999999996,825,3867,446,0,2025-12-22T23:21:54.232721,True,
131072,1,16384,5.0,16000.0,0.32,10,10,0.5,cubic,10.01611127704382,1997744,194.77837466436375,0,0.0,0.0,64240,156672,109292.71640488657,1900,3.0,46944.0,12019.914666666667,8249.102227397329,11061.0,26431.0,36897.0,750,3438,384,0,2025-12-22T23:22:06.623045,True,
131072,1,16384,5.0,16000.0,0.32,10,10,1.0,cubic,10.00066226196941,2045528,199.7453653740947,0,0.0,0.0,64240,156672,108881.2143464701,1928,4.0,84515.0,13216.614206128133,8723.389271641458,12876.0,26767.0,40514.0,718,3527,396,0,2025-12-22T23:22:19.004010,True,
131072,1,16384,5.0,16000.0,0.32,10,10,2.0,cubic,10.006367000984028,2017976,196.94257539286767,0,0.0,0.0,64240,156672,108822.7808259587,1832,2.0,83548.0,13155.116504854368,9027.438646495822,12564.0,27245.0,41437.0,721,3390,390,0,2025-12-22T23:22:31.382884,True,
131072,1,16384,5.0,16000.0,0.32,10,25,0,cubic,10.021182968048379,1454248,141.71620925673773,0,0.0,0.0,64240,156672,109232.72374608151,1531,2.0,91933.0,14932.29044834308,15122.604906733246,11889.0,43556.0,60302.0,513,2552,318,0,2025-12-22T23:22:43.784396,True,
131072,1,16384,5.0,16000.0,0.32,10,25,0.05,cubic,10.047335662995465,1469224,142.80293907014138,0,0.0,0.0,64240,156672,109177.41996891997,1567,5.0,99300.0,15234.237226277372,14862.683226766227,13066.0,42823.0,62099.0,548,2574,318,0,2025-12-22T23:22:56.195784,True,
131072,1,16384,5.0,16000.0,0.32,10,25,0.1,cubic,10.001959652989171,1459088,142.46114505912442,0,0.0,0.0,64240,156672,109244.01377952757,1521,5.0,86607.0,14869.826741996234,14730.161882379052,11113.0,42725.0,57695.0,531,2540,299,0,2025-12-22T23:23:08.579798,True,
131072,1,16384,5.0,16000.0,0.32,10,25,0.5,cubic,10.02115526003763,1544024,150.46528053636183,0,0.0,0.0,64240,156672,109212.32128365917,1626,2.0,94898.0,15858.255360623782,14128.029507238547,13922.0,41420.0,54725.0,513,2711,368,0,2025-12-22T23:23:20.943010,True,
131072,1,16384,5.0,16000.0,0.32,10,25,1.0,cubic,10.095489370985888,1346600,130.26006111990768,0,0.0,0.0,64240,156672,109016.46680672269,1451,3.0,83348.0,17067.27078891258,15806.82835084342,13806.0,46833.0,64637.0,469,2380,300,0,2025-12-22T23:23:33.433980,True,
131072,1,16384,5.0,16000.0,0.32,10,25,2.0,cubic,10.001554369926453,1457144,142.27710362489026,0,0.0,0.0,64240,156672,108715.04406648628,1544,5.0,82961.0,14920.36217303823,14958.45778028622,11329.0,43170.0,60495.0,497,2587,357,0,2025-12-22T23:23:45.919688,True,
131072,1,16384,5.0,16000.0,0.32,25,0,0,cubic,10.000484192045406,30134828,2942.7118131098173,0,0.0,0.0,64240,155828,78914.6303336071,2013,24996.0,26297.0,25147.458333333332,274.14460408726524,25021.0,25898.0,26069.0,4080,25569,0,0,2025-12-22T23:23:58.256807,True,
131072,1,16384,5.0,16000.0,0.32,25,0,0.05,cubic,10.000134229077958,21640796,2113.3306173329815,0,0.0,0.0,59124,156672,77467.66110288253,410,25000.0,26186.0,25145.184602982667,286.79776825454826,25018.0,25955.0,26073.0,2481,17554,6,0,2025-12-22T23:24:11.408014,True,
131072,1,16384,5.0,16000.0,0.32,25,0,0.1,cubic,10.039255516952835,13902376,1352.3452052369735,0,0.0,0.0,62768,156672,78341.2069718679,410,25001.0,39678.0,25141.063604240284,444.51383769538035,25019.0,25963.0,26118.0,1698,11446,11,0,2025-12-22T23:24:24.339738,True,
131072,1,16384,5.0,16000.0,0.32,25,0,0.5,cubic,10.009488231968135,6702724,653.9424148923699,0,0.0,0.0,64240,156672,78803.44444444444,402,25003.0,84483.0,25870.43765586035,5715.009058425348,25095.0,26048.0,65988.0,802,5553,24,0,2025-12-22T23:24:37.117226,True,
131072,1,16384,5.0,16000.0,0.32,25,0,1.0,cubic,10.032608325011097,3188456,310.36062224591586,0,0.0,0.0,64240,156672,79960.96765601217,383,25000.0,75495.0,26837.280653950955,8012.4885611794625,25140.0,26427.0,72316.0,367,2628,26,0,2025-12-22T23:24:49.646861,True,
131072,1,16384,5.0,16000.0,0.32,25,0,2.0,cubic,10.040661060949787,2550880,248.1005717530273,0,0.0,0.0,64240,156672,82326.29822968678,383,25004.0,76368.0,27031.811377245507,8301.353764699881,25136.0,40285.0,75317.0,334,2203,33,0,2025-12-22T23:25:02.129114,True,
131072,1,16384,5.0,16000.0,0.32,25,10,0,cubic,10.009096918976866,6535072,637.6105958071151,0,0.0,0.0,64240,156672,104208.71684329663,2299,308.0,145702.0,31645.550738916256,12091.381556055747,30604.0,45207.0,71712.0,1015,9719,619,0,2025-12-22T23:25:14.593539,True,
131072,1,16384,5.0,16000.0,0.32,25,10,0.05,cubic,10.005477620987222,7980880,778.9561298554978,0,0.0,0.0,64240,156672,102669.13784958428,2477,109.0,61296.0,31190.5528317836,7467.10327349783,31427.999999999996,42558.0,49156.0,1183,10584,254,0,2025-12-22T23:25:27.194500,True,
131072,1,16384,5.0,16000.0,0.32,25,10,0.1,cubic,10.002083166968077,8875916,866.6081429292383,0,0.0,0.0,64240,156672,102183.68805455143,2643,11.0,133803.0,32107.462660944206,10089.236934000925,31763.0,42723.0,60110.0,1165,12172,438,0,2025-12-22T23:25:39.882069,True,
131072,1,16384,5.0,16000.0,0.32,25,10,0.5,cubic,10.007921712007374,2555224,249.33607689058243,0,0.0,0.0,64240,156672,107396.95472492761,1261,366.0,108410.0,28970.79969183359,11297.762920219167,28089.0,44755.0,75360.0,649,3799,223,0,2025-12-22T23:25:52.539047,True,
131072,1,16384,5.0,16000.0,0.32,25,10,1.0,cubic,10.006729013985023,2637760,257.4205313644417,0,0.0,0.0,0,156672,107793.14713635274,1366,223.0,68172.0,28397.76396648045,8665.176460622688,28602.0,41646.0,48966.0,716,4173,286,0,2025-12-22T23:26:05.052816,True,
131072,1,16384,5.0,16000.0,0.32,25,10,2.0,cubic,10.008427975000814,2119376,206.7960253268278,0,0.0,0.0,64240,156672,106399.34347674012,992,1802.0,1045865.0,32827.37014314928,47702.159092282694,28909.0,51825.0,95965.0,489,2859,91,0,2025-12-22T23:26:17.514257,True,
131072,1,16384,5.0,16000.0,0.32,25,25,0,cubic,10.004045643028803,936360,91.40442728159664,0,0.0,0.0,64240,156672,108997.24820574162,872,10.0,114914.0,32696.06086956522,21919.039789063656,29081.0,74525.0,107365.0,345,1672,206,0,2025-12-22T23:26:31.006060,True,
131072,1,16384,5.0,16000.0,0.32,25,25,0.05,cubic,10.21387944102753,823872,78.77148977970117,0,0.0,0.0,64240,156672,108958.00069396253,738,7.0,151201.0,32641.17263843648,22750.709536835973,29613.0,69140.0,97784.0,307,1441,175,0,2025-12-22T23:26:43.359781,True,
131072,1,16384,5.0,16000.0,0.32,25,25,0.1,cubic,10.033287054975517,947944,92.26553146816738,0,0.0,0.0,64240,156672,109071.4251968504,829,4.0,124312.0,30049.445040214476,21210.569572317007,28091.0,64755.99999999999,105796.0,373,1651,186,0,2025-12-22T23:26:55.947570,True,
131072,1,16384,5.0,16000.0,0.32,25,25,0.5,cubic,10.078368111047894,914144,88.57770823248686,0,0.0,0.0,64240,156672,108616.36774193548,844,8.0,183006.0,32153.930930930932,24436.490877756016,28192.0,73546.0,114626.0,333,1705,230,0,2025-12-22T23:27:08.357739,True,
131072,1,16384,5.0,16000.0,0.32,25,25,1.0,cubic,10.027941699023359,826312,80.4696852773476,0,0.0,0.0,64240,156672,109001.60829493088,787,10.0,140820.0,30441.103448275862,21794.161257713717,28356.0,73619.0,98318.0,290,1519,207,0,2025-12-22T23:27:20.814302,True,
131072,1,16384,5.0,16000.0,0.32,25,25,2.0,cubic,10.011164462077431,810384,79.05080652683408,0,0.0,0.0,64240,156672,108517.52446043165,727,11.0,242275.0,33874.8127090301,26578.544274738848,29243.0,70268.0,153086.0,299,1390,167,0,2025-12-22T23:27:33.271962,True,
131072,1,16384,5.0,16000.0,0.32,50,0,0,cubic,10.02421509893611,14319296,1394.9907660584934,0,0.0,0.0,64240,155232,75015.52770517512,204,50001.0,51318.0,50247.70549927641,281.8302482204768,50148.0,50965.0,51108.0,1382,11478,0,0,2025-12-22T23:27:45.644368,True,
131072,1,16384,5.0,16000.0,0.32,50,0,0.05,cubic,10.035342245013453,13555320,1319.0997241850673,0,0.0,0.0,59464,156672,73053.90794070438,212,50001.0,51245.0,50242.66189111748,281.9982901271355,50148.0,50959.0,51078.0,1047,10591,2,0,2025-12-22T23:27:58.523916,True,
131072,1,16384,5.0,16000.0,0.32,50,0,0.1,cubic,10.03138082602527,11826564,1151.324937867622,0,0.0,0.0,64240,155232,71006.02309236948,216,50007.0,51225.0,50241.64502762431,279.6396057025639,50138.0,51016.0,51151.0,724,8964,4,0,2025-12-22T23:28:11.346042,True,
131072,1,16384,5.0,16000.0,0.32,50,0,0.5,cubic,10.037657002918422,3709920,360.9376918285444,0,0.0,0.0,64240,156672,75569.92650644375,187,50009.0,150315.0,50717.23493975904,6322.428572410846,50135.0,50475.0,52157.0,332,2871,12,0,2025-12-22T23:28:24.106088,True,
131072,1,16384,5.0,16000.0,0.32,50,0,1.0,cubic,10.050988522008993,3965128,385.25517206799327,0,0.0,0.0,64240,156672,76644.23352922982,213,50005.0,150240.0,51451.676712328765,9786.704051206209,50116.0,51071.0,90593.0,365,3233,19,0,2025-12-22T23:28:36.709853,True,
131072,1,16384,5.0,16000.0,0.32,50,0,2.0,cubic,10.041525371023454,1517008,147.5326775825302,0,0.0,0.0,64240,156672,82829.60286360211,209,50006.0,150448.0,56319.30841121495,19252.041314712245,50155.0,96794.0,150345.0,214,1327,19,0,2025-12-22T23:28:49.321287,True,
131072,1,16384,5.0,16000.0,0.32,50,10,0,cubic,10.001220887992531,13074768,1276.6769445448065,0,0.0,0.0,64240,156672,96215.61858302777,1065,29309.0,83156.0,59232.27751646284,8536.070028896465,59806.0,72437.0,76820.0,1063,15272,11,0,2025-12-22T23:29:01.797039,True,
131072,1,16384,5.0,16000.0,0.32,50,10,0.05,cubic,10.005233022966422,11426172,1115.2534946599062,0,0.0,0.0,61212,156672,98610.31508843438,2131,31087.0,122307.0,58113.9224137931,7467.458468248408,58101.0,68737.0,74197.0,1160,13739,37,0,2025-12-22T23:29:14.676444,True,
