recv_buf,delay_ms,read_size,send_rate_mbps,receiver_capacity_kbps,oversubscription_ratio,net_delay_ms,net_jitter_ms,net_loss_pct,congestion_algo,duration_actual,bytes_transferred,actual_throughput_kbps,zero_window_count,zero_window_duration_ms,zero_window_pct,window_min,window_max,window_mean,window_oscillations,rtt_min_us,rtt_max_us,rtt_mean_us,rtt_stddev_us,rtt_p50_us,rtt_p95_us,rtt_p99_us,rtt_samples,total_packets,retransmit_count,dup_ack_count,fast_retransmit_count,out_of_order_count,zero_window_probe_count,window_full_count,ecn_ece_count,ecn_cwr_count,ecn_ce_count,sender_stall_ms,sender_stall_interval_ms,sender_stall_pattern,inter_packet_gap_max_ms,inter_packet_gap_mean_ms,inter_packet_gap_p95_ms,idle_periods_count,timestamp,success,error
262144,1,16384,10.0,16000.0,0.64,50,0,0,cubic,10.012523784069344,26162080,2551.694937359367,0,0.0,0.0,64240,311904,81972.71843841461,208,50002.0,51288.0,50313.83720930233,335.9176091928725,50162.0,51013.0,51080.0,1548,20159,0,0,0,0,0,93,0,0,0,0,500,periodic,100.1138687133789,0.5443837511873176,1.0480880737304688,101,2025-12-27T14:08:00.687337,True,
262144,1,16384,10.0,16000.0,0.64,50,0,0,cubic,10.014166608918458,27899928,2720.7479665092774,0,0.0,0.0,64240,311976,87004.81910937783,204,50001.0,51257.0,50321.29250720461,342.8436522192132,50160.0,51024.0,51066.0,2082,22052,0,0,0,0,0,90,0,0,0,100,500,periodic,100.13508796691895,0.5077932378800439,1.0561943054199219,101,2025-12-27T14:08:16.027573,True,
262144,1,16384,10.0,16000.0,0.64,75,0,0,cubic,10.059940561885014,17623200,1710.7612260857325,0,0.0,0.0,64240,311904,83175.00975788702,136,75000.0,76151.0,75365.3170289855,346.7106364602207,75227.0,76036.0,76072.0,1104,13630,0,0,0,0,0,47,0,0,0,0,500,periodic,150.13694763183594,0.8165669787640049,1.0440349578857422,68,2025-12-27T14:08:31.559155,True,
262144,1,16384,10.0,16000.0,0.64,75,0,0,cubic,10.060344567988068,17470328,1695.8531660821575,0,0.0,0.0,64240,311904,82384.08801428466,141,75000.0,76420.0,75405.00569259962,348.3574169020495,75320.0,76028.0,76101.0,1054,13441,0,0,0,0,0,53,0,0,0,100,500,periodic,150.11000633239746,0.8252690796356682,1.0449886322021484,68,2025-12-27T14:08:46.300467,True,
262144,1,16384,10.0,16000.0,0.64,100,0,0,cubic,10.006767673883587,12067856,1177.7045304806484,0,0.0,0.0,64240,311904,78488.87175839808,108,100002.0,101129.0,100345.51926298157,336.5761218652358,100209.0,101032.0,101089.0,597,9139,0,0,0,0,0,30,0,0,0,0,500,periodic,200.30498504638672,1.1963650572008249,1.0159015655517578,51,2025-12-27T14:09:01.009000,True,
262144,1,16384,10.0,16000.0,0.64,100,0,0,cubic,10.005117839900777,12298704,1200.4309511580036,0,0.0,0.0,64240,311904,79985.12371904355,106,100001.0,101106.0,100317.96798780488,376.647487404207,100110.0,101027.0,101074.0,656,9368,0,0,0,0,0,35,0,0,0,100,500,periodic,200.09303092956543,1.1731793310896508,1.0330677032470703,51,2025-12-27T14:09:15.329063,True,
262144,1,16384,10.0,16000.0,0.64,50,0,0,cubic,10.01255488395691,28113560,2742.0222666135405,0,0.0,0.0,64240,311952,89221.00877232243,208,50001.0,51229.0,50347.08940972222,358.04568613525873,50170.0,51016.0,51069.0,2304,22343,0,0,0,0,0,86,0,0,0,0,500,periodic,100.12388229370117,0.5062637741238873,1.0628700256347656,101,2025-12-27T14:09:29.669982,True,
262144,1,16384,10.0,16000.0,0.64,50,0,0,cubic,10.013756660977378,27870904,2718.0288685828177,0,0.0,0.0,64240,311904,88553.07525083612,206,50001.0,51157.0,50363.68968609865,334.8447409864297,50227.0,50989.0,51086.0,2230,22126,0,0,0,0,0,88,0,0,0,100,500,periodic,100.11100769042969,0.5101017929196028,1.0600090026855469,101,2025-12-27T14:09:45.298670,True,
262144,1,16384,10.0,16000.0,0.64,75,0,0,cubic,10.058574355905876,17517616,1700.7426966979297,0,0.0,0.0,0,311904,81481.66797528171,140,75000.0,76272.0,75303.42387218046,348.9610705953047,75136.0,76025.0,76091.0,1064,13755,0,0,0,0,0,51,0,0,0,0,500,periodic,150.1309871673584,0.8157609021548703,1.0440349578857422,68,2025-12-27T14:10:00.820563,True,
262144,1,16384,10.0,16000.0,0.64,75,0,0,cubic,10.058151029981673,17263576,1676.149114011735,0,0.0,0.0,64240,311904,81835.25987887963,139,75000.0,76301.0,75388.01488095238,363.80748710737475,75242.0,76039.0,76112.0,1008,13210,0,0,0,0,0,44,0,0,0,100,500,periodic,150.06613731384277,0.837414699623847,1.0521411895751953,68,2025-12-27T14:10:15.689051,True,
