recv_buf,delay_ms,read_size,send_rate_mbps,receiver_capacity_kbps,oversubscription_ratio,net_delay_ms,net_jitter_ms,net_loss_pct,congestion_algo,duration_actual,bytes_transferred,actual_throughput_kbps,zero_window_count,zero_window_duration_ms,zero_window_pct,window_min,window_max,window_mean,window_oscillations,rtt_min_us,rtt_max_us,rtt_mean_us,rtt_stddev_us,rtt_p50_us,rtt_p95_us,rtt_p99_us,rtt_samples,total_packets,retransmit_count,dup_ack_count,fast_retransmit_count,out_of_order_count,zero_window_probe_count,window_full_count,ecn_ece_count,ecn_cwr_count,ecn_ce_count,timestamp,success,error
262144,1,16384,10.0,16000.0,0.64,50,0,0.5,cubic,10.015593664022163,2398840,233.89698764588542,0,0.0,0.0,64240,313344,105413.80687830687,194,50003.0,91004.0,50386.55400696864,3403.765408761985,50045.0,50403.0,51113.0,287,1890,6,30,0,0,0,0,2,7,0,2025-12-26T08:01:24.619596,True,
262144,1,16384,10.0,16000.0,0.64,50,0,0.5,bbr,10.000233056023717,17702664,1728.735492028017,0,0.0,0.0,64240,313344,125954.30534305163,5400,49999.0,150924.0,51596.50863422292,9342.697604302284,50398.0,50928.0,111427.0,2548,16601,63,1640,50,0,0,8,2,34,0,2025-12-26T08:01:37.789808,True,
262144,1,16384,10.0,16000.0,0.64,50,0,1.0,cubic,10.000776187051088,2613144,255.1700377820848,0,0.0,0.0,64240,313344,112901.30127360563,224,50001.0,150134.0,52265.85145888594,11438.092143699047,50044.0,51213.0,109210.0,377,2277,16,77,2,0,0,0,2,14,0,2025-12-26T08:01:52.424815,True,
262144,1,16384,10.0,16000.0,0.64,50,0,1.0,bbr,10.033260858152062,15713568,1529.4410727427567,0,0.0,0.0,0,313344,124524.3978134013,4232,50001.0,151579.0,54055.123470522805,16432.15913154646,50460.0,70751.0,146672.0,1798,14909,105,1939,73,0,0,16,2,38,0,2025-12-26T08:02:05.665343,True,
262144,1,16384,10.0,16000.0,0.64,50,20,0.5,cubic,10.000936527037993,1713936,167.36088870026296,0,0.0,0.0,64240,313344,183508.6395394998,808,1229.0,349609.0,58497.514925373136,22998.599062482957,57718.0,86210.0,116319.0,402,2519,103,847,30,0,0,0,2,31,0,2025-12-26T08:02:20.159279,True,
262144,1,16384,10.0,16000.0,0.64,50,20,0.5,bbr,10.001215720083565,3751272,366.2906255630082,0,0.0,0.0,64240,313344,176790.88761174967,2299,895.0,270307.0,81180.60451977402,48958.50605067164,64614.00000000001,201113.0,253439.00000000003,354,5481,310,2254,236,0,0,0,2,42,0,2025-12-26T08:02:33.414759,True,
262144,1,16384,10.0,16000.0,0.64,50,20,1.0,cubic,10.014223536010832,1464880,142.85150215149469,0,0.0,0.0,64240,313344,179965.1311728395,626,7086.0,238964.0,64210.935275080905,27182.022836389704,60702.0,99839.0,190764.0,309,1944,54,628,31,0,0,0,2,17,0,2025-12-26T08:02:46.917357,True,
262144,1,16384,10.0,16000.0,0.64,50,20,1.0,bbr,10.001032404135913,3659512,357.33732709655897,0,0.0,0.0,64240,313344,176931.7921517086,2332,17.0,243455.0,86543.18769230769,52792.45099634695,65634.0,206493.0,229442.0,325,5326,284,2223,223,1,0,0,4,40,0,2025-12-26T08:03:00.102979,True,
262144,1,16384,20.0,16000.0,1.28,50,0,0.5,cubic,10.024036545073614,3733896,363.76391846775954,0,0.0,0.0,64240,313344,104283.34131147541,193,50002.0,91932.0,50348.727891156464,2796.0020175182003,50059.0,51037.0,51136.0,441,3050,11,59,0,0,0,0,2,12,0,2025-12-26T08:03:14.538212,True,
262144,1,16384,20.0,16000.0,1.28,50,0,0.5,bbr,10.082331852987409,18238528,1766.5618192008387,0,0.0,0.0,64240,313344,126225.88032948547,5506,50002.0,150214.0,51603.02111111111,9644.586299477694,50402.0,50931.0,122352.0,2700,17239,64,1665,43,0,0,13,2,33,0,2025-12-26T08:03:27.931482,True,
