recv_buf,delay_ms,read_size,send_rate_mbps,receiver_capacity_kbps,oversubscription_ratio,net_delay_ms,net_jitter_ms,net_loss_pct,congestion_algo,duration_actual,bytes_transferred,actual_throughput_kbps,zero_window_count,zero_window_duration_ms,zero_window_pct,window_min,window_max,window_mean,window_oscillations,rtt_min_us,rtt_max_us,rtt_mean_us,rtt_stddev_us,rtt_p50_us,rtt_p95_us,rtt_p99_us,rtt_samples,total_packets,retransmit_count,dup_ack_count,fast_retransmit_count,out_of_order_count,zero_window_probe_count,window_full_count,ecn_ece_count,ecn_cwr_count,ecn_ce_count,timestamp,success,error
65536,1,8192,10.0,8000.0,1.28,25,0,0,cubic,10.000151235144585,14740532,1439.4833080783774,0,0.0,0.0,41998,77544,67429.46888504754,12,24999.0,28209.0,25164.807147076197,313.0507315183063,25028.0,26040.0,26066.0,3386,13884,0,0,0,0,0,107,2,1,0,2025-12-26T08:17:13.460331,True,
65536,1,8192,10.0,8000.0,1.28,50,0,0,cubic,10.012625621864572,6733034,656.6937348847512,0,0.0,0.0,41998,76896,66360.44162865348,21,49999.0,51169.0,50243.51943462897,316.41069580670273,50086.0,51017.0,51077.0,1132,5919,0,0,0,0,0,58,2,1,0,2025-12-26T08:17:27.738112,True,
65536,10,8192,10.0,800.0,12.8,25,0,0,cubic,10.001123273046687,8085088,789.4706958846164,0,0.0,0.0,30352,76896,62740.64150943396,334,25003.0,35090.0,25339.008403361346,807.6630557937445,25341.0,25626.0,25932.0,595,6254,0,0,0,0,0,116,2,1,0,2025-12-26T08:17:41.373233,True,
65536,10,8192,10.0,800.0,12.8,50,0,0,cubic,10.005694106919691,6669916,650.9883046739718,0,0.0,0.0,43730,76896,65501.886927055464,7,50003.0,80335.0,52166.703872437356,3429.534195877212,50919.0,59912.0,60112.0,878,5607,0,0,0,0,0,2,2,1,0,2025-12-26T08:17:54.987059,True,
65536,20,8192,10.0,400.0,25.6,25,0,0,cubic,10.000260228058323,4069024,397.3552847005798,0,0.0,0.0,22082,76896,61087.05053598775,352,25010.0,35573.0,32336.732704402515,4582.296949589086,35214.0,35392.0,35469.0,318,3265,0,0,0,0,0,52,2,1,0,2025-12-26T08:18:08.548573,True,
65536,20,8192,10.0,400.0,25.6,50,0,0,cubic,10.013261871878058,4048832,394.8700783612295,0,0.0,0.0,30980,76896,63528.26157485637,150,49982.0,70147.0,50415.61777777778,1846.955788593025,50093.0,50704.0,50955.0,225,2959,0,0,0,0,0,43,2,1,0,2025-12-26T08:18:21.876129,True,
131072,1,8192,10.0,8000.0,1.28,25,0,0,cubic,10.00089966203086,29266008,2857.7514926988383,0,0.0,0.0,64240,155924,81814.12123307613,5859,24995.0,26306.0,25291.470160387915,403.1781619962097,25050.0,26053.0,26077.0,5362,27476,0,0,0,0,0,48,2,1,0,2025-12-26T08:18:35.293589,True,
131072,1,8192,10.0,8000.0,1.28,50,0,0,cubic,10.01269132993184,13297308,1296.9192713382483,0,0.0,0.0,64240,155232,77257.55361882852,211,49997.0,51362.0,50375.162521688835,379.03008340313016,50210.0,51034.0,51164.0,1729,11302,0,0,0,0,0,76,2,1,0,2025-12-26T08:18:50.826850,True,
131072,10,8192,10.0,800.0,12.8,25,0,0,cubic,10.004084400832653,8090384,789.7539953123955,0,0.0,0.0,30432,155232,63790.68188279893,50,25004.0,35039.0,25272.853305785124,767.6004935752749,25236.0,25622.0,25963.0,484,6331,0,0,0,0,0,178,2,1,0,2025-12-26T08:19:04.986942,True,
131072,10,8192,10.0,800.0,12.8,50,0,0,cubic,10.003145985072479,7976272,778.6878384684057,0,0.0,0.0,64240,155232,66787.24268912905,127,50002.0,59949.0,50688.81494661922,877.9046681301115,50658.0,51816.0,52415.0,562,6292,0,0,0,0,0,20,2,1,0,2025-12-26T08:19:18.689687,True,
131072,20,8192,10.0,400.0,25.6,25,0,0,cubic,10.010950239840895,4077216,397.7301010002104,0,0.0,0.0,21800,154368,61632.3533113575,312,25005.0,35688.0,32103.668656716418,4664.141882400969,35173.0,35456.0,35642.0,335,3337,0,0,0,0,0,106,2,1,0,2025-12-26T08:19:32.374265,True,
131072,20,8192,10.0,400.0,25.6,50,0,0,cubic,10.002718587871641,4048832,395.2862879491755,0,0.0,0.0,30936,155232,64397.83194622279,28,50003.0,69345.0,50268.69264069264,1269.6259277595693,50078.0,50454.0,50587.0,231,3124,0,0,0,0,0,73,2,1,0,2025-12-26T08:19:45.640043,True,
65536,1,8192,10.0,8000.0,1.28,25,0,0,cubic,10.0202598629985,14979386,1459.872981402657,0,0.0,0.0,43730,77564,67417.9908479512,8,25000.0,26342.0,25143.154545454545,290.5079713093857,25022.0,26023.0,26065.0,3410,14423,0,0,0,0,0,145,2,1,0,2025-12-26T08:19:58.954227,True,
65536,1,8192,10.0,8000.0,1.28,50,0,0,cubic,10.011662559118122,6372646,621.603761875408,0,0.0,0.0,45460,76896,65884.55855520387,29,50001.0,51235.0,50207.41367713005,308.1475105988566,50068.0,51012.0,51082.0,892,5371,0,0,0,0,0,54,2,1,0,2025-12-26T08:20:13.244557,True,
65536,10,8192,10.0,800.0,12.8,25,0,0,cubic,10.003671771846712,8062912,787.1047430963886,0,0.0,0.0,30362,76896,63172.30523255814,302,24999.0,34158.0,25380.061657032755,531.4661620105148,25293.0,26049.0,26187.0,519,6192,0,0,0,0,0,152,2,1,0,2025-12-26T08:20:26.827347,True,
65536,10,8192,10.0,800.0,12.8,50,0,0,cubic,10.000525744864717,6547090,639.330645332136,0,0.0,0.0,41660,76896,65446.74865543206,12,50002.0,90159.0,52326.56627906977,3528.3755945625685,50869.0,59642.0,60082.0,860,5578,0,0,0,0,0,7,2,1,0,2025-12-26T08:20:40.391236,True,
65536,20,8192,10.0,400.0,25.6,25,0,0,cubic,10.01234452193603,4077216,397.67471457625095,0,0.0,0.0,21916,94326,61785.05631958088,333,25004.0,35698.0,31767.1673151751,4785.276963553942,35140.0,35470.0,35579.0,257,3054,0,0,0,0,0,61,2,1,0,2025-12-26T08:20:53.936155,True,
65536,20,8192,10.0,400.0,25.6,50,0,0,cubic,10.000129536958411,4040640,394.58863861879297,0,0.0,0.0,31352,76896,63527.02965828498,159,50008.0,69260.0,50369.20920502092,1267.153551704479,50100.0,51058.0,51203.0,239,3102,0,0,0,0,0,42,2,1,0,2025-12-26T08:21:07.220813,True,
131072,1,8192,10.0,8000.0,1.28,25,0,0,cubic,10.000485921977088,28720720,2804.621529776127,0,0.0,0.0,64240,155768,80761.98697005805,4909,25001.0,31166.0,25234.752035065747,376.4422455414289,25037.0,26047.0,26070.0,4791,26017,0,0,0,0,0,52,2,1,0,2025-12-26T08:21:20.539729,True,
131072,1,8192,10.0,8000.0,1.28,50,0,0,cubic,10.011734917061403,13724904,1338.7516423011778,0,0.0,0.0,64240,155348,79524.99745093042,210,49999.0,56399.0,50295.75048449612,390.8120970533712,50103.0,51032.0,51081.0,2064,11769,0,0,0,0,0,53,8,2,0,2025-12-26T08:21:36.032255,True,
131072,10,8192,10.0,800.0,12.8,25,0,0,cubic,10.007847300963476,8060512,786.5421517015138,0,0.0,0.0,30168,155232,63680.60618912975,48,25001.0,35187.0,25391.58203125,830.7992393372625,25202.0,25972.0,26173.0,512,6366,0,0,0,0,0,177,2,1,0,2025-12-26T08:21:50.197272,True,
131072,10,8192,10.0,800.0,12.8,50,0,0,cubic,10.00422495789826,7976272,778.6038556490461,0,0.0,0.0,64240,155232,66769.31963180448,140,50003.0,60010.0,50642.786231884056,867.5684899406934,50665.0,51880.0,52309.0,552,6301,0,0,0,0,0,25,2,1,0,2025-12-26T08:22:03.760708,True,
131072,20,8192,10.0,400.0,25.6,25,0,0,cubic,10.015789572149515,4077216,397.53792961781306,0,0.0,0.0,21800,154368,61632.3533113575,312,25002.0,35772.0,32123.680597014925,4674.783544777132,35189.0,35487.0,35616.0,335,3337,0,0,0,0,0,106,2,1,0,2025-12-26T08:22:17.441576,True,
131072,20,8192,10.0,400.0,25.6,50,0,0,cubic,10.01265300810337,4043536,394.3775562584874,0,0.0,0.0,29912,155232,64347.50731552163,28,50007.0,69988.0,50502.2633744856,2162.250257844235,50177.0,50894.0,69538.0,243,3144,0,0,0,0,0,71,2,1,0,2025-12-26T08:22:30.747532,True,
65536,1,8192,10.0,8000.0,1.28,25,0,0,cubic,10.001057372195646,14798434,1445.0067793134033,0,0.0,0.0,41998,77680,67297.36059217484,13,24998.0,26145.0,25178.81396786156,338.2171911045755,25023.0,26050.0,26067.0,3236,14185,0,0,0,0,0,64,2,1,0,2025-12-26T08:22:44.152117,True,
65536,1,8192,10.0,8000.0,1.28,50,0,0,cubic,10.014804407022893,6945672,677.2856000805663,0,0.0,0.0,43730,76896,66876.96136256111,19,50001.0,51202.0,50257.30070422535,322.10237481064775,50097.0,50999.0,51067.0,1420,6341,0,0,0,0,0,61,2,1,0,2025-12-26T08:22:58.369803,True,
65536,10,8192,10.0,800.0,12.8,25,0,0,cubic,10.00667506805621,8090384,789.5495328134721,0,0.0,0.0,30714,76896,62689.499922203206,335,25003.0,35038.0,25317.58012820513,795.3835069113832,25278.0,25834.0,26311.0,624,6427,0,0,0,0,0,116,2,1,0,2025-12-26T08:23:11.986250,True,
65536,10,8192,10.0,800.0,12.8,50,0,0,cubic,10.00264573795721,6523396,636.881888366369,0,0.0,0.0,43730,76896,65427.559851301114,14,50003.0,60204.0,52244.50618811881,3424.8292744847367,50742.0,59434.0,60091.0,808,5380,0,0,0,0,0,5,2,1,0,2025-12-26T08:23:25.585082,True,
65536,20,8192,10.0,400.0,25.6,25,0,0,cubic,10.017248600022867,4077216,397.4800275986872,0,0.0,0.0,22082,76896,61082.20710784314,352,25001.0,35842.0,32338.553459119496,4579.112437203407,35196.0,35527.0,35631.0,318,3264,0,0,0,0,0,52,2,1,0,2025-12-26T08:23:39.102030,True,
65536,20,8192,10.0,400.0,25.6,50,0,0,cubic,10.017715867841616,4048832,394.6945144144822,0,0.0,0.0,31072,76896,63527.927354548374,159,50006.0,69473.0,50364.870292887026,1273.3720708712005,50143.0,50956.0,51043.0,239,3111,0,0,0,0,0,41,2,1,0,2025-12-26T08:23:52.401358,True,
131072,1,8192,10.0,8000.0,1.28,25,0,0,cubic,10.000907289795578,28577996,2790.5667366026,0,0.0,0.0,64240,155232,86969.67807212571,10101,24998.0,26297.0,25259.430400723108,385.8450228301958,25043.0,26036.0,26060.0,6638,26537,0,0,0,0,0,10,15,4,0,2025-12-26T08:24:05.777095,True,
131072,1,8192,10.0,8000.0,1.28,50,0,0,cubic,10.013352908892557,12924760,1260.500458971233,0,0.0,0.0,64240,155232,76659.64902848519,218,50001.0,51325.0,50327.4974522293,347.07967705241435,50175.0,51031.0,51110.0,1570,10602,0,0,0,0,0,46,19,3,0,2025-12-26T08:24:21.183505,True,
131072,10,8192,10.0,800.0,12.8,25,0,0,cubic,10.00691707804799,8087488,789.2478211222091,0,0.0,0.0,30388,155232,63796.52229804793,50,25003.0,34336.0,25276.5625,480.1797148919871,25259.0,25706.0,25946.0,480,6301,0,0,0,0,0,138,2,1,0,2025-12-26T08:24:35.256049,True,
131072,10,8192,10.0,800.0,12.8,50,0,0,cubic,10.006680862046778,7970976,777.895923464858,0,0.0,0.0,64240,155232,66573.83962878541,163,50000.0,59299.0,50702.13176470588,709.6418991230743,50753.0,51628.0,51936.0,425,6142,0,0,0,0,0,41,2,1,0,2025-12-26T08:24:48.889395,True,
131072,20,8192,10.0,400.0,25.6,25,0,0,cubic,10.010647224960849,4077216,397.7421399959054,0,0.0,0.0,21800,154368,61632.3533113575,312,25001.0,35571.0,32102.02985074627,4667.441020165212,35190.0,35371.0,35507.0,335,3337,0,0,0,0,0,106,2,1,0,2025-12-26T08:25:02.605909,True,
131072,20,8192,10.0,400.0,25.6,50,0,0,cubic,10.00838724616915,4048832,395.0624014386958,0,0.0,0.0,31156,155232,64308.59472345836,27,50000.0,69294.0,50305.94092827004,1254.6385213659514,50138.0,50611.0,50985.0,237,3146,0,0,0,0,0,75,2,1,0,2025-12-26T08:25:15.905126,True,
