recv_buf,delay_ms,read_size,send_rate_mbps,receiver_capacity_kbps,oversubscription_ratio,net_delay_ms,net_jitter_ms,net_loss_pct,congestion_algo,duration_actual,bytes_transferred,actual_throughput_kbps,zero_window_count,zero_window_duration_ms,zero_window_pct,window_min,window_max,window_mean,window_oscillations,rtt_min_us,rtt_max_us,rtt_mean_us,rtt_stddev_us,rtt_p50_us,rtt_p95_us,rtt_p99_us,rtt_samples,total_packets,retransmit_count,dup_ack_count,fast_retransmit_count,out_of_order_count,zero_window_probe_count,window_full_count,timestamp,success,error
262144,1,16384,10.0,16000.0,0.64,10,0,0,cubic,10.000960155157372,97427456,9513.486557681705,0,0.0,0.0,64240,313344,92933.63269037048,18228,10000.0,11078.0,10418.918772367422,245.63724477368862,10418.0,10800.0,10839.0,9221,80409,0,4,0,0,0,5,2025-12-24T19:59:37.703904,True,
262144,1,16384,10.0,16000.0,0.64,10,0,0,bbr,10.000572595978156,97402880,9511.455377890421,0,0.0,0.0,64240,313344,93180.94885298026,18512,9998.0,11057.0,10417.584156290253,244.40327849657467,10415.0,10796.0,10839.0,9316,80513,0,3,0,0,0,0,2025-12-24T19:59:56.351327,True,
262144,1,16384,10.0,16000.0,0.64,10,0,0.1,cubic,10.00023380597122,41287800,4031.91745011247,0,0.0,0.0,0,313344,112210.90687336466,10404,9996.0,35441.0,10299.17273954116,528.6266480268052,10053.0,11053.0,11072.0,6669,35543,18,227,18,0,0,13,2025-12-24T20:00:14.997537,True,
262144,1,16384,10.0,16000.0,0.64,10,0,0.1,bbr,10.000690797809511,97525760,9523.342129611763,0,0.0,0.0,64240,313344,89887.24808514999,14742,10000.0,35360.0,10461.295719317259,889.901434077944,10407.0,10833.0,10972.0,7382,78074,70,860,68,0,0,36,2025-12-24T20:00:30.159440,True,
262144,1,16384,10.0,16000.0,0.64,10,0,0.25,cubic,10.001158679137006,21311768,2080.98622421776,0,0.0,0.0,64240,313344,116978.60561640894,4027,9999.0,36533.0,10198.178930219929,828.9800561540777,10019.0,11053.0,11081.0,3683,18624,36,282,36,0,0,11,2025-12-24T20:00:48.602905,True,
262144,1,16384,10.0,16000.0,0.64,10,0,0.25,bbr,10.000902896979824,95430056,9318.500041695586,0,0.0,0.0,64240,313344,84792.75773683129,9314,10001.0,39780.0,10787.968848663439,2652.7343193896063,10334.0,10955.0,28996.0,4751,72995,178,1555,146,0,0,97,2025-12-24T20:01:02.587534,True,
262144,1,16384,10.0,16000.0,0.64,10,0,0.5,cubic,10.004080018028617,16248192,1586.0903722686128,0,0.0,0.0,64240,313344,111507.67146161631,2068,9996.0,30279.0,10233.267085953878,1126.514753419316,10019.0,11057.0,11200.0,2385,13834,47,263,47,0,0,13,2025-12-24T20:01:20.759569,True,
262144,1,16384,10.0,16000.0,0.64,10,0,0.5,bbr,10.021219892194495,82910672,8079.600487368346,0,0.0,0.0,64240,313344,83530.92935177291,6471,10001.0,38878.0,11577.236111111111,4477.832618990575,10400.0,23401.0,33329.0,3240,63342,295,2049,239,0,0,143,2025-12-24T20:01:34.447783,True,
262144,1,16384,10.0,16000.0,0.64,10,0,1,cubic,10.000386507017538,6485096,633.2856793140838,0,0.0,0.0,64240,313344,117217.3282051282,1020,10001.0,38043.0,10416.261044176706,2200.6646965302857,10018.0,11065.0,25483.0,996,5655,57,211,45,0,0,0,2025-12-24T20:01:51.885508,True,
262144,1,16384,10.0,16000.0,0.64,10,0,1,bbr,10.000305245863274,74425824,7267.925024595166,0,0.0,0.0,64240,313344,83977.17782761378,5247,9999.0,44622.0,12775.011029411764,5698.773889552129,10474.0,28084.0,30291.0,2448,57522,519,2797,458,0,0,160,2025-12-24T20:02:04.943995,True,
262144,1,16384,10.0,16000.0,0.64,10,0,2,cubic,10.018505576997995,5354208,521.9060577263026,0,0.0,0.0,64240,313344,121487.07962923952,956,10001.0,51053.0,10896.014184397163,4115.754929879184,10024.0,11223.0,30061.0,846,4747,73,251,55,0,0,0,2025-12-24T20:02:21.870050,True,
262144,1,16384,10.0,16000.0,0.64,10,0,2,bbr,10.000027338042855,64326280,6281.846107912189,0,0.0,0.0,64240,313344,88364.0640829377,6054,10001.0,48232.0,16377.962429233145,8158.885626803428,10773.0,30205.0,31162.0,1943,51605,906,4048,781,0,0,125,2025-12-24T20:02:34.853958,True,
262144,1,16384,10.0,16000.0,0.64,10,0,5,cubic,10.030899730976671,2786904,271.32022156451256,0,0.0,0.0,64240,313344,136200.27240014393,827,44.0,345816.0,13813.637200736648,20831.875385133877,10024.0,30072.0,51018.0,543,2779,98,270,65,2,0,0,2025-12-24T20:02:51.334917,True,
