recv_buf,delay_ms,read_size,send_rate_mbps,receiver_capacity_kbps,oversubscription_ratio,net_delay_ms,net_jitter_ms,net_loss_pct,congestion_algo,duration_actual,bytes_transferred,actual_throughput_kbps,zero_window_count,zero_window_duration_ms,zero_window_pct,window_min,window_max,window_mean,window_oscillations,rtt_min_us,rtt_max_us,rtt_mean_us,rtt_stddev_us,rtt_p50_us,rtt_p95_us,rtt_p99_us,rtt_samples,total_packets,retransmit_count,dup_ack_count,fast_retransmit_count,out_of_order_count,zero_window_probe_count,window_full_count,timestamp,success,error
262144,1,16384,5.0,16000.0,0.32,30,15,0.5,cubic,10.027800298063084,1280984,124.74928701378595,0,0.0,0.0,64240,313344,184949.54366812226,859,125.0,122204.0,35327.73846153846,15790.045242406326,34530.0,61292.0,90951.0,390,2290,307,763,146,0,0,0,2025-12-24T22:07:12.900174,True,
262144,1,16384,5.0,16000.0,0.32,30,15,2.0,cubic,10.003283933969215,1199896,117.13887611656052,0,0.0,0.0,64240,313344,183592.58239910315,752,2.0,138700.0,36408.308483290486,18852.906845003516,34357.0,65543.0,117840.0,389,1784,121,490,45,0,0,0,2025-12-24T22:07:25.720776,True,
262144,1,16384,5.0,16000.0,0.32,30,45,0.5,cubic,10.062964173965156,624544,60.60900540398882,0,0.0,0.0,64240,313344,184661.96837606837,635,3.0,168980.0,40425.77725118483,33564.96766614048,37337.0,102268.0,140115.0,211,1170,163,374,73,0,0,0,2025-12-24T22:07:38.509743,True,
262144,1,16384,5.0,16000.0,0.32,30,45,2.0,cubic,10.010709126014262,584496,57.01862553539814,0,0.0,0.0,64240,313344,183856.14985862395,594,4.0,225667.0,42431.04784688995,39742.66894158697,38867.0,111061.0,187212.0,209,1061,138,322,64,0,0,0,2025-12-24T22:07:51.318959,True,
262144,1,16384,5.0,16000.0,0.32,75,15,0.5,cubic,10.008521490963176,4520960,441.1240964998038,0,0.0,0.0,64240,313344,164035.49532545422,1102,44793.0,396569.0,97729.02876106194,57156.53865003297,84206.0,287473.0,358060.0,452,5669,124,2040,91,0,0,1,2025-12-24T22:08:04.105781,True,
262144,1,16384,5.0,16000.0,0.32,75,15,2.0,cubic,10.105743849882856,1270848,122.80763479022735,0,0.0,0.0,64240,313344,174566.88323353292,542,39592.0,409576.0,90734.05394190871,40449.82415773005,82240.0,156560.0,280203.0,241,1670,35,536,20,0,0,0,2025-12-24T22:08:17.350705,True,
262144,1,16384,5.0,16000.0,0.32,75,45,0.5,cubic,10.08593160705641,473000,45.797857897115975,0,0.0,0.0,64240,313344,183040.40704738762,315,4191.0,365857.0,97567.96124031008,50041.93381452922,95909.0,167402.0,283134.0,129,823,85,290,38,0,0,0,2025-12-24T22:08:30.391922,True,
262144,1,16384,5.0,16000.0,0.32,75,45,2.0,cubic,10.013440293027088,431008,42.034129897703615,0,0.0,0.0,64240,313344,183174.44340878827,300,5.0,267221.0,87677.11034482758,43832.161760140625,83637.0,154804.0,227185.0,145,751,87,238,26,0,0,0,2025-12-24T22:08:43.414292,True,
262144,1,16384,5.0,16000.0,0.32,150,15,0.5,cubic,10.021569698117673,4186696,407.9770370970873,0,0.0,0.0,64240,313344,155746.14746268655,274,125800.0,770029.0,201605.19711538462,130602.91328372703,166615.0,506143.0,758586.0,208,5025,62,1858,24,0,0,3,2025-12-24T22:08:56.315681,True,
262144,1,16384,5.0,16000.0,0.32,150,15,2.0,cubic,10.052244195016101,1917240,186.25738205089448,0,0.0,0.0,64240,313344,157977.0575510204,253,132573.0,895261.0,292127.80412371136,223177.4569796647,167579.0,727626.0,895261.0,97,2450,73,950,47,0,0,1,2025-12-24T22:09:09.927009,True,
262144,1,16384,5.0,16000.0,0.32,150,45,0.5,cubic,10.275199291063473,1341800,127.5256591509263,0,0.0,0.0,0,313344,179775.3819197562,469,92189.0,628065.0,184073.3097826087,54713.76779904821,180342.0,232481.0,594924.0,184,1969,50,777,12,0,0,0,2025-12-24T22:09:23.303331,True,
262144,1,16384,5.0,16000.0,0.32,150,45,2.0,cubic,10.094980215188116,622144,60.18461522944929,0,0.0,0.0,0,313344,177750.24973204717,290,62278.0,588029.0,189022.35869565216,83363.47807546618,170358.0,352274.0,588029.0,92,933,41,363,26,0,0,0,2025-12-24T22:09:36.921876,True,
262144,1,16384,10.0,16000.0,0.64,30,15,0.5,cubic,10.003801928134635,1570584,153.31905294790218,0,0.0,0.0,64240,313344,185349.45019404916,911,1632.0,127391.0,36605.76651982379,15921.02732329756,35840.0,58835.0,90468.0,454,2319,165,708,55,0,0,0,2025-12-24T22:09:50.214420,True,
262144,1,16384,10.0,16000.0,0.64,30,15,2.0,cubic,10.117496069986373,1496736,144.4681806535131,0,0.0,0.0,64240,313344,180682.58351794418,827,1513.0,153153.0,39106.176623376625,19089.211581005344,36746.0,67841.0,125442.0,385,2257,135,706,82,0,0,0,2025-12-24T22:10:03.052296,True,
262144,1,16384,10.0,16000.0,0.64,30,45,0.5,cubic,10.008395027834922,678616,66.21550564869757,0,0.0,0.0,64240,313344,185345.996099844,681,4.0,177213.0,43970.92857142857,32640.800284833607,41805.0,106376.0,139501.0,238,1282,180,404,88,0,0,0,2025-12-24T22:10:15.995764,True,
262144,1,16384,10.0,16000.0,0.64,30,45,2.0,cubic,10.055932111106813,552640,53.6685703559905,0,0.0,0.0,64240,313344,183194.02056807053,562,4.0,191384.0,48406.54460093897,36772.45214830233,45899.0,113704.0,143843.0,213,1021,137,290,63,0,0,0,2025-12-24T22:10:28.841689,True,
262144,1,16384,10.0,16000.0,0.64,75,15,0.5,cubic,10.012142942054197,1664704,162.37158312748346,0,0.0,0.0,64240,313344,176590.21695985566,654,53380.0,338522.0,86802.91614906832,32065.95832054155,80658.0,120480.0,279630.0,322,2217,40,725,34,0,0,0,2025-12-24T22:10:41.630196,True,
262144,1,16384,10.0,16000.0,0.64,75,15,2.0,cubic,10.10303281294182,1104328,106.7447104713477,0,0.0,0.0,64240,313344,176941.04982206406,474,41180.0,250378.0,83011.73498233216,20573.2181483412,80272.0,110973.0,178061.0,283,1405,17,377,11,0,0,0,2025-12-24T22:10:54.655873,True,
262144,1,16384,10.0,16000.0,0.64,75,45,0.5,cubic,10.11915638600476,454176,43.83085240321251,0,0.0,0.0,64240,313344,183231.53479381444,314,14.0,369355.0,94366.04666666666,51442.88478333185,94460.0,150896.0,361995.0,150,776,83,244,15,0,0,0,2025-12-24T22:11:07.685466,True,
