recv_buf,delay_ms,read_size,send_rate_mbps,receiver_capacity_kbps,oversubscription_ratio,net_delay_ms,net_jitter_ms,net_loss_pct,congestion_algo,duration_actual,bytes_transferred,actual_throughput_kbps,zero_window_count,zero_window_duration_ms,zero_window_pct,window_min,window_max,window_mean,window_oscillations,rtt_min_us,rtt_max_us,rtt_mean_us,rtt_stddev_us,rtt_p50_us,rtt_p95_us,rtt_p99_us,rtt_samples,total_packets,retransmit_count,dup_ack_count,fast_retransmit_count,out_of_order_count,zero_window_probe_count,window_full_count,timestamp,success,error
262144,5,16384,32.0,3200.0,10.24,0,0,0,cubic,10.000653929077089,31997952,3124.5956736034886,612,0.0,0.0,0,301248,61058.04938718103,630,3.0,5491.0,4963.6764490095375,782.6416356146121,5080.0,5154.0,5274.0,1363,24885,0,0,0,0,0,1327,2025-12-24T22:23:05.316983,True,
262144,5,16384,64.0,3200.0,20.48,0,0,0,cubic,10.00132342102006,31981568,3122.7867238408503,614,0.0,0.0,0,301248,61062.32953130648,632,4.0,5413.0,4970.130147058823,771.1580462696663,5080.0,5188.0,5302.0,1360,24899,0,0,0,0,0,1324,2025-12-24T22:23:19.774801,True,
262144,5,16384,128.0,3200.0,40.96,0,0,0,cubic,10.001075519947335,31981568,3122.8641297335653,613,0.0,0.0,0,301248,61059.99,631,2.0,5425.0,4967.089574155653,779.1754542156995,5080.0,5184.0,5302.0,1362,24900,0,0,0,0,0,1326,2025-12-24T22:23:34.230077,True,
262144,10,16384,32.0,1600.0,20.48,0,0,0,cubic,10.005674771033227,16154624,1576.705255868606,313,0.0,0.0,0,301248,61387.815055616484,331,5.0,10480.0,9622.489361702128,2142.4170542366373,10090.0,10222.0,10318.0,705,12766,0,0,0,0,0,669,2025-12-24T22:23:48.695420,True,
262144,10,16384,64.0,1600.0,40.96,0,0,0,cubic,10.009630587184802,16171008,1577.6806009422855,339,0.0,0.0,0,301248,61415.75298152623,361,4.0,10381.0,9554.736070381232,2268.3010748395554,10090.0,10204.0,10294.0,682,12829,2,0,0,0,0,647,2025-12-24T22:24:02.239350,True,
262144,10,16384,128.0,1600.0,81.92,0,0,0,cubic,10.00624652695842,16154624,1576.6151630880715,338,0.0,0.0,0,301248,61399.563898635475,356,6.0,10318.0,9595.258823529412,2197.4864673501065,10095.0,10208.0,10246.0,680,12825,0,0,0,0,0,644,2025-12-24T22:24:15.809931,True,
524288,5,16384,32.0,3200.0,10.24,0,0,0,cubic,10.004795821849257,31965184,3120.103653872481,685,0.0,0.0,0,602496,63204.84998978132,28,6.0,5400.0,4761.104194857916,1274.0751720158512,5092.0,5221.0,5323.0,739,24465,0,0,0,0,0,686,2025-12-24T22:24:29.420712,True,
524288,5,16384,64.0,3200.0,20.48,0,0,0,cubic,10.000559906009585,32030720,3127.8248712057684,685,0.0,0.0,0,602496,63195.808094048254,28,3.0,5456.0,4778.065040650406,1230.1869076477906,5088.0,5161.0,5268.0,738,24413,0,0,0,0,0,687,2025-12-24T22:24:43.872564,True,
524288,5,16384,128.0,3200.0,40.96,0,0,0,cubic,10.001524726860225,32063488,3130.722650308316,685,0.0,0.0,0,602496,63194.917167504806,26,6.0,5262.0,4764.960704607046,1244.8109279819773,5088.0,5133.0,5226.0,738,24459,0,0,0,0,0,687,2025-12-24T22:24:58.283250,True,
524288,10,16384,32.0,1600.0,20.48,0,0,0,cubic,10.008688683155924,16154624,1576.2304632923738,273,0.0,0.0,0,714896,66692.29163327457,36,5.0,10481.0,7839.243169398907,4220.714890162334,10098.0,10256.0,10382.0,366,12478,0,0,0,0,0,274,2025-12-24T22:25:12.771545,True,
524288,10,16384,64.0,1600.0,40.96,0,0,0,cubic,10.004182257922366,16154624,1576.9404828172637,342,0.0,0.0,0,602496,64203.59559758424,26,1.0,10389.0,8901.764556962025,3269.793513050067,10101.0,10259.0,10366.0,395,12584,0,0,0,0,0,345,2025-12-24T22:25:26.309999,True,
524288,10,16384,128.0,1600.0,81.92,0,0,0,cubic,10.00980019196868,16154624,1576.0554354179624,342,0.0,0.0,0,602496,64318.6151951045,34,1.0,10457.0,8799.756281407035,3391.0978104736582,10106.0,10260.0,10340.0,398,12583,1,0,0,0,0,345,2025-12-24T22:25:39.856864,True,
1048576,5,16384,32.0,3200.0,10.24,0,0,0,cubic,10.00122183887288,32063488,3130.817464551792,368,0.0,0.0,0,1206176,68370.44117886842,60,5.0,5419.0,3953.294363256785,2117.8406566505337,5094.0,5149.0,5370.0,479,24532,1,5,0,0,0,368,2025-12-24T22:25:53.435770,True,
1048576,5,16384,64.0,3200.0,20.48,0,0,0,cubic,10.00181478401646,32030720,3127.4324385597943,367,0.0,0.0,0,1206176,67248.82295457333,38,2.0,5430.0,4226.665178571428,1931.1054533150648,5099.0,5214.0,5360.0,448,24457,0,0,0,0,0,367,2025-12-24T22:26:07.910549,True,
1048576,5,16384,128.0,3200.0,40.96,0,0,0,cubic,10.001695274142548,32014336,3125.870079328155,364,0.0,0.0,0,1206176,67261.87520098948,38,1.0,5712.0,4259.418918918919,1904.0359541240362,5100.0,5228.0,5383.0,444,24255,0,0,0,0,0,365,2025-12-24T22:26:22.360970,True,
1048576,10,16384,32.0,1600.0,20.48,0,0,0,cubic,10.008434251183644,16187392,1579.467837152497,182,0.0,0.0,0,1206176,70274.59374758184,38,5.0,10404.0,7133.790874524715,4584.90283409492,10097.0,10213.0,10372.0,263,12923,0,0,0,0,0,183,2025-12-24T22:26:36.788372,True,
1048576,10,16384,64.0,1600.0,40.96,0,0,0,cubic,10.006004239898175,16187392,1579.8514193075005,184,0.0,0.0,0,1206176,70247.43022084463,36,7.0,10386.0,7260.534090909091,4528.102374336757,10102.0,10205.0,10283.0,264,12905,0,0,0,0,0,186,2025-12-24T22:26:50.383857,True,
1048576,10,16384,128.0,1600.0,81.92,0,0,0,cubic,10.002522730035707,16154624,1577.2021144853406,185,0.0,0.0,0,1206176,70240.4152010537,36,3.0,10448.0,7251.471698113208,4543.087608555477,10100.0,10267.0,10385.0,265,12907,0,0,0,0,0,187,2025-12-24T22:27:03.988285,True,
262144,5,16384,32.0,3200.0,10.24,0,0,0,cubic,10.003011235967278,31899648,3114.2622221585098,612,0.0,0.0,0,301248,61058.04938718103,630,1.0,5410.0,4977.863536316948,784.3126372812608,5084.0,5226.0,5312.0,1363,24885,0,0,0,0,0,1327,2025-12-24T22:27:17.578734,True,
262144,5,16384,64.0,3200.0,20.48,0,0,0,cubic,10.000496407039464,31965184,3121.4450492704245,614,0.0,0.0,0,301248,61061.562550216935,632,3.0,5425.0,4972.386029411765,772.8978445999029,5080.0,5201.0,5306.0,1360,24892,0,0,0,0,0,1324,2025-12-24T22:27:32.017322,True,
262144,5,16384,128.0,3200.0,40.96,0,0,0,cubic,10.003803472034633,31981568,3122.012551256952,666,0.0,0.0,0,301248,61069.35929224844,684,2.0,5528.0,4960.938744257274,808.3440871124332,5082.0,5182.0,5307.0,1306,24924,0,0,0,0,0,1270,2025-12-24T22:27:46.440721,True,
262144,10,16384,32.0,1600.0,20.48,0,0,0,cubic,10.003644266864285,16187392,1580.2241241586185,338,0.0,0.0,0,301248,61399.58767957526,356,4.0,10308.0,9572.870397643594,2206.2594126414315,10087.0,10140.0,10237.0,679,12808,0,0,0,0,0,643,2025-12-24T22:28:00.868386,True,
262144,10,16384,64.0,1600.0,40.96,0,0,0,cubic,10.004502375843003,16138240,1575.2907449004454,334,0.0,0.0,0,301248,61406.483858205414,352,6.0,10354.0,9591.619402985074,2226.267008012922,10095.0,10249.0,10323.0,670,12638,0,0,0,0,0,634,2025-12-24T22:28:14.449089,True,
262144,10,16384,128.0,1600.0,81.92,0,0,0,cubic,10.000447811093181,16171008,1579.1292848388682,375,0.0,0.0,0,401176,63343.29620929856,28,15.0,10389.0,8635.799097065463,3537.680042597339,10091.0,10205.0,10323.0,443,12346,0,0,0,0,0,377,2025-12-24T22:28:27.987993,True,
524288,5,16384,32.0,3200.0,10.24,0,0,0,cubic,10.002851149998605,32014336,3125.508870538812,672,0.0,0.0,0,602496,63273.07999672815,28,5.0,5396.0,4748.8980716253445,1277.9935227363483,5089.0,5193.0,5332.0,726,24451,0,0,0,0,0,673,2025-12-24T22:28:41.542590,True,
524288,5,16384,64.0,3200.0,20.48,0,0,0,cubic,10.002704922808334,31997952,3123.954994288374,686,0.0,0.0,0,602496,63508.66083159913,38,4.0,5361.0,4548.887741935484,1559.809769722163,5088.0,5207.0,5323.0,775,24507,0,0,0,0,0,687,2025-12-24T22:28:55.968580,True,
524288,5,16384,128.0,3200.0,40.96,0,0,0,cubic,10.002474857959896,31932416,3117.628431246093,686,0.0,0.0,0,602496,63191.37048845289,26,5.0,5503.0,4763.2002706359945,1278.6065996827542,5094.0,5240.0,5333.0,739,24465,0,0,0,0,0,688,2025-12-24T22:29:10.382724,True,
524288,10,16384,32.0,1600.0,20.48,0,0,0,cubic,10.008078230079263,16154624,1576.326607098779,335,0.0,0.0,0,602496,64274.86479388827,26,2.0,10557.0,8875.87886597938,3311.81741277093,10104.0,10246.0,10360.0,388,12566,0,0,0,0,0,338,2025-12-24T22:29:24.816852,True,
524288,10,16384,64.0,1600.0,40.96,0,0,0,cubic,10.010158464079723,16203776,1580.79415593495,340,0.0,0.0,0,602496,64244.847264735894,26,5.0,10390.0,8846.511450381679,3299.5797404532213,10094.0,10151.0,10226.0,393,12741,0,0,0,0,0,343,2025-12-24T22:29:38.366681,True,
524288,10,16384,128.0,1600.0,81.92,0,0,0,cubic,10.010168829001486,16187392,1579.194144478465,341,0.0,0.0,0,602496,64271.12023529412,28,6.0,10359.0,8821.289340101523,3339.497069575541,10096.0,10195.0,10293.0,394,12750,1,0,0,0,0,343,2025-12-24T22:29:51.950624,True,
1048576,5,16384,32.0,3200.0,10.24,0,0,0,cubic,10.001415740931407,32014336,3125.95744540947,368,0.0,0.0,0,1206176,67365.73753420182,50,4.0,5379.0,4148.015350877193,1992.9117455726794,5104.0,5200.0,5286.0,456,24487,0,0,0,0,0,368,2025-12-24T22:30:05.531049,True,
1048576,5,16384,64.0,3200.0,20.48,0,0,0,cubic,10.005126941949129,31932416,3116.802033690634,364,0.0,0.0,0,1206176,67273.58559782608,38,4.0,5533.0,4238.029213483146,1939.5273677838443,5102.0,5283.0,5374.0,445,24288,0,0,0,0,0,364,2025-12-24T22:30:19.988358,True,
1048576,5,16384,128.0,3200.0,40.96,0,0,0,cubic,10.004654912976548,31981568,3121.746854005979,368,0.0,0.0,0,1206176,67239.83207586064,38,4.0,5475.0,4279.645089285715,1896.3340894866335,5101.0,5270.0,5376.0,448,24255,0,0,0,0,0,368,2025-12-24T22:30:34.492600,True,
1048576,10,16384,32.0,1600.0,20.48,0,0,0,cubic,10.007206436945125,16171008,1578.0627790087624,181,0.0,0.0,0,1206176,70272.93687630541,38,5.0,10398.0,7100.186311787073,4606.147989360381,10101.0,10259.0,10357.0,263,12927,0,0,0,0,0,182,2025-12-24T22:30:48.910592,True,
1048576,10,16384,64.0,1600.0,40.96,0,0,0,cubic,10.006335583981127,16187392,1579.7991050096903,185,0.0,0.0,0,1206176,70182.60579865362,36,4.0,10402.0,7231.177358490566,4538.401456861028,10099.0,10211.0,10370.0,265,13072,0,0,0,0,0,187,2025-12-24T22:31:02.500923,True,
1048576,10,16384,128.0,1600.0,81.92,0,0,0,cubic,10.007299198070541,16203776,1581.245817358089,187,0.0,0.0,0,1206176,73047.14857576908,68,9.0,10265.0,6445.016666666666,4760.865699609917,10087.0,10159.0,10247.0,300,13165,15,30,0,0,0,191,2025-12-24T22:31:16.091361,True,
262144,5,16384,32.0,3200.0,10.24,0,0,0,cubic,10.00270421197638,32014336,3125.5547837321,612,0.0,0.0,0,301248,61054.99674018029,630,5.0,5350.0,4962.228340675477,782.2225319970739,5080.0,5156.0,5250.0,1362,24848,0,0,0,0,0,1326,2025-12-24T22:31:29.716871,True,
262144,5,16384,64.0,3200.0,20.48,0,0,0,cubic,10.00307975593023,31932416,3117.4399045966684,668,0.0,0.0,0,301248,61104.081556438985,698,4.0,5398.0,4950.025248661056,847.4550578694356,5081.0,5221.0,5326.0,1307,24903,51,4,0,0,0,1268,2025-12-24T22:31:44.145322,True,
262144,5,16384,128.0,3200.0,40.96,0,0,0,cubic,10.000180306145921,31981568,3123.1436877998494,612,0.0,0.0,0,301248,61058.04938718103,630,6.0,5583.0,4968.76889214967,776.5140948790786,5080.0,5185.0,5295.0,1363,24885,0,0,0,0,0,1327,2025-12-24T22:31:58.591932,True,
262144,10,16384,32.0,1600.0,20.48,0,0,0,cubic,10.00441393489018,16154624,1576.9039648571052,338,0.0,0.0,0,301248,61399.563898635475,356,5.0,10408.0,9592.041176470588,2200.228977003456,10089.0,10231.0,10355.0,680,12825,0,0,0,0,0,644,2025-12-24T22:32:13.012145,True,
262144,10,16384,64.0,1600.0,40.96,0,0,0,cubic,10.003562286961824,16171008,1578.637643970344,339,0.0,0.0,0,301248,61392.71226783206,357,3.0,10377.0,9596.926470588236,2171.090348298702,10089.0,10179.0,10244.0,680,12814,0,0,0,0,0,644,2025-12-24T22:32:26.633271,True,
262144,10,16384,128.0,1600.0,81.92,0,0,0,cubic,10.003353252075613,16154624,1577.0711682831566,338,0.0,0.0,0,301248,61399.563898635475,356,2.0,10509.0,9588.375,2211.123314255808,10091.0,10229.0,10319.0,680,12825,0,0,0,0,0,644,2025-12-24T22:32:40.226782,True,
524288,5,16384,32.0,3200.0,10.24,0,0,0,cubic,10.004272292135283,31997952,3123.465564263497,672,0.0,0.0,0,602496,63272.64590150524,28,2.0,5428.0,4741.882920110193,1297.5618856816973,5089.0,5201.0,5345.0,726,24448,0,0,0,0,0,673,2025-12-24T22:32:53.783535,True,
524288,5,16384,64.0,3200.0,20.48,0,0,0,cubic,10.000949459848925,31997952,3124.5033409529933,685,0.0,0.0,0,602496,63195.68014901543,28,5.0,5362.0,4778.127371273713,1236.1042932879732,5091.0,5198.0,5327.0,738,24427,0,0,0,0,0,687,2025-12-24T22:33:08.243798,True,
524288,5,16384,128.0,3200.0,40.96,0,0,0,cubic,10.003884144127369,32030720,3126.785511441819,686,0.0,0.0,0,602496,63192.32848445226,26,3.0,5354.0,4767.664411366712,1249.4689809958998,5088.0,5160.0,5282.0,739,24473,0,0,0,0,0,688,2025-12-24T22:33:22.705986,True,
524288,10,16384,32.0,1600.0,20.48,0,0,0,cubic,10.00991040514782,16187392,1579.234914217652,335,0.0,0.0,0,602496,64273.970953366224,26,5.0,10407.0,8844.904639175258,3316.437499691487,10093.0,10217.0,10361.0,388,12566,0,0,0,0,0,338,2025-12-24T22:33:37.117338,True,
524288,10,16384,64.0,1600.0,40.96,0,0,0,cubic,10.004502650815994,16138240,1575.2907016036997,341,0.0,0.0,0,602496,64210.30053254908,26,5.0,10401.0,8883.335025380711,3298.6465128431096,10102.0,10265.0,10349.0,394,12581,0,0,0,0,0,344,2025-12-24T22:33:50.701349,True,
524288,10,16384,128.0,1600.0,81.92,0,0,0,cubic,10.006054267054424,16187392,1579.8435205422436,335,0.0,0.0,0,602496,64274.50954957823,26,5.0,10509.0,8842.7706185567,3308.246005896249,10095.0,10182.0,10318.0,388,12566,0,0,0,0,0,338,2025-12-24T22:34:04.284243,True,
1048576,5,16384,32.0,3200.0,10.24,0,0,0,cubic,10.003707498079166,32079872,3131.6389454625055,372,0.0,0.0,0,1206176,67346.32419308768,50,2.0,5378.0,4150.6963123644255,1977.617286880945,5094.0,5148.0,5301.0,461,24507,0,0,0,0,0,372,2025-12-24T22:34:17.890818,True,
1048576,5,16384,64.0,3200.0,20.48,0,0,0,cubic,10.001150851137936,32014336,3126.0402393033364,367,0.0,0.0,0,1206176,67251.33576191652,38,4.0,5389.0,4233.71875,1922.448509993703,5099.0,5218.0,5360.0,448,24294,0,0,0,0,0,367,2025-12-24T22:34:32.355075,True,
1048576,5,16384,128.0,3200.0,40.96,0,0,0,cubic,10.004075894132257,32079872,3131.523624123541,367,0.0,0.0,0,1206176,67239.24797347089,38,6.0,5406.0,4275.765100671141,1880.207226153192,5094.0,5162.0,5263.0,447,24426,0,0,0,0,0,368,2025-12-24T22:34:46.804544,True,
1048576,10,16384,32.0,1600.0,20.48,0,0,0,cubic,10.001031944993883,16171008,1579.037052061897,182,0.0,0.0,0,1206176,70272.6347254447,38,5.0,10345.0,7098.48288973384,4601.981808036003,10106.0,10220.0,10305.0,263,12930,1,0,0,0,0,183,2025-12-24T22:35:01.282375,True,
1048576,10,16384,64.0,1600.0,40.96,0,0,0,cubic,10.008236657828093,16154624,1576.301654263997,183,0.0,0.0,0,1206176,70263.92488954344,36,2.0,10481.0,7214.863117870723,4576.367582201301,10114.0,10264.0,10419.0,263,12901,0,0,0,0,0,185,2025-12-24T22:35:14.922065,True,
1048576,10,16384,128.0,1600.0,81.92,0,0,0,cubic,10.009092604042962,16171008,1577.765400394153,187,0.0,0.0,0,1206176,72012.96626211739,52,2.0,10394.0,6749.268292682927,4731.393076799136,10098.0,10247.0,10371.0,287,13101,62,5,0,0,0,190,2025-12-24T22:35:28.564940,True,
