recv_buf,delay_ms,read_size,send_rate_mbps,receiver_capacity_kbps,oversubscription_ratio,net_delay_ms,net_jitter_ms,net_loss_pct,congestion_algo,duration_actual,bytes_transferred,actual_throughput_kbps,zero_window_count,zero_window_duration_ms,zero_window_pct,window_min,window_max,window_mean,window_oscillations,rtt_min_us,rtt_max_us,rtt_mean_us,rtt_stddev_us,rtt_p50_us,rtt_p95_us,rtt_p99_us,rtt_samples,total_packets,retransmit_count,dup_ack_count,fast_retransmit_count,out_of_order_count,zero_window_probe_count,window_full_count,timestamp,success,error
65536,10,1024,10.0,100.0,102.4,0,0,0,cubic,10.005931687075645,1015808,99.14119254695052,58,0.0,0.0,0,74300,55588.41415192508,214,5.0,10340.0,8109.191304347826,3993.704708980508,10074.0,10242.0,10300.0,115,961,2,0,0,0,0,86,2025-12-24T22:01:40.076069,True,
65536,10,4096,10.0,400.0,25.6,0,0,0,cubic,10.007626556791365,4059136,396.09791367664036,225,0.0,0.0,0,74300,55080.33731667572,852,4.0,10427.0,9490.2675,2381.1702146095627,10080.0,10157.0,10242.0,400,3682,3,0,0,0,0,378,2025-12-24T22:01:52.735245,True,
65536,10,16384,10.0,1600.0,6.4,0,0,0,cubic,10.00272844103165,16171008,1578.7692421220288,0,0.0,0.0,6034,74300,60820.4024246241,1954,1.0,10466.0,9864.314314314315,1498.8835769607283,10083.0,10174.0,10287.0,999,12703,3,0,0,0,0,977,2025-12-24T22:02:05.619681,True,
65536,10,65536,10.0,6400.0,1.6,0,0,0,cubic,10.003360104979947,63866360,6234.85424227113,0,0.0,0.0,60770,74300,64558.393333038206,0,3.0,10467.0,9888.909638554216,1522.204791602556,10116.0,10241.0,10370.0,996,45178,1,0,0,0,0,175,2025-12-24T22:02:19.178886,True,
65536,20,1024,10.0,50.0,204.8,0,0,0,cubic,10.007640812080353,508928,49.66205415766569,37,0.0,0.0,0,72000,55897.171075837745,149,7.0,20315.0,13964.3,9210.292980216676,20097.0,20275.0,20315.0,70,567,3,0,0,0,0,35,2025-12-24T22:02:35.248441,True,
65536,20,4096,10.0,200.0,51.2,0,0,0,cubic,10.018686152994633,2039808,198.8284660863023,108,0.0,0.0,0,74300,55389.2174863388,413,5.0,20251.0,17922.864077669903,6214.984519188936,20090.0,20199.0,20225.0,206,1830,3,0,0,0,0,184,2025-12-24T22:02:47.900433,True,
65536,20,16384,10.0,800.0,12.8,0,0,0,cubic,10.01918420009315,8142848,793.677393407546,0,0.0,0.0,6034,74300,60867.996596008044,984,2.0,20373.0,19237.758754863815,4077.9928071046047,20097.0,20197.0,20241.0,514,6463,4,0,0,0,0,493,2025-12-24T22:03:00.662825,True,
65536,20,65536,10.0,3200.0,3.2,0,0,0,cubic,10.003765485016629,32278008,3150.962728455804,0,0.0,0.0,54688,74300,64559.7506016189,0,4.0,20396.0,19262.74513618677,4097.80468549831,20138.0,20252.0,20369.0,514,22855,2,0,0,0,0,99,2025-12-24T22:03:13.821325,True,
65536,10,1024,10.0,100.0,102.4,0,0,0,cubic,10.00133416801691,1015808,99.18676681880096,55,0.0,0.0,0,74300,55692.84654994851,211,1.0,10393.0,8139.649572649572,3975.285287437483,10075.0,10242.0,10331.0,117,971,3,0,0,0,0,93,2025-12-24T22:03:28.162521,True,
65536,10,4096,10.0,400.0,25.6,0,0,0,cubic,10.00774819497019,4059136,396.0930993439936,225,0.0,0.0,0,74300,55080.33731667572,852,6.0,10323.0,9519.8925,2317.981511130697,10078.0,10177.0,10299.0,400,3682,3,0,0,0,0,378,2025-12-24T22:03:40.855256,True,
