recv_buf,delay_ms,read_size,send_rate_mbps,receiver_capacity_kbps,oversubscription_ratio,net_delay_ms,net_jitter_ms,net_loss_pct,congestion_algo,duration_actual,bytes_transferred,actual_throughput_kbps,zero_window_count,zero_window_duration_ms,zero_window_pct,window_min,window_max,window_mean,window_oscillations,rtt_min_us,rtt_max_us,rtt_mean_us,rtt_stddev_us,rtt_p50_us,rtt_p95_us,rtt_p99_us,rtt_samples,total_packets,retransmit_count,dup_ack_count,fast_retransmit_count,out_of_order_count,zero_window_probe_count,window_full_count,timestamp,success,error
65536,5,8192,5.0,1600.0,3.2,0,0,0,cubic,10.003919783048332,16072704,1568.9849919225576,370,0.0,0.0,0,74300,56416.821121816414,3406,5.0,5369.0,4995.071878940731,636.7110506709716,5071.0,5133.0,5279.0,1586,13389,0,0,0,0,0,1270,2025-12-24T21:14:03.261383,True,
65536,5,8192,5.0,1600.0,3.2,25,0,0,cubic,10.004779451992363,13633884,1330.7979358903876,0,0.0,0.0,55576,76896,65550.24778316882,2,25001.0,30155.0,26016.440724478594,1325.45254767801,25631.0,29517.0,30052.0,1822,11954,0,0,0,0,0,5,2025-12-24T21:14:16.844706,True,
65536,5,8192,10.0,1600.0,6.4,0,0,0,cubic,10.000697180163115,16007168,1563.091024394465,383,0.0,0.0,0,74300,56733.874631703,3202,2.0,5338.0,5016.066929133858,625.6499734046813,5076.0,5205.0,5292.0,1524,13576,0,0,0,0,0,1500,2025-12-24T21:14:30.431219,True,
65536,5,8192,10.0,1600.0,6.4,25,0,0,cubic,10.000675274059176,13768670,1344.5058886925956,0,0.0,0.0,44594,76896,65614.30754242104,4,25000.0,30271.0,26114.946652719664,968.7051834844883,25704.0,29152.0,30053.0,1912,12317,0,0,0,0,0,7,2025-12-24T21:14:44.043999,True,
65536,5,8192,20.0,1600.0,12.8,0,0,0,cubic,10.000281687127426,16056320,1567.9558327025554,302,0.0,0.0,0,74300,56467.548244319856,3287,2.0,5415.0,5015.37552742616,583.6058161736722,5072.0,5166.0,5245.0,1659,13556,1,0,0,0,0,1635,2025-12-24T21:14:57.672323,True,
65536,5,8192,20.0,1600.0,12.8,25,0,0,cubic,10.002595550147817,13701930,1337.7318865429145,0,0.0,0.0,43730,76896,65555.76236469609,8,25001.0,30214.0,26010.357917570498,872.9780101287384,25780.0,27184.0,30045.0,1844,12010,0,0,0,0,0,9,2025-12-24T21:15:11.288057,True,
65536,10,8192,5.0,800.0,6.4,0,0,0,cubic,10.004673042800277,8101888,790.8304415498875,164,0.0,0.0,0,74300,56627.41232777375,1656,2.0,10415.0,9803.62515114873,1667.0706040198204,10077.0,10202.0,10304.0,827,6895,2,0,0,0,0,805,2025-12-24T21:15:24.853777,True,
65536,10,8192,5.0,800.0,6.4,25,0,0,cubic,10.008303110022098,8090384,789.421097477388,0,0.0,0.0,30406,76896,63425.74315237002,314,25002.0,33493.0,25245.18614718615,455.51912726683065,25202.0,25834.0,25982.0,462,6097,0,0,0,0,0,134,2025-12-24T21:15:38.039996,True,
65536,10,8192,10.0,800.0,12.8,0,0,0,cubic,10.009929887019098,8093696,789.6159203122818,168,0.0,0.0,0,74300,56626.28803716609,1639,8.0,10526.0,9820.271289537714,1656.5639329260955,10082.0,10231.0,10322.0,822,6888,2,0,0,0,0,800,2025-12-24T21:15:51.213795,True,
65536,10,8192,10.0,800.0,12.8,25,0,0,cubic,10.000552962068468,8087488,789.7500798162292,0,0.0,0.0,30082,76896,63464.84990189666,315,25005.0,34974.0,25270.081318681317,663.0612521905521,25236.0,25682.0,25841.0,455,6116,0,0,0,0,0,145,2025-12-24T21:16:04.398549,True,
65536,10,8192,20.0,800.0,25.6,0,0,0,cubic,10.003922448027879,8093696,790.0900912679659,216,0.0,0.0,0,74300,56910.55528184321,1583,6.0,10334.0,9795.438926174496,1717.2524728955732,10080.0,10237.0,10317.0,745,6901,2,0,0,0,0,722,2025-12-24T21:16:17.608476,True,
65536,10,8192,20.0,800.0,25.6,25,0,0,cubic,10.003715581959113,8103872,791.0998103816688,0,0.0,0.0,30358,76896,63498.1401378405,312,25004.0,34437.0,25195.78475336323,465.56943131279706,25184.0,25401.0,25753.0,446,6094,0,0,0,0,0,137,2025-12-24T21:16:30.740830,True,
65536,20,8192,5.0,400.0,12.8,0,0,0,cubic,10.01343134092167,4071424,397.06668619690515,114,0.0,0.0,0,74300,56990.25070422535,805,4.0,20363.0,18943.785529715762,4683.7746839402735,20096.0,20238.0,20322.0,387,3550,4,0,0,0,0,366,2025-12-24T21:16:43.963978,True,
65536,20,8192,5.0,400.0,12.8,25,0,0,cubic,10.008511527907103,4077216,397.8270134273014,0,0.0,0.0,22082,76896,61082.20710784314,352,25003.0,35578.0,32298.64150943396,4568.500408055444,35163.0,35417.0,35568.0,318,3264,0,0,0,0,0,52,2025-12-24T21:16:56.836272,True,
65536,20,8192,10.0,400.0,25.6,0,0,0,cubic,10.011294512078166,4071424,397.15143682998627,114,0.0,0.0,0,74300,56988.13130459284,805,6.0,20307.0,18950.37984496124,4663.226885975497,20105.0,20166.0,20210.0,387,3549,3,0,0,0,0,365,2025-12-24T21:17:09.841797,True,
65536,20,8192,10.0,400.0,25.6,25,0,0,cubic,10.002142036799341,4069024,397.2805260493541,0,0.0,0.0,21882,76032,61178.71694417238,337,25009.0,35859.0,32420.641379310346,4546.872463081534,35199.0,35482.0,35625.0,290,3063,0,0,0,0,0,40,2025-12-24T21:17:22.772589,True,
65536,20,8192,20.0,400.0,51.2,0,0,0,cubic,10.00470934389159,4063232,396.6132211949441,114,0.0,0.0,0,74300,56990.25070422535,805,5.0,20428.0,18976.75968992248,4663.391185108948,20112.0,20243.0,20311.0,387,3550,4,0,0,0,0,366,2025-12-24T21:17:35.745315,True,
65536,20,8192,20.0,400.0,51.2,25,0,0,cubic,10.005166250979528,4069024,397.1604419477758,0,0.0,0.0,22082,76896,61087.05053598775,352,25001.0,35662.0,32365.028301886792,4580.423051355375,35212.0,35494.0,35607.0,318,3265,0,0,0,0,0,52,2025-12-24T21:17:48.648445,True,
65536,50,8192,5.0,160.0,32.0,0,0,0,cubic,10.03405459690839,1638400,159.4569756968413,68,0.0,0.0,0,74300,56321.683355886336,355,6.0,41993.0,22932.27218934911,16946.004819603684,10085.0,41418.0,41873.0,169,1478,5,0,0,0,0,150,2025-12-24T21:18:01.608906,True,
65536,50,8192,5.0,160.0,32.0,25,0,0,cubic,10.02831026003696,1638400,159.5483145725991,7,0.0,0.0,0,73848,56743.557471264365,316,25008.0,72243.0,31290.706896551725,14035.966548632134,25073.0,65702.0,66705.0,174,1392,0,0,0,0,0,64,2025-12-24T21:18:14.376316,True,
65536,50,8192,10.0,160.0,64.0,0,0,0,cubic,10.031883753137663,1638400,159.49148129827256,70,0.0,0.0,0,74300,55911.19812583668,351,33.0,41989.0,21236.763736263736,17471.89972040201,9808.0,41494.0,41962.0,182,1494,7,1,0,0,0,152,2025-12-24T21:18:27.227992,True,
65536,50,8192,10.0,160.0,64.0,25,0,0,cubic,10.02538260887377,1638400,159.59490649102923,8,0.0,0.0,0,74300,56896.23005032351,313,25001.0,67432.0,29572.04651162791,12205.162345087005,25054.0,65849.0,66970.0,172,1391,0,0,0,0,0,66,2025-12-24T21:18:39.989768,True,
65536,50,8192,20.0,160.0,128.0,0,0,0,cubic,10.035082666901872,1638400,159.44063971462705,68,0.0,0.0,0,74300,56321.683355886336,355,5.0,42037.0,22971.51479289941,16927.129241436363,10058.0,41288.0,42019.0,169,1478,5,0,0,0,0,150,2025-12-24T21:18:52.860563,True,
65536,50,8192,20.0,160.0,128.0,25,0,0,cubic,10.028437509201467,1638400,159.54629009074844,3,0.0,0.0,0,74300,56702.164265129686,323,25003.0,66931.0,29948.488764044945,12579.87502449433,25075.0,65812.0,66552.0,178,1388,0,0,0,0,0,67,2025-12-24T21:19:05.614942,True,
131072,5,8192,5.0,1600.0,3.2,0,0,0,cubic,10.002812388120219,15990784,1561.1609409515918,726,0.0,0.0,0,150336,58620.711700564534,1475,2.0,5500.0,4876.407068062827,1036.8070349641198,5090.0,5219.0,5285.0,764,12931,0,0,0,0,0,729,2025-12-24T21:19:18.490817,True,
131072,5,8192,5.0,1600.0,3.2,25,0,0,cubic,10.000102963065729,15958176,1558.399579240169,0,0.0,0.0,64240,155232,66691.9393681934,102,25001.0,29857.0,25658.15821347464,461.0650671700905,25739.0,26312.0,26801.0,1321,12947,0,1,0,2,0,20,2025-12-24T21:19:32.064552,True,
131072,5,8192,10.0,1600.0,6.4,0,0,0,cubic,10.003149118972942,16007168,1562.707884695114,730,0.0,0.0,0,150336,58582.02918634358,1478,1.0,5600.0,4906.429697766097,973.6758011208582,5082.0,5237.0,5311.0,761,12917,0,0,0,0,0,732,2025-12-24T21:19:45.715023,True,
