recv_buf,delay_ms,read_size,send_rate_mbps,receiver_capacity_kbps,oversubscription_ratio,net_delay_ms,net_jitter_ms,net_loss_pct,congestion_algo,duration_actual,bytes_transferred,actual_throughput_kbps,zero_window_count,zero_window_duration_ms,zero_window_pct,window_min,window_max,window_mean,window_oscillations,rtt_min_us,rtt_max_us,rtt_mean_us,rtt_stddev_us,rtt_p50_us,rtt_p95_us,rtt_p99_us,rtt_samples,total_packets,retransmit_count,dup_ack_count,fast_retransmit_count,out_of_order_count,zero_window_probe_count,window_full_count,timestamp,success,error
131072,1,16384,5.0,16000.0,0.32,100,40,1.5,cubic,10.006977535085753,945048,92.22549308861733,0,0.0,0.0,64240,156672,103006.7301686446,449,3289.0,449511.0,152635.9707602339,98178.89180127585,121803.0,391317.0,449413.0,171,1601,178,622,99,0,0,0,2025-12-24T20:57:29.275710,True,
131072,1,16384,5.0,16000.0,0.32,100,40,1.5,bbr,10.158177667995915,1925344,185.09409969504347,0,0.0,0.0,64240,155232,101413.387564433,1379,3116.0,474071.0,209778.4060150376,117139.48238501456,146554.0,441546.0,470739.0,133,3104,233,1359,180,0,0,0,2025-12-24T20:57:42.287432,True,
131072,1,16384,10.0,16000.0,0.64,100,40,1.5,cubic,10.018956013955176,1242336,121.09233220608367,0,0.0,0.0,64240,156672,102889.10250240615,484,4616.0,413083.0,130511.63253012048,55073.47258805399,125332.0,240277.0,337201.0,166,2078,226,863,137,0,0,1,2025-12-24T20:57:55.577056,True,
131072,1,16384,10.0,16000.0,0.64,100,40,1.5,bbr,10.240846788976341,1635620,155.9719805562741,0,0.0,0.0,64240,156672,100735.08370206489,1225,761.0,538977.0,245877.84552845528,123177.1390903039,244515.0,440586.0,514854.99999999994,123,2712,289,1199,173,0,0,0,2025-12-24T20:58:08.558413,True,
131072,1,16384,20.0,16000.0,1.28,100,40,1.5,cubic,10.002947024069726,876992,85.61851801665905,0,0.0,0.0,64240,156672,105185.1404657933,439,137.0,285504.0,121650.62406015038,42105.41507342358,118764.0,187124.0,243488.0,133,1374,103,537,80,0,0,0,2025-12-24T20:58:21.807322,True,
131072,1,16384,20.0,16000.0,1.28,100,40,1.5,bbr,10.086964566027746,2014128,194.99640968547342,0,0.0,0.0,64240,156672,102989.2955954323,1272,344.0,503162.0,151042.61194029852,74615.37041473437,133506.0,303964.0,450409.0,201,3065,240,1283,174,0,0,0,2025-12-24T20:58:34.819745,True,
262144,1,16384,5.0,16000.0,0.32,100,40,1.5,cubic,10.056378056993708,927672,90.08508653570071,0,0.0,0.0,64240,313344,180636.20200573065,522,1021.0,245908.0,115591.70833333333,47648.01834113933,120919.0,188959.0,232916.0,168,2094,429,876,250,0,0,0,2025-12-24T20:58:48.031759,True,
262144,1,16384,5.0,16000.0,0.32,100,40,1.5,bbr,10.15362003701739,2205264,212.09953860284594,0,0.0,0.0,64240,313344,176694.45663040283,1417,1775.0,457730.0,174831.2513661202,96501.98298312072,138008.0,380623.0,436080.0,183,3401,291,1468,226,0,0,0,2025-12-24T20:59:00.914216,True,
262144,1,16384,10.0,16000.0,0.64,100,40,1.5,cubic,10.064177965046838,1299808,126.12493085957593,0,0.0,0.0,64240,313344,180759.50095877278,515,692.0,435502.0,129800.04918032787,56636.59911356425,124982.0,193733.0,397475.0,183,2086,186,853,113,0,0,0,2025-12-24T20:59:14.331808,True,
262144,1,16384,10.0,16000.0,0.64,100,40,1.5,bbr,10.197862117085606,1719336,164.64618203524444,0,0.0,0.0,64240,313344,178020.51604068858,1052,877.0,2090291.9999999998,186347.9172413793,189742.85585764179,133477.0,387718.0,737192.0,145,2556,199,1090,150,0,0,1,2025-12-24T20:59:27.445679,True,
