recv_buf,delay_ms,read_size,send_rate_mbps,receiver_capacity_kbps,oversubscription_ratio,net_delay_ms,net_jitter_ms,net_loss_pct,congestion_algo,duration_actual,bytes_transferred,actual_throughput_kbps,zero_window_count,zero_window_duration_ms,zero_window_pct,window_min,window_max,window_mean,window_oscillations,rtt_min_us,rtt_max_us,rtt_mean_us,rtt_stddev_us,rtt_p50_us,rtt_p95_us,rtt_p99_us,rtt_samples,total_packets,retransmit_count,dup_ack_count,fast_retransmit_count,out_of_order_count,zero_window_probe_count,window_full_count,timestamp,success,error
131072,1,16384,5.0,16000.0,0.32,25,5,0.05,cubic,10.000203556846827,14605724,1426.3112008339365,0,0.0,0.0,64240,156672,100724.28536859876,4031,17617.0,110377.0,28116.224854716136,4260.547146172134,28060.0,33585.0,35868.0,2237,17770,42,5424,29,0,0,4,2025-12-24T20:40:24.590923,True,
131072,1,16384,5.0,16000.0,0.32,25,5,0.05,bbr,10.001543947961181,23387712,2283.603673476419,0,0.0,0.0,61540,156672,97427.72883870735,11396,11500.0,93404.0,28993.41547488082,3263.000380934672,28851.0,33223.0,35371.0,2727,27633,39,8612,24,0,0,7,2025-12-24T20:40:38.450467,True,
131072,1,16384,10.0,16000.0,0.64,25,5,0.05,cubic,10.004077970050275,18124812,1769.2796649265867,0,0.0,0.0,64240,156672,99871.13101198952,4760,16795.0,39725.0,28470.291902834007,3248.0557050912366,28461.0,33762.0,35853.0,2470,21769,35,6774,15,1,0,3,2025-12-24T20:40:52.959393,True,
131072,1,16384,10.0,16000.0,0.64,25,5,0.05,bbr,10.002448705025017,23571648,2301.355215991825,0,0.0,0.0,59804,156672,97286.69509526031,11216,17067.0,106494.0,29072.230628654972,3383.4649468542048,28891.0,33534.0,35711.0,2736,27871,61,8690,48,0,0,5,2025-12-24T20:41:07.035690,True,
131072,1,16384,20.0,16000.0,1.28,25,5,0.05,cubic,10.000910950824618,23918864,2335.6137995683293,0,0.0,0.0,64240,156672,95634.99791958104,2788,16108.0,126684.99999999999,29349.63165075034,4770.465763196929,29396.0,35455.0,37976.0,2199,27879,48,8855,30,0,0,49,2025-12-24T20:41:21.545527,True,
131072,1,16384,20.0,16000.0,1.28,25,5,0.05,bbr,10.000088854925707,22511952,2198.4132785151464,0,0.0,0.0,62392,156672,97645.11209096368,11326,449.0,131944.0,29066.387133182845,5449.784003100623,28660.0,33021.0,36544.0,2658,26648,56,8344,42,0,0,6,2025-12-24T20:41:36.048981,True,
262144,1,16384,5.0,16000.0,0.32,25,5,0.05,cubic,10.008253012783825,15747952,1536.6177648942476,0,0.0,0.0,64240,313344,167479.65639947436,4466,18372.0,91917.0,28431.646827133478,3791.7030379795006,28394.0,33752.0,36216.0,2285,19025,50,5892,41,0,0,0,2025-12-24T20:41:50.484178,True,
262144,1,16384,5.0,16000.0,0.32,25,5,0.05,bbr,10.000940356170759,42241784,4124.786341921032,0,0.0,0.0,64240,313344,147432.25537634408,14744,17579.0,141042.0,30800.588974180042,7115.427464707721,30300.0,34192.0,38598.0,2866,47988,298,15407,196,0,0,12,2025-12-24T20:42:04.457333,True,
262144,1,16384,10.0,16000.0,0.64,25,5,0.05,cubic,10.034982322016731,17708864,1723.3525625707791,0,0.0,0.0,64240,313344,164394.56808014913,4828,14816.0,115245.0,28721.235497835496,6020.784677682549,28488.0,34019.0,37148.0,2310,21460,104,6774,75,0,0,0,2025-12-24T20:42:20.379076,True,
262144,1,16384,10.0,16000.0,0.64,25,5,0.05,bbr,10.004133147187531,44655208,4359.058493214849,0,0.0,0.0,64240,313344,148063.459035835,15932,16431.0,108958.0,30445.64884530212,3521.6909225821473,30370.0,34291.0,36274.0,3161,50593,175,16223,116,0,0,5,2025-12-24T20:42:34.511691,True,
262144,1,16384,20.0,16000.0,1.28,25,5,0.05,cubic,10.009981610113755,23239528,2267.2221035421157,0,0.0,0.0,64240,313344,157959.14450930318,5121,15477.0,123671.0,28860.919650291424,4860.269682192081,28781.0,34023.0,36668.0,2402,27410,155,8750,119,0,0,6,2025-12-24T20:42:50.567653,True,
262144,1,16384,20.0,16000.0,1.28,25,5,0.05,bbr,10.000508623197675,44789872,4373.788476471915,0,0.0,0.0,64240,313344,148021.8588298125,16230,16450.0,131027.0,30611.390104662227,5335.360829696024,30344.0,34213.0,36719.0,3153,50556,136,16182,82,0,0,7,2025-12-24T20:43:05.089993,True,
