recv_buf,delay_ms,read_size,send_rate_mbps,receiver_capacity_kbps,oversubscription_ratio,net_delay_ms,net_jitter_ms,net_loss_pct,congestion_algo,duration_actual,bytes_transferred,actual_throughput_kbps,zero_window_count,zero_window_duration_ms,zero_window_pct,window_min,window_max,window_mean,window_oscillations,rtt_min_us,rtt_max_us,rtt_mean_us,rtt_stddev_us,rtt_p50_us,rtt_p95_us,rtt_p99_us,rtt_samples,total_packets,retransmit_count,dup_ack_count,fast_retransmit_count,out_of_order_count,zero_window_probe_count,window_full_count,timestamp,success,error
131072,1,16384,5.0,16000.0,0.32,250,75,3.0,cubic,10.126696266932413,478792,46.17204863019327,0,0.0,0.0,64240,156672,102504.47564102564,202,153665.0,1035944.0,446175.15789473685,265256.8858831259,342342.0,1012386.0,1035944.0,57,780,60,324,41,0,0,0,2025-12-24T21:05:32.170403,True,
131072,1,16384,5.0,16000.0,0.32,250,75,3.0,bbr,10.159280941123143,850040,81.71023050852138,0,0.0,0.0,64240,155232,93863.93459204315,544,105694.0,1123670.0,692146.7419354839,253653.33037574647,770389.0,1006105.0,1123670.0,62,1483,107,645,65,0,0,4,2025-12-24T21:05:45.842509,True,
131072,1,16384,10.0,16000.0,0.64,250,75,3.0,cubic,10.139906205935404,595088,57.312228850778595,0,0.0,0.0,64240,155232,104366.343,274,1064.0,1280507.0,336678.92307692306,198891.20843004427,293992.0,760008.0,1280507.0,78,1000,53,417,28,0,0,0,2025-12-24T21:05:59.490643,True,
131072,1,16384,10.0,16000.0,0.64,250,75,3.0,bbr,10.004989129956812,985472,96.18950980351083,0,0.0,0.0,64240,156672,96536.478626943,520,6483.0,1193601.0,424020.9285714286,237111.7110418825,317240.0,912044.0,1193601.0,56,1544,101,664,55,0,0,3,2025-12-24T21:06:13.101915,True,
131072,1,16384,20.0,16000.0,1.28,250,75,3.0,cubic,10.213131594937295,234536,22.42593864290713,0,0.0,0.0,64240,156672,105109.72994652406,139,107903.0,811477.0,334341.66,143131.84637481763,326933.0,715582.0,811477.0,50,374,26,132,8,0,0,0,2025-12-24T21:06:26.655506,True,
131072,1,16384,20.0,16000.0,1.28,250,75,3.0,bbr,10.096875831019133,579880,56.085572604574786,0,0.0,0.0,64240,155232,101344.53472222222,426,189066.0,1983015.0,833738.380952381,531810.2960424065,755682.0,1757098.0,1983015.0,42,1008,97,448,25,0,0,2,2025-12-24T21:06:40.417062,True,
262144,1,16384,5.0,16000.0,0.32,250,75,3.0,cubic,10.15502366097644,565672,54.398106882095,0,0.0,0.0,64240,311904,175378.66233766233,251,177927.0,958003.0,426842.5714285714,212750.12455358595,345200.0,856344.0,958003.0,56,847,42,359,21,0,0,0,2025-12-24T21:06:54.080073,True,
262144,1,16384,5.0,16000.0,0.32,250,75,3.0,bbr,10.150047561852261,1158952,111.50578907173733,0,0.0,0.0,64240,313344,159666.12972689077,836,216652.0,1302682.0,631381.3272727273,341824.80914213427,616187.0,1232709.0,1302682.0,55,1904,146,846,111,0,0,1,2025-12-24T21:07:08.179835,True,
262144,1,16384,10.0,16000.0,0.64,250,75,3.0,cubic,10.598954326938838,719616,66.30371056641457,0,0.0,0.0,64240,313344,179074.9553831232,267,176236.0,1140966.0,335018.76,174157.63285880524,289859.0,619064.0,1140966.0,50,1031,30,449,18,0,0,0,2025-12-24T21:07:21.925032,True,
262144,1,16384,10.0,16000.0,0.64,250,75,3.0,bbr,10.041275192983449,1110120,107.96453056654983,0,0.0,0.0,64240,311904,169297.08046558703,891,4756.0,1404651.0,523414.24074074073,328257.69619929965,336328.0,1070050.0,1387515.0,108,1976,196,858,127,0,0,0,2025-12-24T21:07:36.188232,True,
262144,1,16384,20.0,16000.0,1.28,250,75,3.0,cubic,10.747069361852482,333992,30.349116723647796,0,0.0,0.0,64240,313344,178332.64618249534,193,690.0,932351.0,347847.9818181818,185295.45936609074,293833.0,792945.0,932351.0,55,537,44,212,19,0,0,0,2025-12-24T21:07:49.847086,True,
262144,1,16384,20.0,16000.0,1.28,250,75,3.0,bbr,10.002300277817994,1002968,97.92356860872705,0,0.0,0.0,0,309032,163805.73104997192,876,19878.0,1827948.0,730867.5614035088,331425.26737241657,793773.0,1130470.0,1827948.0,57,1781,171,804,117,0,0,0,2025-12-24T21:08:04.076297,True,
131072,1,16384,5.0,16000.0,0.32,250,75,3.0,cubic,10.314468672964722,331096,31.34780353228437,0,0.0,0.0,64240,156672,105919.92759295499,158,131388.0,853816.0,302275.3432835821,128330.17452457946,276830.0,610672.0,853816.0,67,511,27,187,11,0,0,0,2025-12-24T21:08:17.462966,True,
131072,1,16384,5.0,16000.0,0.32,250,75,3.0,bbr,10.029162931954488,950292,92.53210238445564,0,0.0,0.0,64240,155232,101935.19204892966,692,11830.0,1047491.0,446275.1475409836,262015.24884618653,339710.0,1005452.9999999999,1047491.0,61,1635,124,734,83,0,0,0,2025-12-24T21:08:31.378664,True,
131072,1,16384,10.0,16000.0,0.64,250,75,3.0,cubic,10.044136217795312,562776,54.71709319575856,0,0.0,0.0,64240,156672,102463.5992414665,202,82542.0,912309.0,362561.5862068966,192780.5981492803,297576.0,873980.0,912309.0,58,791,41,325,24,0,0,0,2025-12-24T21:08:44.950824,True,
131072,1,16384,10.0,16000.0,0.64,250,75,3.0,bbr,10.070966059109196,815348,79.06275093935024,0,0.0,0.0,64240,156672,99449.5291858679,608,19019.0,1073952.0,469072.63291139243,282394.4288067096,317780.0,1043971.9999999999,1073952.0,79,1302,95,559,58,0,0,1,2025-12-24T21:08:58.157726,True,
131072,1,16384,20.0,16000.0,1.28,250,75,3.0,cubic,10.13919289689511,477344,45.97567624369287,0,0.0,0.0,64240,156672,103989.26977401129,224,130126.99999999999,923794.0,320862.71428571426,145383.92336887238,290221.0,732908.0,923794.0,77,708,21,274,11,0,0,0,2025-12-24T21:09:11.800255,True,
131072,1,16384,20.0,16000.0,1.28,250,75,3.0,bbr,10.04527840204537,787672,76.57437720624817,0,0.0,0.0,64240,156672,101028.29471397538,588,1209.0,1011609.9999999999,401622.53684210527,231406.36862863292,306685.0,925725.0,1011609.9999999999,95,1381,133,583,57,0,0,0,2025-12-24T21:09:25.274902,True,
262144,1,16384,5.0,16000.0,0.32,250,75,3.0,cubic,10.828297737054527,430016,38.781488115437604,0,0.0,0.0,64240,313344,178669.07938931297,194,35591.0,783041.0,310823.2580645161,105480.43705227929,297943.0,414765.0,783041.0,62,655,25,262,9,0,0,0,2025-12-24T21:09:38.755301,True,
262144,1,16384,5.0,16000.0,0.32,250,75,3.0,bbr,10.149340189062059,783936,75.42978023586662,0,0.0,0.0,64240,311904,169290.22954230235,565,275038.0,1207059.0,668961.6315789474,340719.3237641289,784314.0,1194321.0,1207059.0,38,1442,143,640,113,0,0,1,2025-12-24T21:09:53.357367,True,
262144,1,16384,10.0,16000.0,0.64,250,75,3.0,cubic,10.127742195036262,292000,28.155954654904107,0,0.0,0.0,64240,313344,178123.40652173912,156,117691.0,896790.0,287479.1690140845,97984.84228853697,285643.0,419684.0,896790.0,71,460,21,157,4,0,0,0,2025-12-24T21:10:07.179438,True,
262144,1,16384,10.0,16000.0,0.64,250,75,3.0,bbr,10.010375313926488,1089848,106.32015824814616,0,0.0,0.0,64240,313344,164464.53309015112,819,59684.0,1765244.0,563805.5061728396,377064.02833992126,357724.0,1289619.0,1765244.0,81,1919,170,844,114,0,0,0,2025-12-24T21:10:20.806920,True,
262144,1,16384,20.0,16000.0,1.28,250,75,3.0,cubic,10.061795077985153,360056,34.94577108505477,0,0.0,0.0,64240,313344,179979.19554030875,163,105088.0,675775.0,306092.10169491527,88619.33043167923,296233.0,446807.0,675775.0,59,583,38,233,21,0,0,0,2025-12-24T21:10:34.423292,True,
262144,1,16384,20.0,16000.0,1.28,250,75,3.0,bbr,10.440103949978948,1349200,126.20354464982668,0,0.0,0.0,64240,311904,156165.27901977644,869,204940.0,1322786.0,667086.7924528302,346988.6594735609,668374.0,1149055.0,1322786.0,53,2326,214,1033,157,0,0,2,2025-12-24T21:10:47.979023,True,
131072,1,16384,5.0,16000.0,0.32,250,75,3.0,cubic,10.296716768993065,370192,35.1097959777477,0,0.0,0.0,64240,156672,104686.54370629371,180,99732.0,1033215.0,339812.7931034483,183545.79093463096,295040.0,832644.0,1033215.0,58,572,28,223,8,0,0,0,2025-12-24T21:11:01.920389,True,
131072,1,16384,5.0,16000.0,0.32,250,75,3.0,bbr,10.289761825930327,751016,71.2760970474348,0,0.0,0.0,64240,156672,98727.61041990669,647,147738.0,1055258.0,556311.4310344828,273127.83913973655,542380.0,1002529.0,1055258.0,58,1286,100,571,57,0,0,0,2025-12-24T21:11:15.437400,True,
131072,1,16384,10.0,16000.0,0.64,250,75,3.0,cubic,10.162964255781844,197880,19.01435276524386,0,0.0,0.0,64240,156672,105776.87138263666,117,182888.0,636944.0,312553.0612244898,87163.43300232818,308952.0,469790.0,636944.0,49,311,18,105,2,0,0,0,2025-12-24T21:11:29.169349,True,
131072,1,16384,10.0,16000.0,0.64,250,75,3.0,bbr,10.015674934955314,868772,84.70823601602694,0,0.0,0.0,64240,156672,97413.27696969696,607,128728.00000000001,1119348.0,565184.0571428571,249079.39710036726,592777.0,939338.0,1119348.0,70,1650,181,726,110,0,0,2,2025-12-24T21:11:42.688475,True,
131072,1,16384,20.0,16000.0,1.28,250,75,3.0,cubic,10.039510675007477,265936,25.868105867600622,0,0.0,0.0,64240,156672,104942.31690140846,145,11103.0,1191984.0,346599.9827586207,185231.68439714398,311298.0,737375.0,1191984.0,58,426,25,151,4,0,0,0,2025-12-24T21:11:56.225588,True,
131072,1,16384,20.0,16000.0,1.28,250,75,3.0,bbr,10.562018040101975,1077136,99.59182241558112,0,0.0,0.0,63188,156672,100740.25285171103,529,197161.0,1135192.0,471041.69811320753,274239.83579311264,327524.0,1053843.0,1135192.0,53,1578,78,686,55,0,0,3,2025-12-24T21:12:09.611670,True,
262144,1,16384,5.0,16000.0,0.32,250,75,3.0,cubic,10.105584786972031,190640,18.422672108991655,0,0.0,0.0,64240,313344,177098.88410596026,112,116805.0,768479.0,290004.0363636364,104092.85216451767,267199.0,509444.0,768479.0,55,302,14,98,1,0,0,0,2025-12-24T21:12:23.796931,True,
262144,1,16384,5.0,16000.0,0.32,250,75,3.0,bbr,10.094677431043237,1251216,121.04305792302304,0,0.0,0.0,64240,311904,164764.658584859,778,6836.0,1280588.0,660350.38,385795.2852959139,681473.0,1163421.0,1280588.0,50,2021,197,898,141,0,0,1,2025-12-24T21:12:37.475737,True,
262144,1,16384,10.0,16000.0,0.64,250,75,3.0,cubic,10.028299430850893,761152,74.12149040078378,0,0.0,0.0,0,313344,176496.48991596638,328,102626.0,1230765.0,429196.10869565216,285904.68279817136,295521.0,1140190.0,1230765.0,46,1190,71,533,44,0,0,0,2025-12-24T21:12:51.047057,True,
262144,1,16384,10.0,16000.0,0.64,250,75,3.0,bbr,10.11397572979331,1138184,109.89820839946933,0,0.0,0.0,64240,311904,156452.8999467802,734,156620.0,1246626.0,720434.4102564103,345773.00505372445,758717.0,1153908.0,1246626.0,39,1879,187,841,151,0,0,2,2025-12-24T21:13:04.453061,True,
262144,1,16384,20.0,16000.0,1.28,250,75,3.0,cubic,10.055156271904707,242768,23.577766330934534,0,0.0,0.0,64240,313344,179350.8807106599,153,136726.0,1024377.0000000001,344533.10256410256,212696.93122336213,264414.0,961650.0,1024377.0000000001,39,394,27,156,11,0,0,0,2025-12-24T21:13:18.391542,True,
262144,1,16384,20.0,16000.0,1.28,250,75,3.0,bbr,10.340850902022794,1062792,100.36725433271431,0,0.0,0.0,64240,310472,163355.9268707483,756,187516.0,1178619.0,710846.2564102564,303313.6457580873,812672.0,1106723.0,1178619.0,39,1764,130,800,100,0,0,1,2025-12-24T21:13:32.040132,True,
