recv_buf,delay_ms,read_size,send_rate_mbps,receiver_capacity_kbps,oversubscription_ratio,net_delay_ms,net_jitter_ms,net_loss_pct,congestion_algo,duration_actual,bytes_transferred,actual_throughput_kbps,zero_window_count,zero_window_duration_ms,zero_window_pct,window_min,window_max,window_mean,window_oscillations,rtt_min_us,rtt_max_us,rtt_mean_us,rtt_stddev_us,rtt_p50_us,rtt_p95_us,rtt_p99_us,rtt_samples,total_packets,retransmit_count,dup_ack_count,fast_retransmit_count,out_of_order_count,zero_window_probe_count,window_full_count,ecn_ece_count,ecn_cwr_count,ecn_ce_count,timestamp,success,error
262144,1,16384,10.0,16000.0,0.64,30,10,1.0,cubic,10.080158695811406,2418120,234.2666800951505,0,0.0,0.0,64240,313344,180074.42929452704,1080,10312.0,143062.0,34749.535460992905,12623.519172496548,33376.0,49667.0,93695.0,564,3161,57,940,47,0,0,0,2,22,0,2025-12-26T19:16:34.840092,True,
262144,1,16384,10.0,16000.0,0.64,30,10,1.0,bbr,10.004092252114788,8327048,812.8556402287256,0,0.0,0.0,64240,313344,162451.90378859147,4920,109.0,161868.0,58265.44364937388,38816.993712272866,38590.0,141303.0,152302.0,559,11693,691,4701,578,0,0,3,2,53,0,2025-12-26T19:16:48.120017,True,
262144,1,16384,10.0,16000.0,0.64,30,10,2.0,cubic,10.007154854014516,1986160,193.82226050213438,0,0.0,0.0,64240,313344,179110.21531100478,931,317.0,148439.0,36139.768085106385,13330.493836419235,34358.0,54308.0,90610.0,470,2717,56,814,42,0,0,0,2,29,0,2025-12-26T19:17:02.035981,True,
262144,1,16384,10.0,16000.0,0.64,30,10,2.0,bbr,10.004878115141764,6677680,651.7992323295383,0,0.0,0.0,64240,313344,168210.65550032418,4200,212.0,1023955.0,67216.15990453461,60230.99355776341,42960.0,137646.0,148831.0,419,9254,554,3755,420,0,0,0,3,70,0,2025-12-26T19:17:15.220570,True,
262144,1,16384,10.0,16000.0,0.64,30,20,1.0,cubic,10.012487639905885,826312,80.59388850417449,0,0.0,0.0,64240,313344,184718.79020013803,658,6.0,148882.0,35686.0350877193,21328.80164107639,33821.0,70504.0,106311.0,285,1449,179,443,80,0,0,0,2,66,0,2025-12-26T19:17:29.939480,True,
262144,1,16384,10.0,16000.0,0.64,30,20,1.0,bbr,10.019089461071417,3644120,355.19304936113826,0,0.0,0.0,64240,313344,185018.99105565372,2756,3.0,129202.00000000001,46972.13547237077,21388.243731236584,46349.0,88608.0,106727.0,561,9056,2018,3973,1472,0,0,0,2,163,0,2025-12-26T19:17:43.004443,True,
262144,1,16384,10.0,16000.0,0.64,30,20,2.0,cubic,10.033619380090386,863960,84.08839378282252,0,0.0,0.0,64240,313344,184705.92781456953,677,2.0,110810.0,34816.842767295595,19537.607541372272,33959.0,72881.0,92154.0,318,1510,180,438,59,0,0,0,2,75,0,2025-12-26T19:17:56.639913,True,
262144,1,16384,10.0,16000.0,0.64,30,20,2.0,bbr,10.05519378813915,3107368,301.7882227271905,0,0.0,0.0,64240,313344,183976.8435887257,2331,9.0,284254.0,47771.56923076923,29418.790423195314,45455.0,90308.0,133210.0,455,7557,1647,3306,1218,0,0,0,2,140,0,2025-12-26T19:18:09.681128,True,
262144,1,16384,10.0,16000.0,0.64,45,10,1.0,cubic,10.051480628084391,2624728,255.00829503050997,0,0.0,0.0,64240,313344,175137.92437956206,927,16067.999999999998,228040.0,52439.74838709678,19516.594749886943,49839.0,69314.0,176150.0,465,3425,72,1118,62,0,0,0,2,17,0,2025-12-26T19:18:23.202122,True,
262144,1,16384,10.0,16000.0,0.64,45,10,1.0,bbr,10.089895935961977,8914784,862.8279028102761,0,0.0,0.0,64240,313344,150522.1047379382,4495,22661.0,285500.0,115229.68518518518,74480.92634379973,62642.0,238185.0,269459.0,324,11524,544,4462,478,0,0,11,2,39,0,2025-12-26T19:18:36.556916,True,
