================================================
TCP Flow Control Parameter Sweep
================================================
Preset:    starlink-realistic-baseline
Cluster:   starlink-realistic
Output:    /home/acooks/jittertrap/pathological-porcupines/experiments/tcp-flow-control/results/starlink-realistic/starlink-realistic-baseline.csv
Topology:  pp-source (10.0.1.1) -> pp-dest (10.0.1.2)

Starting packet capture...
dropped privs to tcpdump
tcpdump: listening on br0, link-type EN10MB (Ethernet), snapshot length 262144 bytes
Running namespace-aware sweep...

10:35:34 INFO     Using preset: starlink-realistic-baseline
10:35:34 INFO     Running 144 experiments (3 iteration(s) per condition)
10:35:34 INFO     [1/144] buf=262144, delay=1ms, rate=10.0MB/s, net=12ms±3ms loss=0.1%
10:35:56 INFO       -> zero_window=0, throughput=2862KB/s, rtt_mean=14.2ms
10:35:57 INFO     [2/144] buf=262144, delay=1ms, rate=10.0MB/s, net=12ms±3ms loss=0.1%, cc=bbr
10:36:21 INFO       -> zero_window=0, throughput=4211KB/s, rtt_mean=14.5ms
10:36:21 INFO     [3/144] buf=262144, delay=1ms, rate=10.0MB/s, net=12ms±3ms loss=0.2%
10:36:41 INFO       -> zero_window=0, throughput=1671KB/s, rtt_mean=13.7ms
10:36:42 INFO     [4/144] buf=262144, delay=1ms, rate=10.0MB/s, net=12ms±3ms loss=0.2%, cc=bbr
10:37:06 INFO       -> zero_window=0, throughput=4044KB/s, rtt_mean=16.5ms
10:37:06 INFO     [5/144] buf=262144, delay=1ms, rate=10.0MB/s, net=12ms±7ms loss=0.1%
10:37:24 INFO       -> zero_window=0, throughput=236KB/s, rtt_mean=13.8ms
10:37:24 INFO     [6/144] buf=262144, delay=1ms, rate=10.0MB/s, net=12ms±7ms loss=0.1%, cc=bbr
10:37:44 INFO       -> zero_window=0, throughput=930KB/s, rtt_mean=17.9ms
10:37:45 INFO     [7/144] buf=262144, delay=1ms, rate=10.0MB/s, net=12ms±7ms loss=0.2%
10:38:02 INFO       -> zero_window=0, throughput=259KB/s, rtt_mean=13.9ms
10:38:03 INFO     [8/144] buf=262144, delay=1ms, rate=10.0MB/s, net=12ms±7ms loss=0.2%, cc=bbr
10:38:23 INFO       -> zero_window=0, throughput=945KB/s, rtt_mean=17.6ms
10:38:23 INFO     [9/144] buf=262144, delay=1ms, rate=10.0MB/s, net=15ms±3ms loss=0.1%
10:38:44 INFO       -> zero_window=0, throughput=2005KB/s, rtt_mean=16.9ms
10:38:44 INFO     [10/144] buf=262144, delay=1ms, rate=10.0MB/s, net=15ms±3ms loss=0.1%, cc=bbr
10:39:11 INFO       -> zero_window=0, throughput=6222KB/s, rtt_mean=18.6ms
10:39:12 INFO     [11/144] buf=262144, delay=1ms, rate=10.0MB/s, net=15ms±3ms loss=0.2%
10:39:31 INFO       -> zero_window=0, throughput=1360KB/s, rtt_mean=16.7ms
10:39:32 INFO     [12/144] buf=262144, delay=1ms, rate=10.0MB/s, net=15ms±3ms loss=0.2%, cc=bbr
10:39:58 INFO       -> zero_window=0, throughput=5493KB/s, rtt_mean=18.7ms
10:39:58 INFO     [13/144] buf=262144, delay=1ms, rate=10.0MB/s, net=15ms±7ms loss=0.1%
10:40:16 INFO       -> zero_window=0, throughput=288KB/s, rtt_mean=16.7ms
10:40:17 INFO     [14/144] buf=262144, delay=1ms, rate=10.0MB/s, net=15ms±7ms loss=0.1%, cc=bbr
10:40:36 INFO       -> zero_window=0, throughput=886KB/s, rtt_mean=19.6ms
10:40:37 INFO     [15/144] buf=262144, delay=1ms, rate=10.0MB/s, net=15ms±7ms loss=0.2%
10:40:55 INFO       -> zero_window=0, throughput=378KB/s, rtt_mean=17.2ms
10:40:56 INFO     [16/144] buf=262144, delay=1ms, rate=10.0MB/s, net=15ms±7ms loss=0.2%, cc=bbr
