================================================
TCP Flow Control Parameter Sweep
================================================
Preset:    starlink-realistic-degraded
Cluster:   starlink-realistic
Output:    /home/acooks/jittertrap/pathological-porcupines/experiments/tcp-flow-control/results/starlink-realistic/starlink-realistic-degraded.csv
Topology:  pp-source (10.0.1.1) -> pp-dest (10.0.1.2)

Starting packet capture...
dropped privs to tcpdump
tcpdump: listening on br0, link-type EN10MB (Ethernet), snapshot length 262144 bytes
Running namespace-aware sweep...

19:16:34 INFO     Using preset: starlink-realistic-degraded
19:16:34 INFO     Running 96 experiments (3 iteration(s) per condition)
19:16:34 INFO     [1/96] buf=262144, delay=1ms, rate=10.0MB/s, net=30ms±10ms loss=1.0%
19:16:47 INFO       -> zero_window=0, throughput=234KB/s, rtt_mean=34.7ms
19:16:48 INFO     [2/96] buf=262144, delay=1ms, rate=10.0MB/s, net=30ms±10ms loss=1.0%, cc=bbr
19:17:01 INFO       -> zero_window=0, throughput=813KB/s, rtt_mean=58.3ms
19:17:02 INFO     [3/96] buf=262144, delay=1ms, rate=10.0MB/s, net=30ms±10ms loss=2.0%
19:17:14 INFO       -> zero_window=0, throughput=194KB/s, rtt_mean=36.1ms
19:17:15 INFO     [4/96] buf=262144, delay=1ms, rate=10.0MB/s, net=30ms±10ms loss=2.0%, cc=bbr
19:17:29 INFO       -> zero_window=0, throughput=652KB/s, rtt_mean=67.2ms
19:17:29 INFO     [5/96] buf=262144, delay=1ms, rate=10.0MB/s, net=30ms±20ms loss=1.0%
19:17:42 INFO       -> zero_window=0, throughput=81KB/s, rtt_mean=35.7ms
19:17:43 INFO     [6/96] buf=262144, delay=1ms, rate=10.0MB/s, net=30ms±20ms loss=1.0%, cc=bbr
19:17:56 INFO       -> zero_window=0, throughput=355KB/s, rtt_mean=47.0ms
19:17:56 INFO     [7/96] buf=262144, delay=1ms, rate=10.0MB/s, net=30ms±20ms loss=2.0%
19:18:09 INFO       -> zero_window=0, throughput=84KB/s, rtt_mean=34.8ms
19:18:09 INFO     [8/96] buf=262144, delay=1ms, rate=10.0MB/s, net=30ms±20ms loss=2.0%, cc=bbr
19:18:22 INFO       -> zero_window=0, throughput=302KB/s, rtt_mean=47.8ms
19:18:23 INFO     [9/96] buf=262144, delay=1ms, rate=10.0MB/s, net=45ms±10ms loss=1.0%
19:18:36 INFO       -> zero_window=0, throughput=255KB/s, rtt_mean=52.4ms
19:18:36 INFO     [10/96] buf=262144, delay=1ms, rate=10.0MB/s, net=45ms±10ms loss=1.0%, cc=bbr
19:18:50 INFO       -> zero_window=0, throughput=863KB/s, rtt_mean=115.2ms
19:18:50 INFO     [11/96] buf=262144, delay=1ms, rate=10.0MB/s, net=45ms±10ms loss=2.0%
19:19:03 INFO       -> zero_window=0, throughput=141KB/s, rtt_mean=50.8ms
19:19:03 INFO     [12/96] buf=262144, delay=1ms, rate=10.0MB/s, net=45ms±10ms loss=2.0%, cc=bbr
19:19:17 INFO       -> zero_window=0, throughput=808KB/s, rtt_mean=122.4ms
19:19:17 INFO     [13/96] buf=262144, delay=1ms, rate=10.0MB/s, net=45ms±20ms loss=1.0%
19:19:30 INFO       -> zero_window=0, throughput=125KB/s, rtt_mean=54.0ms
19:19:30 INFO     [14/96] buf=262144, delay=1ms, rate=10.0MB/s, net=45ms±20ms loss=1.0%, cc=bbr
19:19:43 INFO       -> zero_window=0, throughput=375KB/s, rtt_mean=72.8ms
