================================================
TCP Flow Control Parameter Sweep
================================================
Preset:    starlink-realistic-handover
Cluster:   starlink-realistic
Output:    /home/acooks/jittertrap/pathological-porcupines/experiments/tcp-flow-control/results/starlink-realistic/starlink-realistic-handover.csv
Topology:  pp-source (10.0.1.1) -> pp-dest (10.0.1.2)

Starting packet capture...
dropped privs to tcpdump
tcpdump: listening on br0, link-type EN10MB (Ethernet), snapshot length 262144 bytes
Running namespace-aware sweep...

18:24:34 INFO     Using preset: starlink-realistic-handover
18:24:34 INFO     Running 96 experiments (3 iteration(s) per condition)
18:24:34 INFO     [1/96] buf=262144, delay=1ms, rate=10.0MB/s, net=25ms±15ms loss=0.5%
18:24:47 INFO       -> zero_window=0, throughput=108KB/s, rtt_mean=27.5ms
18:24:47 INFO     [2/96] buf=262144, delay=1ms, rate=10.0MB/s, net=25ms±15ms loss=0.5%, cc=bbr
18:25:00 INFO       -> zero_window=0, throughput=415KB/s, rtt_mean=37.4ms
18:25:01 INFO     [3/96] buf=262144, delay=1ms, rate=10.0MB/s, net=25ms±15ms loss=1.0%
18:25:13 INFO       -> zero_window=0, throughput=118KB/s, rtt_mean=30.3ms
18:25:14 INFO     [4/96] buf=262144, delay=1ms, rate=10.0MB/s, net=25ms±15ms loss=1.0%, cc=bbr
18:25:27 INFO       -> zero_window=0, throughput=493KB/s, rtt_mean=38.2ms
18:25:27 INFO     [5/96] buf=262144, delay=1ms, rate=10.0MB/s, net=25ms±25ms loss=0.5%
18:25:40 INFO       -> zero_window=0, throughput=85KB/s, rtt_mean=31.0ms
18:25:40 INFO     [6/96] buf=262144, delay=1ms, rate=10.0MB/s, net=25ms±25ms loss=0.5%, cc=bbr
18:25:53 INFO       -> zero_window=0, throughput=345KB/s, rtt_mean=40.7ms
18:25:54 INFO     [7/96] buf=262144, delay=1ms, rate=10.0MB/s, net=25ms±25ms loss=1.0%
18:26:06 INFO       -> zero_window=0, throughput=78KB/s, rtt_mean=34.2ms
18:26:07 INFO     [8/96] buf=262144, delay=1ms, rate=10.0MB/s, net=25ms±25ms loss=1.0%, cc=bbr
18:26:20 INFO       -> zero_window=0, throughput=340KB/s, rtt_mean=42.5ms
18:26:21 INFO     [9/96] buf=262144, delay=1ms, rate=10.0MB/s, net=40ms±15ms loss=0.5%
18:26:33 INFO       -> zero_window=0, throughput=374KB/s, rtt_mean=49.2ms
18:26:34 INFO     [10/96] buf=262144, delay=1ms, rate=10.0MB/s, net=40ms±15ms loss=0.5%, cc=bbr
18:26:47 INFO       -> zero_window=0, throughput=539KB/s, rtt_mean=54.9ms
18:26:48 INFO     [11/96] buf=262144, delay=1ms, rate=10.0MB/s, net=40ms±15ms loss=1.0%
18:27:01 INFO       -> zero_window=0, throughput=219KB/s, rtt_mean=46.1ms
18:27:01 INFO     [12/96] buf=262144, delay=1ms, rate=10.0MB/s, net=40ms±15ms loss=1.0%, cc=bbr
18:27:14 INFO       -> zero_window=0, throughput=497KB/s, rtt_mean=59.3ms
18:27:15 INFO     [13/96] buf=262144, delay=1ms, rate=10.0MB/s, net=40ms±25ms loss=0.5%
18:27:27 INFO       -> zero_window=0, throughput=71KB/s, rtt_mean=51.6ms
18:27:28 INFO     [14/96] buf=262144, delay=1ms, rate=10.0MB/s, net=40ms±25ms loss=0.5%, cc=bbr
18:27:41 INFO       -> zero_window=0, throughput=270KB/s, rtt_mean=60.0ms
18:27:41 INFO     [15/96] buf=262144, delay=1ms, rate=10.0MB/s, net=40ms±25ms loss=1.0%
18:27:54 INFO       -> zero_window=0, throughput=73KB/s, rtt_mean=45.7ms
18:27:54 INFO     [16/96] buf=262144, delay=1ms, rate=10.0MB/s, net=40ms±25ms loss=1.0%, cc=bbr
18:28:07 INFO       -> zero_window=0, throughput=240KB/s, rtt_mean=61.1ms
18:28:08 INFO     [17/96] buf=262144, delay=1ms, rate=50.0MB/s, net=25ms±15ms loss=0.5%
18:28:20 INFO       -> zero_window=0, throughput=112KB/s, rtt_mean=31.2ms
18:28:21 INFO     [18/96] buf=262144, delay=1ms, rate=50.0MB/s, net=25ms±15ms loss=0.5%, cc=bbr
18:28:34 INFO       -> zero_window=0, throughput=429KB/s, rtt_mean=37.5ms
18:28:34 INFO     [19/96] buf=262144, delay=1ms, rate=50.0MB/s, net=25ms±15ms loss=1.0%
18:28:47 INFO       -> zero_window=0, throughput=118KB/s, rtt_mean=29.8ms
18:28:48 INFO     [20/96] buf=262144, delay=1ms, rate=50.0MB/s, net=25ms±15ms loss=1.0%, cc=bbr
18:29:01 INFO       -> zero_window=0, throughput=448KB/s, rtt_mean=37.2ms
18:29:01 INFO     [21/96] buf=262144, delay=1ms, rate=50.0MB/s, net=25ms±25ms loss=0.5%
18:29:14 INFO       -> zero_window=0, throughput=83KB/s, rtt_mean=32.6ms
18:29:14 INFO     [22/96] buf=262144, delay=1ms, rate=50.0MB/s, net=25ms±25ms loss=0.5%, cc=bbr
18:29:27 INFO       -> zero_window=0, throughput=337KB/s, rtt_mean=43.2ms
18:29:28 INFO     [23/96] buf=262144, delay=1ms, rate=50.0MB/s, net=25ms±25ms loss=1.0%
18:29:40 INFO       -> zero_window=0, throughput=79KB/s, rtt_mean=32.4ms
18:29:41 INFO     [24/96] buf=262144, delay=1ms, rate=50.0MB/s, net=25ms±25ms loss=1.0%, cc=bbr
18:29:54 INFO       -> zero_window=0, throughput=343KB/s, rtt_mean=41.5ms
18:29:54 INFO     [25/96] buf=262144, delay=1ms, rate=50.0MB/s, net=40ms±15ms loss=0.5%
18:30:07 INFO       -> zero_window=0, throughput=377KB/s, rtt_mean=48.0ms
18:30:08 INFO     [26/96] buf=262144, delay=1ms, rate=50.0MB/s, net=40ms±15ms loss=0.5%, cc=bbr
18:30:21 INFO       -> zero_window=0, throughput=437KB/s, rtt_mean=60.6ms
18:30:21 INFO     [27/96] buf=262144, delay=1ms, rate=50.0MB/s, net=40ms±15ms loss=1.0%
18:30:34 INFO       -> zero_window=0, throughput=142KB/s, rtt_mean=48.3ms
18:30:34 INFO     [28/96] buf=262144, delay=1ms, rate=50.0MB/s, net=40ms±15ms loss=1.0%, cc=bbr
18:30:47 INFO       -> zero_window=0, throughput=418KB/s, rtt_mean=62.1ms
18:30:48 INFO     [29/96] buf=262144, delay=1ms, rate=50.0MB/s, net=40ms±25ms loss=0.5%
18:31:00 INFO       -> zero_window=0, throughput=76KB/s, rtt_mean=50.4ms
18:31:01 INFO     [30/96] buf=262144, delay=1ms, rate=50.0MB/s, net=40ms±25ms loss=0.5%, cc=bbr
18:31:14 INFO       -> zero_window=0, throughput=250KB/s, rtt_mean=64.2ms
18:31:14 INFO     [31/96] buf=262144, delay=1ms, rate=50.0MB/s, net=40ms±25ms loss=1.0%
18:31:27 INFO       -> zero_window=0, throughput=85KB/s, rtt_mean=48.6ms
18:31:27 INFO     [32/96] buf=262144, delay=1ms, rate=50.0MB/s, net=40ms±25ms loss=1.0%, cc=bbr
18:31:40 INFO       -> zero_window=0, throughput=252KB/s, rtt_mean=62.3ms
18:31:40 INFO     [33/96] buf=262144, delay=1ms, rate=10.0MB/s, net=25ms±15ms loss=0.5%
18:31:53 INFO       -> zero_window=0, throughput=115KB/s, rtt_mean=29.1ms
18:31:54 INFO     [34/96] buf=262144, delay=1ms, rate=10.0MB/s, net=25ms±15ms loss=0.5%, cc=bbr
18:32:07 INFO       -> zero_window=0, throughput=472KB/s, rtt_mean=38.2ms
18:32:07 INFO     [35/96] buf=262144, delay=1ms, rate=10.0MB/s, net=25ms±15ms loss=1.0%
18:32:20 INFO       -> zero_window=0, throughput=140KB/s, rtt_mean=29.8ms
18:32:20 INFO     [36/96] buf=262144, delay=1ms, rate=10.0MB/s, net=25ms±15ms loss=1.0%, cc=bbr
18:32:34 INFO       -> zero_window=0, throughput=441KB/s, rtt_mean=35.7ms
18:32:34 INFO     [37/96] buf=262144, delay=1ms, rate=10.0MB/s, net=25ms±25ms loss=0.5%
18:32:47 INFO       -> zero_window=0, throughput=84KB/s, rtt_mean=32.6ms
18:32:47 INFO     [38/96] buf=262144, delay=1ms, rate=10.0MB/s, net=25ms±25ms loss=0.5%, cc=bbr
18:33:00 INFO       -> zero_window=0, throughput=342KB/s, rtt_mean=40.9ms
18:33:01 INFO     [39/96] buf=262144, delay=1ms, rate=10.0MB/s, net=25ms±25ms loss=1.0%
18:33:13 INFO       -> zero_window=0, throughput=84KB/s, rtt_mean=31.4ms
18:33:14 INFO     [40/96] buf=262144, delay=1ms, rate=10.0MB/s, net=25ms±25ms loss=1.0%, cc=bbr
18:33:27 INFO       -> zero_window=0, throughput=343KB/s, rtt_mean=40.9ms
18:33:27 INFO     [41/96] buf=262144, delay=1ms, rate=10.0MB/s, net=40ms±15ms loss=0.5%
