recv_buf,delay_ms,read_size,send_rate_mbps,receiver_capacity_kbps,oversubscription_ratio,net_delay_ms,net_jitter_ms,net_loss_pct,congestion_algo,duration_actual,bytes_transferred,actual_throughput_kbps,zero_window_count,zero_window_duration_ms,zero_window_pct,window_min,window_max,window_mean,window_oscillations,rtt_min_us,rtt_max_us,rtt_mean_us,rtt_stddev_us,rtt_p50_us,rtt_p95_us,rtt_p99_us,rtt_samples,total_packets,retransmit_count,dup_ack_count,fast_retransmit_count,out_of_order_count,zero_window_probe_count,window_full_count,ecn_ece_count,ecn_cwr_count,ecn_ce_count,sender_stall_ms,sender_stall_interval_ms,sender_stall_pattern,inter_packet_gap_max_ms,inter_packet_gap_mean_ms,inter_packet_gap_p95_ms,idle_periods_count,timestamp,success,error
262144,1,16384,5.0,16000.0,0.32,13,7,0.1,cubic,15.00620946008712,4644688,302.2634154923802,0,0.0,0.0,64240,313344,186753.45549101714,2955,2.0,230617.0,15308.036168787676,8459.77536710758,14817.0,25046.0,32721.0,1493,7403,611,2218,195,0,0,0,0,0,0,0,0,periodic,38.44308853149414,3.8550085420582954,15.24496078491211,0,2025-12-29T09:01:17.658725,True,
262144,1,16384,5.0,16000.0,0.32,13,7,0.1,bbr,15.002262818161398,13803288,898.5160172758534,0,0.0,0.0,64240,313344,185359.38228280484,8735,4.0,240155.0,18374.241248418388,10044.75126175799,17721.0,33714.0,45468.0,2371,31032,6068,13243,3961,0,0,0,0,0,0,0,0,periodic,32.97090530395508,0.9591938714868652,5.594015121459961,0,2025-12-29T09:01:36.245117,True,
262144,1,16384,5.0,16000.0,0.32,13,7,0.125,cubic,15.00069160782732,4801072,312.5553806168196,0,0.0,0.0,64240,313344,186762.1956195244,3086,6.0,73390.0,14975.057387057386,6746.326850841998,14707.0,24582.0,34437.0,1638,7990,700,2380,204,0,0,0,0,0,0,0,0,periodic,35.46905517578125,3.709942124645162,14.962196350097656,0,2025-12-29T09:01:56.690639,True,
262144,1,16384,5.0,16000.0,0.32,13,7,0.125,bbr,15.000177165027708,13261736,863.3840734024476,0,0.0,0.0,64240,313344,185457.2083499138,8977,2.0,229055.0,18249.994337979093,12193.421743071567,17391.0,33924.0,42925.0,2296,30156,6013,12873,3811,0,0,0,0,0,0,0,0,periodic,23.698091506958008,0.9840254335859069,5.408048629760742,0,2025-12-29T09:02:15.291463,True,
262144,1,16384,5.0,16000.0,0.32,13,7,0.15,cubic,15.007172940066084,4246488,276.3319216791633,0,0.0,0.0,64240,313344,186881.18852691218,2938,4.0,47216.0,14612.854094975912,6213.2726472476,14459.0,24590.0,30448.0,1453,7060,670,2095,243,0,0,0,0,0,0,0,0,periodic,44.61383819580078,4.1100522932775645,16.232013702392578,0,2025-12-29T09:02:35.660015,True,
262144,1,16384,5.0,16000.0,0.32,13,7,0.15,bbr,15.00008720997721,14527288,945.7814803945766,0,0.0,0.0,64240,313344,185270.60964274424,9085,2.0,57280.0,18052.31141439206,8466.816161542672,17480.0,33543.0,43344.0,2418,31630,5872,13491,3686,0,0,0,0,0,0,0,0,periodic,29.16097640991211,0.9410394807439262,5.203008651733398,0,2025-12-29T09:02:54.185809,True,
262144,1,16384,5.0,16000.0,0.32,13,7,0.175,cubic,15.003926510224119,4415904,287.4185132179499,0,0.0,0.0,64240,313344,186505.4217677738,2999,2.0,66810.0,14758.475474166122,6713.3724290925975,14728.0,25184.0,33457.0,1529,7286,595,2129,161,0,0,0,0,0,0,0,0,periodic,44.12198066711426,4.081704564716505,16.082763671875,0,2025-12-29T09:03:14.756234,True,
262144,1,16384,5.0,16000.0,0.32,13,7,0.175,bbr,15.003823698032647,13829352,900.1189852871206,0,0.0,0.0,64240,313344,185297.48140900195,8725,3.0,62631.00000000001,18261.21373390558,9103.50075717374,17766.0,34747.0,46991.0,2330,30149,5585,12851,3504,0,0,0,0,0,0,0,0,periodic,23.272991180419922,0.9897755322282524,5.518198013305664,0,2025-12-29T09:03:33.294994,True,
262144,1,16384,5.0,16000.0,0.32,13,7,0.2,cubic,15.0073676048778,3781680,246.08225587808352,0,0.0,0.0,64240,313344,186987.7970451011,2758,2.0,50771.0,14569.900423728814,6335.753567909397,14183.0,25272.0,31833.0,1416,6430,599,1819,164,0,0,0,0,0,0,0,0,periodic,40.83609580993652,4.6322349414077575,17.800092697143555,0,2025-12-29T09:03:53.670339,True,
262144,1,16384,5.0,16000.0,0.32,13,7,0.2,bbr,15.005355826113373,14101576,917.743669132765,0,0.0,0.0,64240,313344,184818.28184430595,8994,7.0,57791.0,18808.185522323365,8914.067679855183,17994.0,35135.0,44080.0,2307,30971,5934,13216,3899,0,0,0,0,0,0,0,0,periodic,18.852949142456055,0.9517635330071231,5.171775817871094,0,2025-12-29T09:04:12.140188,True,
