recv_buf,delay_ms,read_size,send_rate_mbps,receiver_capacity_kbps,oversubscription_ratio,net_delay_ms,net_jitter_ms,net_loss_pct,congestion_algo,duration_actual,bytes_transferred,actual_throughput_kbps,zero_window_count,zero_window_duration_ms,zero_window_pct,window_min,window_max,window_mean,window_oscillations,rtt_min_us,rtt_max_us,rtt_mean_us,rtt_stddev_us,rtt_p50_us,rtt_p95_us,rtt_p99_us,rtt_samples,total_packets,retransmit_count,dup_ack_count,fast_retransmit_count,out_of_order_count,zero_window_probe_count,window_full_count,ecn_ece_count,ecn_cwr_count,ecn_ce_count,sender_stall_ms,sender_stall_interval_ms,sender_stall_pattern,inter_packet_gap_max_ms,inter_packet_gap_mean_ms,inter_packet_gap_p95_ms,idle_periods_count,timestamp,success,error
262144,1,16384,5.0,16000.0,0.32,40,15,1.0,cubic,15.023275051033124,2763736,179.6519685842001,0,0.0,0.0,64240,313344,175929.50670876086,1236,2264.0,177748.0,48112.68904593639,16977.299181152062,46263.0,72296.0,110149.0,566,3801,130,1216,98,0,0,0,0,0,0,0,0,periodic,97.28097915649414,7.244370242874489,34.368038177490234,26,2025-12-29T11:08:57.836310,True,
262144,1,16384,5.0,16000.0,0.32,40,15,1.0,bbr,15.003505874890834,6639040,432.1281675138594,0,0.0,0.0,64240,313344,176746.2575415152,3648,437.0,192067.0,57704.86513157895,31086.25876451097,49109.0,142151.0,165623.0,912,10177,753,3941,462,0,0,0,0,0,0,0,0,periodic,66.58816337585449,2.7899352844403427,11.951923370361328,2,2025-12-29T11:09:16.292257,True,
262144,1,16384,5.0,16000.0,0.32,40,15,1.25,cubic,15.007272945949808,2854960,185.77971394546026,0,0.0,0.0,64240,313344,180042.24384368307,1269,9356.0,153041.0,46937.37662337662,13966.968269478612,45626.0,68927.0,95431.0,616,3736,79,1173,62,0,0,0,0,0,0,0,0,periodic,74.02205467224121,7.254486272591365,33.792972564697266,16,2025-12-29T11:09:35.267598,True,
262144,1,16384,5.0,16000.0,0.32,40,15,1.25,bbr,15.08120695501566,7832968,507.2129064548108,0,0.0,0.0,64240,313344,166494.90572802798,5004,744.0,194831.0,73374.30833333333,42814.685664967,54207.0,166565.0,184396.0,600,11435,763,4612,632,0,0,2,0,0,0,0,0,periodic,106.01496696472168,2.412670902219259,8.884191513061523,5,2025-12-29T11:09:53.663416,True,
262144,1,16384,5.0,16000.0,0.32,40,15,1.5,cubic,15.044662808068097,3264744,211.91744894343725,0,0.0,0.0,64240,313344,179251.1444294699,1368,10095.0,191471.0,49854.555066079294,19746.206212408102,47641.0,78310.0,146386.0,681,4452,110,1441,67,0,0,0,0,0,0,0,0,periodic,89.54286575317383,6.32601183523688,31.434059143066406,21,2025-12-29T11:10:12.849323,True,
262144,1,16384,5.0,16000.0,0.32,40,15,1.5,bbr,15.084318442037329,7126560,461.37525382684953,0,0.0,0.0,64240,313344,170867.54600078802,4553,233.0,311118.0,91292.97227356747,55825.03354460401,58141.0,189490.0,205376.0,541,10152,607,4131,493,0,0,0,0,0,0,0,0,periodic,92.36717224121094,2.687033574017108,8.350133895874023,1,2025-12-29T11:10:31.322764,True,
262144,1,16384,5.0,16000.0,0.32,40,15,1.75,cubic,15.001474090851843,1845704,120.15121324638105,0,0.0,0.0,64240,313344,179663.87529880478,899,2286.0,142599.0,46532.3044397463,16078.498181879266,44902.0,73784.0,107083.0,473,2510,76,728,31,0,0,0,0,0,0,0,0,periodic,113.11793327331543,11.043260263842205,44.502973556518555,47,2025-12-29T11:10:50.335776,True,
262144,1,16384,5.0,16000.0,0.32,40,15,1.75,bbr,15.074912491953,7843776,508.124840133492,0,0.0,0.0,64240,313344,168005.07376242056,5025,6499.0,250738.00000000003,89113.98870056497,52656.44065190822,59334.0,192201.0,206813.0,531,11171,621,4533,533,0,0,0,0,0,0,0,0,periodic,155.52091598510742,2.467370336239872,7.481098175048828,3,2025-12-29T11:11:08.600481,True,
262144,1,16384,5.0,16000.0,0.32,40,15,2.0,cubic,15.005632355809212,2448072,159.3198644224065,0,0.0,0.0,64240,313344,181282.38446438586,1237,4373.0,153157.0,47914.69601328904,15936.157669111088,46957.0,73823.0,102092.0,602,3566,154,1130,100,0,0,0,0,0,0,0,0,periodic,92.17500686645508,7.918610856920816,35.69602966308594,23,2025-12-29T11:11:27.746621,True,
262144,1,16384,5.0,16000.0,0.32,40,15,2.0,bbr,15.049495198065415,6098480,395.7306737946649,0,0.0,0.0,64240,313344,170963.90776140027,4049,3406.0,234251.0,98481.23980815348,55070.29982251788,72417.0,192379.0,207512.0,417,8684,464,3553,379,0,0,0,0,0,0,0,0,periodic,83.79483222961426,3.189660888440194,7.300853729248047,2,2025-12-29T11:11:46.146103,True,
262144,1,16384,10.0,16000.0,0.64,40,15,1.0,cubic,15.034443458076566,2983832,193.81485225079226,0,0.0,0.0,64240,313344,181653.1351791531,1363,1649.0,178810.0,47539.16959064327,16977.198015646372,46248.0,70098.0,114584.0,684,4298,158,1401,83,0,0,0,0,0,0,0,0,periodic,92.90909767150879,6.6382120039674755,31.22711181640625,29,2025-12-29T11:12:05.034791,True,
262144,1,16384,10.0,16000.0,0.64,40,15,1.0,bbr,15.108767488971353,7442680,481.0612244053299,0,0.0,0.0,64240,313344,171051.34565175656,4703,3453.0,220670.0,68917.68285714286,43567.57928948009,51309.0,174077.0,202578.0,700,10418,426,4060,348,0,0,0,0,0,0,0,0,periodic,51.89085006713867,2.6691389301902513,8.06283950805664,1,2025-12-29T11:12:23.455810,True,
262144,1,16384,10.0,16000.0,0.64,40,15,1.25,cubic,15.01269798912108,2963560,192.77691222438528,0,0.0,0.0,64240,313344,181475.92349857008,1299,180.0,175683.0,46742.4024577573,13829.44488738891,46275.0,66663.0,84779.0,651,4196,147,1380,72,0,0,0,0,0,0,0,0,periodic,106.62317276000977,6.628333379144538,30.7161808013916,27,2025-12-29T11:12:42.502876,True,
262144,1,16384,10.0,16000.0,0.64,40,15,1.25,bbr,15.001169597962871,7657976,498.52727406772095,0,0.0,0.0,64240,311904,168331.32159624412,4813,897.0,231791.0,81678.81225296443,51059.55016335067,56355.0,187695.0,217928.0,506,10650,545,4326,455,0,0,0,0,0,0,0,0,periodic,139.45388793945312,2.543754629812438,8.187055587768555,3,2025-12-29T11:13:00.952870,True,
262144,1,16384,10.0,16000.0,0.64,40,15,1.5,cubic,15.113897846080363,2497760,161.3891250848031,0,0.0,0.0,64240,313344,180110.36230146838,1115,4382.0,220243.0,48966.55263157895,18595.973578100322,46703.0,73544.0,126376.99999999999,570,3337,88,1027,68,0,0,0,0,0,0,0,0,periodic,80.62601089477539,8.116470021909265,37.187814712524414,29,2025-12-29T11:13:19.962735,True,
262144,1,16384,10.0,16000.0,0.64,40,15,1.5,bbr,15.01164346607402,5354664,348.3405447456699,0,0.0,0.0,64240,313344,177137.6138876094,3031,318.0,192545.0,59858.45705521473,34236.61157706514,50970.0,150205.0,178553.0,652,8684,814,3487,486,0,0,0,0,0,0,0,0,periodic,97.92685508728027,3.2893687928356914,16.325950622558594,11,2025-12-29T11:13:38.353421,True,
262144,1,16384,10.0,16000.0,0.64,40,15,1.75,cubic,15.083752798149362,2649800,171.55513930309746,0,0.0,0.0,64240,313344,178998.09728381375,1163,487.0,158568.0,49959.563506261184,18819.5966880744,46979.0,81732.0,128843.00000000001,559,3608,137,1164,99,0,0,0,0,0,0,0,0,periodic,93.87397766113281,7.482668492182387,36.29899024963379,28,2025-12-29T11:13:57.183082,True,
262144,1,16384,10.0,16000.0,0.64,40,15,1.75,bbr,15.021200199145824,5297736,344.41790562076346,0,0.0,0.0,64240,313344,177921.99638157894,3441,116.0,216697.0,59066.27116212338,36853.20410937605,50040.0,147070.0,182141.0,697,9120,1130,3715,630,0,0,0,0,0,0,0,0,periodic,56.4570426940918,3.1139905574635507,13.921022415161133,2,2025-12-29T11:14:15.643423,True,
262144,1,16384,10.0,16000.0,0.64,40,15,2.0,cubic,15.092126063071191,1961544,126.92514656282884,0,0.0,0.0,64240,313344,180257.4008233533,992,3887.0,264638.0,47667.29494949495,18791.584679358195,45611.0,70669.0,108294.0,495,2672,76,785,31,0,0,0,0,0,0,0,0,periodic,89.58792686462402,10.413906545564796,41.91398620605469,39,2025-12-29T11:14:34.465386,True,
262144,1,16384,10.0,16000.0,0.64,40,15,2.0,bbr,15.040355901932344,7214416,468.4282852704859,0,0.0,0.0,64240,313344,166129.97130659255,4696,436.0,289551.0,98260.40384615384,61317.01973543681,62828.99999999999,207660.0,228032.0,416,10072,604,4150,516,0,0,0,0,0,0,0,0,periodic,70.31106948852539,2.6536132558921857,7.6770782470703125,1,2025-12-29T11:14:52.808831,True,
262144,1,16384,5.0,16000.0,0.32,40,15,1.0,cubic,15.107736034085974,3938520,254.585526833551,0,0.0,0.0,64240,313344,180220.28826237054,1535,114.0,150764.0,48434.47530040053,13694.543387855614,48091.0,67280.0,82808.0,749,5214,95,1749,60,0,0,0,0,0,0,0,0,periodic,103.04403305053711,5.358562698864728,27.198076248168945,7,2025-12-29T11:15:11.783032,True,
262144,1,16384,5.0,16000.0,0.32,40,15,1.0,bbr,15.070930984104052,6036216,391.13324808649406,0,0.0,0.0,64240,313344,178902.2363422962,3398,48.0,254956.00000000003,59730.87200956938,33045.35326495796,50476.0,141263.0,179275.0,836,9372,741,3677,491,0,0,0,0,0,0,0,0,periodic,82.32808113098145,3.0370559824783494,12.333869934082031,3,2025-12-29T11:15:30.389175,True,
262144,1,16384,5.0,16000.0,0.32,40,15,1.25,cubic,15.013304246822372,3316872,215.75082734938752,0,0.0,0.0,64240,313344,180730.7748013621,1392,1383.0,189511.0,47404.99859550562,15480.965903482034,47077.0,66818.0,81601.0,712,4405,86,1407,53,0,0,0,0,0,0,0,0,periodic,93.62101554870605,6.129072734877332,29.039859771728516,15,2025-12-29T11:15:49.318081,True,
262144,1,16384,5.0,16000.0,0.32,40,15,1.25,bbr,15.002887326991186,6290072,409.4310850718028,0,0.0,0.0,64240,313344,177024.42168427532,2826,64.0,173971.0,57158.89156626506,27462.898285820425,50353.0,125204.00000000001,153813.0,747,9749,751,3903,468,0,0,0,0,0,0,0,0,periodic,91.71104431152344,2.9292588844136107,15.154123306274414,3,2025-12-29T11:16:07.802344,True,
262144,1,16384,5.0,16000.0,0.32,40,15,1.5,cubic,15.001184328226373,2398840,156.16214935057553,0,0.0,0.0,64240,313344,180362.59873217114,1123,12752.0,192019.0,47875.41711229947,16548.814571953208,46507.0,70104.0,111942.0,561,3155,60,953,35,0,0,0,0,0,0,0,0,periodic,88.0439281463623,8.542571769462333,37.89496421813965,38,2025-12-29T11:16:26.682474,True,
262144,1,16384,5.0,16000.0,0.32,40,15,1.5,bbr,15.017777043860406,7537480,490.1404709233757,0,0.0,0.0,64240,313344,166896.66930379748,4550,793.0,217335.0,76866.27714748784,49343.29356337797,52714.0,180750.0,202458.0,617,10744,672,4314,573,0,0,3,0,0,0,0,0,periodic,62.2258186340332,2.533403219026836,9.320974349975586,2,2025-12-29T11:16:45.088883,True,
262144,1,16384,5.0,16000.0,0.32,40,15,1.75,cubic,15.009787597926334,3489784,227.0513266937121,0,0.0,0.0,64240,313344,175375.0387758981,1433,7.0,189984.0,51656.63018242123,23164.767695624676,47850.0,92928.0,155559.0,603,5261,378,1904,252,0,0,1,0,0,0,0,0,periodic,90.76809883117676,5.314031007478563,31.078815460205078,30,2025-12-29T11:17:04.118235,True,
262144,1,16384,5.0,16000.0,0.32,40,15,1.75,bbr,15.000504299998283,7002488,455.875819288341,0,0.0,0.0,64240,313344,169712.6187254902,4595,280.0,218419.0,86844.50290135396,51819.57352756593,58975.0,182198.0,204434.0,517,10200,752,4194,584,0,0,0,0,0,0,0,0,periodic,77.82292366027832,2.6411419543439347,8.913040161132812,1,2025-12-29T11:17:22.640024,True,
262144,1,16384,5.0,16000.0,0.32,40,15,2.0,cubic,15.074293953832239,2560024,165.84680152561543,0,0.0,0.0,64240,313344,179796.67284654878,1183,1377.0,203482.0,49040.25858951175,18477.768280540102,46518.0,72402.0,134341.0,553,3506,110,1126,56,0,0,0,0,0,0,0,0,periodic,91.76111221313477,7.937678889332754,36.81516647338867,38,2025-12-29T11:17:41.602358,True,
262144,1,16384,5.0,16000.0,0.32,40,15,2.0,bbr,15.0235843451228,5768792,374.9828142262779,0,0.0,0.0,64240,313344,179838.46980486452,2774,224.0,189963.0,53743.843546284224,25386.27564328411,50584.0,103151.0,152848.0,767,10813,1567,4507,978,1,0,0,0,0,0,0,0,periodic,1047.529935836792,2.8655376096953447,15.815973281860352,3,2025-12-29T11:18:00.005965,True,
262144,1,16384,10.0,16000.0,0.64,40,15,1.0,cubic,15.032694444991648,3437056,223.2799989570908,0,0.0,0.0,64240,313344,177479.7606890826,1535,42.0,180081.0,49443.715160796324,18088.458651935685,47183.0,69642.0,145073.0,653,4818,190,1620,138,0,0,0,0,0,0,0,0,periodic,128.26299667358398,5.791772116398552,30.827999114990234,16,2025-12-29T11:18:20.011065,True,
262144,1,16384,10.0,16000.0,0.64,40,15,1.0,bbr,15.069643857888877,8262248,535.4208525821352,0,0.0,0.0,64240,313344,171728.97051426588,5002,143.0,194093.0,61759.628387096775,33804.540299463224,51012.0,155698.0,178701.0,775,11531,513,4547,440,0,0,0,0,0,0,0,0,periodic,86.68208122253418,2.4096280336380005,8.18490982055664,6,2025-12-29T11:18:38.541065,True,
262144,1,16384,10.0,16000.0,0.64,40,15,1.25,cubic,15.034314661985263,2191776,142.36806253710284,0,0.0,0.0,64240,313344,180574.02971311475,1024,941.0,112476.0,46637.62884615385,14221.35019307829,46369.0,69777.0,89647.0,520,2928,77,889,36,0,0,0,0,0,0,0,0,periodic,101.97687149047852,9.357674586950612,39.369821548461914,33,2025-12-29T11:18:57.653437,True,
262144,1,16384,10.0,16000.0,0.64,40,15,1.25,bbr,15.06895492086187,7103848,460.3737683822879,0,0.0,0.0,64240,313344,171174.9051978736,4687,1126.0,413109.0,78504.91482112436,55024.48562849988,53068.0,179642.0,307399.0,587,10158,556,4055,449,0,0,0,0,0,0,0,0,periodic,62.760114669799805,2.7265640686541306,7.522821426391602,4,2025-12-29T11:19:15.994109,True,
262144,1,16384,10.0,16000.0,0.64,40,15,1.5,cubic,15.033983157016337,2841928,184.60312769505546,0,0.0,0.0,64240,313344,180488.09501894965,1223,7236.0,137950.0,46502.328290468984,13590.496749782222,45291.0,65984.0,82930.0,661,3694,66,1115,36,0,0,0,0,0,0,0,0,periodic,130.66482543945312,7.324576990454929,33.42890739440918,16,2025-12-29T11:19:34.958467,True,
262144,1,16384,10.0,16000.0,0.64,40,15,1.5,bbr,15.009574642870575,6582768,428.29224198258527,0,0.0,0.0,64240,313344,173128.9946063588,3127,232.0,180871.0,56381.503566333806,26660.05373925195,51413.0,118826.0,155446.0,701,10568,1036,4257,734,0,0,2,0,0,0,0,0,periodic,107.84411430358887,2.6712075255747894,15.552043914794922,8,2025-12-29T11:19:53.430807,True,
262144,1,16384,10.0,16000.0,0.64,40,15,1.75,cubic,15.00716360588558,2458648,159.99182127649726,0,0.0,0.0,64240,313344,175526.27149195786,1153,628.0,202208.0,50095.15132924335,22570.037776954938,47086.0,84182.0,146650.0,489,3606,251,1203,193,0,0,1,0,0,0,0,0,periodic,92.31686592102051,7.589318289244471,40.656089782714844,48,2025-12-29T11:20:12.455849,True,
262144,1,16384,10.0,16000.0,0.64,40,15,1.75,bbr,15.017488864948973,7346656,477.7409069198852,0,0.0,0.0,64240,313344,165263.39072660447,4740,887.0,239115.0,109975.1355140187,54738.48558082851,116894.0,190931.0,215304.0,428,10611,825,4372,690,0,0,0,0,0,0,0,0,periodic,66.24698638916016,2.4858823192509543,9.727001190185547,2,2025-12-29T11:20:30.839867,True,
262144,1,16384,10.0,16000.0,0.64,40,15,2.0,cubic,15.001627993071452,2280104,148.42816149876478,0,0.0,0.0,64240,313344,177729.44049118386,1090,12102.0,178933.0,47169.1127348643,17510.66379968086,46244.0,72538.0,116933.0,479,3176,134,1020,111,0,0,0,0,0,0,0,0,periodic,95.9320068359375,8.485039356038483,40.306806564331055,37,2025-12-29T11:20:49.806489,True,
262144,1,16384,10.0,16000.0,0.64,40,15,2.0,bbr,15.008572210092098,6525640,424.6037013577386,0,0.0,0.0,64240,313344,171532.0210879204,4122,940.0,266923.0,78054.39223300971,46693.75258706123,54741.0,168371.0,186910.0,515,9247,534,3738,440,0,0,0,0,0,0,0,0,periodic,96.76599502563477,2.9385208941245997,10.046958923339844,2,2025-12-29T11:21:08.045998,True,
