recv_buf,delay_ms,read_size,send_rate_mbps,receiver_capacity_kbps,oversubscription_ratio,net_delay_ms,net_jitter_ms,net_loss_pct,congestion_algo,duration_actual,bytes_transferred,actual_throughput_kbps,zero_window_count,zero_window_duration_ms,zero_window_pct,window_min,window_max,window_mean,window_oscillations,rtt_min_us,rtt_max_us,rtt_mean_us,rtt_stddev_us,rtt_p50_us,rtt_p95_us,rtt_p99_us,rtt_samples,total_packets,retransmit_count,dup_ack_count,fast_retransmit_count,out_of_order_count,zero_window_probe_count,window_full_count,ecn_ece_count,ecn_cwr_count,ecn_ce_count,sender_stall_ms,sender_stall_interval_ms,sender_stall_pattern,inter_packet_gap_max_ms,inter_packet_gap_mean_ms,inter_packet_gap_p95_ms,idle_periods_count,timestamp,success,error
262144,1,16384,5.0,16000.0,0.32,30,40,0.5,cubic,15.003115046070889,1042064,67.82862238109054,0,0.0,0.0,64240,313344,185712.5229551451,1045,4.0,231851.0,39202.31377551021,32087.53088469951,36030.0,96557.0,123803.0,392,1895,238,559,96,0,0,0,0,0,0,0,0,periodic,182.49917030334473,15.262926194871042,60.73498725891113,83,2025-12-29T10:06:58.111753,True,
262144,1,16384,5.0,16000.0,0.32,30,40,0.5,bbr,15.017045122105628,4430384,288.1090680503562,0,0.0,0.0,64240,313344,185666.22435009372,4161,4.0,126342.00000000001,46980.90356083086,22780.957200248242,45351.0,87797.0,112737.0,674,12271,3093,5472,2343,0,0,0,0,0,0,0,0,periodic,56.95509910583496,2.416820397708108,12.686014175415039,4,2025-12-29T10:07:16.283526,True,
262144,1,16384,5.0,16000.0,0.32,30,40,0.75,cubic,15.003223533043638,1038672,67.60734603240479,0,0.0,0.0,64240,313344,184873.5563194077,988,5.0,166826.0,40818.32231404959,29768.842915394915,38573.0,89339.0,130246.0,363,1891,239,583,104,0,0,0,0,0,0,0,0,periodic,138.1378173828125,15.21474190944217,62.59584426879883,93,2025-12-29T10:07:35.307622,True,
262144,1,16384,5.0,16000.0,0.32,30,40,0.75,bbr,15.032890935894102,3717472,241.49338709907167,0,0.0,0.0,64240,313344,185336.0223515958,3309,7.0,148488.0,52641.1465076661,26969.222963649376,51023.0,101402.0,125594.00000000001,587,9619,2314,4229,1675,0,0,0,0,0,0,0,0,periodic,171.56600952148438,3.0146213250295104,15.723943710327148,2,2025-12-29T10:07:53.515660,True,
262144,1,16384,5.0,16000.0,0.32,30,40,1.0,cubic,15.029980554012582,939256,61.02750327611849,0,0.0,0.0,64240,313344,185026.70531674207,949,3.0,257772.0,40822.545454545456,33407.84422581193,39753.0,97369.0,130219.0,352,1768,240,531,112,0,0,0,0,0,0,0,0,periodic,145.064115524292,16.296435618347708,78.37915420532227,103,2025-12-29T10:08:12.381282,True,
262144,1,16384,5.0,16000.0,0.32,30,40,1.0,bbr,15.021349442889914,4509032,293.13954643297694,0,0.0,0.0,64240,313344,185157.46086471854,4444,8.0,168559.0,47907.344165435745,22992.087258070587,46958.0,84555.0,105843.0,677,12559,3209,5602,2462,0,0,0,0,0,0,0,0,periodic,124.91703033447266,2.3574218071496533,12.217044830322266,1,2025-12-29T10:08:30.482385,True,
262144,1,16384,5.0,16000.0,0.32,30,40,1.25,cubic,15.010999238817021,927672,60.35105811992527,0,0.0,0.0,64240,313344,184796.99075678797,966,3.0,154319.0,41480.86956521739,30993.199372481813,39604.0,97294.0,129241.0,345,1731,226,522,91,0,0,0,0,0,0,0,0,periodic,180.03487586975098,16.65237100955048,71.19297981262207,105,2025-12-29T10:08:49.493403,True,
262144,1,16384,5.0,16000.0,0.32,30,40,1.25,bbr,15.00388825405389,3930328,255.8144177368794,0,0.0,0.0,64240,313344,185018.13975007154,3639,4.0,180368.0,48977.20873786408,26767.160865075264,46606.0,99555.0,119539.0,618,10483,2598,4611,1888,0,0,0,0,0,0,0,0,periodic,41.33296012878418,2.784383177824702,15.233993530273438,0,2025-12-29T10:09:07.739134,True,
262144,1,16384,5.0,16000.0,0.32,30,40,1.5,cubic,15.063737298827618,1005864,65.20885508116567,0,0.0,0.0,64240,313344,185061.11506849315,992,2.0,177162.0,41845.63858695652,31826.714876819424,38937.0,95971.0,155819.0,368,1825,221,554,101,0,0,0,0,0,0,0,0,periodic,128.554105758667,15.802649272385464,65.59085845947266,94,2025-12-29T10:09:26.473434,True,
262144,1,16384,5.0,16000.0,0.32,30,40,1.5,bbr,15.008082224056125,3980056,258.97868758141374,0,0.0,0.0,64240,313344,184811.9865216583,3682,7.0,180232.0,51645.67833333334,27199.22469210346,49450.0,101642.0,130647.99999999999,600,10758,2701,4751,2048,0,0,0,0,0,0,0,0,periodic,71.02298736572266,2.7310018325710366,14.907121658325195,1,2025-12-29T10:09:44.689781,True,
262144,1,16384,10.0,16000.0,0.64,30,40,0.5,cubic,15.014963309979066,975456,63.442962219354776,0,0.0,0.0,64240,313344,186139.9799240369,1005,3.0,158914.0,36574.59166666667,28769.633390906336,32502.000000000004,86923.0,115040.0,360,1843,243,568,102,0,0,0,0,0,0,0,0,periodic,142.20190048217773,15.708885223568766,65.97113609313965,92,2025-12-29T10:10:03.551738,True,
262144,1,16384,10.0,16000.0,0.64,30,40,0.5,bbr,15.055782833136618,4193368,271.9942219468676,0,0.0,0.0,64240,313344,185241.35611510792,3518,5.0,182307.0,51217.17857142857,24337.882513898367,50380.0,94088.0,112242.0,616,10842,2550,4811,1956,0,0,0,0,0,0,0,0,periodic,43.34402084350586,2.7214633055096846,15.341997146606445,0,2025-12-29T10:10:21.785788,True,
262144,1,16384,10.0,16000.0,0.64,30,40,0.75,cubic,15.107062525115907,1024688,66.23867964644718,0,0.0,0.0,64240,313344,185081.46467817898,1044,4.0,145667.0,37537.05540897098,28941.15636532344,32970.0,90995.0,129310.00000000001,379,1911,251,579,109,0,0,0,0,0,0,0,0,periodic,130.1858425140381,15.087746252024688,63.80581855773926,92,2025-12-29T10:10:40.668617,True,
262144,1,16384,10.0,16000.0,0.64,30,40,0.75,bbr,15.022346297977492,3975712,258.4503893724456,0,0.0,0.0,64240,313344,185371.24881696005,3645,2.0,206350.0,52462.57666666667,28129.10778809243,50081.0,105287.0,148281.0,600,10566,2603,4692,1922,0,0,0,0,0,0,0,0,periodic,60.212135314941406,2.741086518881104,15.070199966430664,5,2025-12-29T10:10:58.929753,True,
262144,1,16384,10.0,16000.0,0.64,30,40,1.0,cubic,15.003207952016965,1037720,67.545450329092,0,0.0,0.0,64240,313344,185280.78139779295,1028,4.0,305322.0,38554.245179063364,32221.194205278418,33567.0,92763.0,123192.0,363,1903,254,594,117,0,0,0,0,0,0,0,0,periodic,147.70102500915527,15.161661077136836,65.7351016998291,102,2025-12-29T10:11:17.761147,True,
262144,1,16384,10.0,16000.0,0.64,30,40,1.0,bbr,15.032606119057164,4234904,275.11187379925747,0,0.0,0.0,64240,313344,185072.4045625427,4002,5.0,143565.0,48831.13023255814,23508.948555488183,48546.0,90263.0,114309.0,645,11704,2972,5192,2252,0,0,0,0,0,0,0,0,periodic,45.445919036865234,2.518787261374127,13.334989547729492,0,2025-12-29T10:11:35.955570,True,
262144,1,16384,10.0,16000.0,0.64,30,40,1.25,cubic,15.082544520962983,1017448,65.87758193712006,0,0.0,0.0,64240,313344,185598.47746331236,1020,2.0,131340.0,38689.25698324022,29253.01880417512,35641.0,93483.0,106789.0,358,1908,254,602,121,0,0,0,0,0,0,0,0,periodic,117.95687675476074,15.159932944550725,65.4001235961914,96,2025-12-29T10:11:54.855851,True,
262144,1,16384,10.0,16000.0,0.64,30,40,1.25,bbr,15.036503513110802,3864216,250.96582022606765,0,0.0,0.0,64240,313344,184454.079475899,3566,3.0,165881.0,53615.96200345423,29363.197206924156,50857.0,108703.0,136095.0,579,10456,2582,4625,1937,0,0,0,0,0,0,0,0,periodic,62.536001205444336,2.849253344270268,14.865875244140625,1,2025-12-29T10:12:13.076986,True,
262144,1,16384,10.0,16000.0,0.64,30,40,1.5,cubic,15.041293628048152,914640,59.383397936890574,0,0.0,0.0,64240,313344,184354.31146572105,936,3.0,198402.0,36447.925619834714,31953.640565703638,30222.0,96963.0,130842.99999999999,363,1692,217,479,91,0,0,0,0,0,0,0,0,periodic,145.62106132507324,16.961201664485735,69.94390487670898,95,2025-12-29T10:12:31.918516,True,
262144,1,16384,10.0,16000.0,0.64,30,40,1.5,bbr,15.083715063054115,4310656,279.0840971473274,0,0.0,0.0,64240,313344,183658.203323812,3891,2.0,136275.0,51472.4268907563,25290.96102109814,49951.0,94416.0,114527.0,595,11553,2859,5120,2173,0,0,0,0,0,0,0,0,periodic,88.06610107421875,2.542520412495654,13.749122619628906,1,2025-12-29T10:12:50.035551,True,
262144,1,16384,5.0,16000.0,0.32,30,40,0.5,cubic,15.072344167158008,923328,59.8239723031762,0,0.0,0.0,64240,313344,185236.37249114522,923,5.0,177459.0,43472.16231884058,31294.622479895166,41347.0,97057.0,147740.0,345,1694,216,500,103,0,0,0,0,0,0,0,0,periodic,125.14495849609375,16.993228419492862,70.3129768371582,106,2025-12-29T10:13:09.015181,True,
262144,1,16384,5.0,16000.0,0.32,30,40,0.5,bbr,15.008684656117111,4176488,271.7494341409644,0,0.0,0.0,64240,313344,185030.94287216332,4008,12.0,133672.0,47638.331168831166,24731.465128194093,45926.0,94102.0,112381.0,616,11413,2892,5074,2220,0,0,0,0,0,0,0,0,periodic,84.04994010925293,2.5772194926076395,12.617111206054688,5,2025-12-29T10:13:27.236139,True,
262144,1,16384,5.0,16000.0,0.32,30,40,0.75,cubic,15.010308525990695,1063288,69.1769383488716,0,0.0,0.0,64240,313344,185759.59948979592,1075,4.0,187067.0,37096.185676392575,29005.488901524353,34036.0,88672.0,118603.0,377,1960,249,606,117,0,0,0,0,0,0,0,0,periodic,131.69097900390625,14.784138645958063,60.621023178100586,80,2025-12-29T10:13:46.158747,True,
262144,1,16384,5.0,16000.0,0.32,30,40,0.75,bbr,15.027273453073576,4221376,274.33037090017314,0,0.0,0.0,64240,313344,184822.48069366137,3998,4.0,149594.0,49936.62052117264,23456.72810451247,49231.0,90993.0,104342.0,614,11706,3018,5227,2259,0,0,0,0,0,0,0,0,periodic,44.53110694885254,2.4502750093800474,13.304948806762695,0,2025-12-29T10:14:04.329431,True,
262144,1,16384,5.0,16000.0,0.32,30,40,1.0,cubic,15.00204109097831,1010208,65.75980188410927,0,0.0,0.0,64240,313344,184901.0829294561,984,4.0,158807.0,39352.797260273976,31587.05406251013,34759.0,96899.0,143043.0,365,1857,236,567,107,0,0,0,0,0,0,0,0,periodic,174.38602447509766,15.489726629941272,64.93806838989258,93,2025-12-29T10:14:23.223164,True,
